new,host,a,cname,soa,status_code,cdn,cdn-name,ns,txt,has_internal_ips,internal_ips,aaaa,caa,mx
[x],2-intuit.preview.trustpilot.com,"18.66.122.119, 18.66.122.17, 18.66.122.83, 18.66.122.107",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],2ecommplugins-mailchimpfeed.business-preview.trustpilot.com,"18.244.102.75, 18.244.102.49, 18.244.102.5, 18.244.102.45",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],2tty-mailchimpfeed.business-preview.trustpilot.com,"18.66.122.122, 18.66.122.115, 18.66.122.107, 18.66.122.81",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],advertising.trustpilot.com,"104.18.27.189, 104.18.26.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,"2606:4700::6812:1bbd, 2606:4700::6812:1abd","sectigo.com, letsencrypt.org, digicert.com",
[x],afssupporttool.trustpilot.com,"13.225.78.12, 13.225.78.70, 13.225.78.77, 13.225.78.51",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],am.trustpilot.com,"34.241.49.29, 3.251.3.114, 54.247.43.212",wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.trustpilot.com,34.237.118.185,"trustpilot-prod.apigee.net, trustpilot-06.dn.apigee.net","ns-1671.awsdns-16.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],apiproxy.trustpilot.com,"10.50.41.232, 10.50.54.71, 10.50.23.248",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.50.41.232, 10.50.54.71, 10.50.23.248",,,
[x],apps.trustpilot.com,"54.247.43.212, 3.251.3.114, 34.241.49.29",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ar.trustpilot.com,"54.247.43.212, 3.251.3.114, 34.241.49.29",wildcard-configurablehttpredirector.trustpilot.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],assets.preview.trustpilot.com,"18.65.39.103, 18.65.39.123, 18.65.39.59, 18.65.39.79",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],at.business.trustpilot.com,"65.9.86.42, 65.9.86.29, 65.9.86.72, 65.9.86.46",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],atlas.preview.trustpilot.com,"13.32.145.104, 13.32.145.2, 13.32.145.109, 13.32.145.122",,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
