input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url
accounts.coinbase.com,Coinbase Account,200,464,accounts.coinbase.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-17T00:00:00Z,2024-03-16T23:59:59Z,"CN=accounts.coinbase.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",accounts.coinbase.com,"Cloudflare, Inc.",accounts.coinbase.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5e85bf6da6bae96eff389dcb010cdce8,9c35d492bd91f04c12877471006de907f1ac01b1fed58f8e1f4cde6f0a0f81ee,True,ctls,accounts.coinbase.com,cloudflare,443,https://accounts.coinbase.com:443,https,cloudflare,text/html,GET,104.18.20.10,/,-1486166455,2606:4700::6812:150a,HSTS,1,False,True,https://dynamic-assets.coinbase.com/,
admin-api.cbhq.net,Coinbase - Sign In,200,19421,coinbase.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,"Okta, Inc.",okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,True,ctls,coinbase.okta.com,,443,https://admin-api.cbhq.net:443,https,nginx,text/html,GET,54.152.45.53,/,991990439,54.80.86.126,Nginx,489,False,,coinbase.mtls.okta.com,https://coinbase.okta.com/login/login.htm?fromURI=%2Fapp%2Fduonetworkgateway%2FexkgtiiinmYLHEmai0x7%2Fsso%2Fsaml%3FSAMLRequest%3DfVNhb9owEP3eX4HyHRwCLcSCSAw2FYmtCOik7ct0OAdYJHbqu6z0389JaMumDn9wpPN7z%252B%252BeLyOCPCvkpOSDWeFTicQ3Lb9OeWZI1ofjoHRGWiBN0kCOJFnJ9eTrQkadUBbOslU2C%252F6hXWcBETrW1jS0%252BWwczB4ffgHuwiiOh9v%252BcDeIe%252BldrMJtFEV3w66K0wjDYTTox3DbsL6jIy8xDrziWYeoxLkhBsO%252BHEa9dnjb7vY2YSj7fRn1fja4mW9TG%252BCafWAuSAqhrDZbIOzYI0NH2VxAUYi0tAb52brjHhif4UXg6bhnrbXJfyzuP%252Begw9NAEFlRtd3oL8%252BhfNIm1WZ%252FPYttAyJ5v9ks28uH9aYRmbxmNLWGyhzdGt1vrfBxtXg37bzT7eGp4z0KUCQaalLvo8qQrDNxyUeEHBlSYBAjcQl9Jxfym7c7ny1tptVLXa%252FWF%252Bty4P931e1064pO27saKktDBSq905gGbzKTLLPPU4c%252B13HArsSgJf66%252FDyQmNbj6WNgPHFravMCnKbq7fAEioPkTbJp%252BRI%252BzfysrXCXXB1HJVWF8%252BWl%252F%252FjXTqsnROXv3jjw5q3jc0gfijeuxRXbyc3r8eW%252FlvwB%26RelayState%3DWOWG35SR77f9zh5Vyx0Y91mUVCldy0WMkoFhsAZ4
admin.cbhq.net,Coinbase - Sign In,200,19463,coinbase.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,"Okta, Inc.",okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,True,ctls,coinbase.okta.com,,443,https://admin.cbhq.net:443,https,nginx,text/html,GET,54.152.45.53,/,-1210274293,54.80.86.126,Nginx,489,False,,app.pendo.io,https://coinbase.okta.com/login/login.htm?fromURI=%2Fapp%2Fduonetworkgateway%2FexkgtiiinmYLHEmai0x7%2Fsso%2Fsaml%3FSAMLRequest%3DfVPRbtowFH3vV6C8gxOSiNWCSAw2FYmtCOik7mVynBuwSOzU92bQv6%252BT0JZVHX5wpOtzjs89vhmjKIuKT2va6zU81YB003PrVBYaeXs48WqruRGokGtRAnKSfDP9seTDgc8ra8hIU3gfaNdZAhEsKaM72mI%252B8eYP93%252FCbBjGQ4jkKAq%252FhGmYx0Hq%252B3mWx%252F5tHIW3cjSSQTZKO9YvsOgkJp5TPOsg1rDQSEKTK%252FvDsO%252FH%252FSDc%252Bj6PIj4Mf3e4uWtTaUEte09UIWdMGqVTgTAwBxIDaUomqopltdFAR2MPO0FwFM8MTocdKaV0%252Bbi8%252B1YK5Z9GDNGwpu1Of3UO5avSmdK761mkHQj53Xa76q%252FuN9tOZPqa0cxorEuwG7B%252FlYSH9fLdtHVO0%252F3TwHlkQiLrqEm7jxtDvM3EJp8RSiCRCRJszC6h7%252BSK%252F3R2F%252FOVKZR8buvN%252Bm5sKej%252FXQWDoK2orJ%252B3UF5rrECqXEHmvclMi8IcZxZcrhOPbA1ej%252F1z%252BXkgIWvH08VAcKLezJSVsAqbt4OTkOQlb5Jdy5fwWeFmbQ15cnUcJZcNzpVX7uNeO2ueEKS7e2uFM28snUP6VLxzza7YTm5ejy%252F%252FteQF%26RelayState%3DgSA3M1ZBcqcuv7YdMCbJvIKDnTqrleXFmJLtgtpG
advanced-trade-ws.coinbase.com,,200,28,advanced-trade-ws.coinbase.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-08T00:00:00Z,2024-03-06T23:59:59Z,"CN=coinbase.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",coinbase.com,"Cloudflare, Inc.",*.cloud.coinbase.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ceb9ccea0cc60c1fdfdadec9da39bab4,be67f6697987d91080723e12b91c6b4aff075ba3dad236d400799788652d3b24,True,ctls,advanced-trade-ws.coinbase.com,cloudflare,443,https://advanced-trade-ws.coinbase.com:443,https,cloudflare,text/plain,GET,104.18.5.43,/,237460393,2606:4700::6812:42b,HSTS,1,False,True,,
api-public.sandbox.exchange.coinbase.com,,404,69,api-public.sandbox.exchange.coinbase.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.sandbox.exchange.coinbase.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ca3713adbd9710f4e35ee395c0637abd,c15cf85a635501f3ab9fb9d0a2c09d76c4968da851eca78d83e924aa718fcb46,True,ctls,api-public.sandbox.exchange.coinbase.com,cloudflare,443,https://api-public.sandbox.exchange.coinbase.com:443,https,cloudflare,application/json,GET,104.18.12.55,/,-208089219,2606:4700::6812:d37,HSTS,1,False,True,,
api-public.sandbox.pro.coinbase.com,,404,69,api-public.sandbox.pro.coinbase.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-07T00:00:00Z,2024-04-06T23:59:59Z,"CN=sandbox.pro.coinbase.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sandbox.pro.coinbase.com,"Cloudflare, Inc.",*.sandbox.pro.coinbase.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",d881de68509da7f145544a1c8582848b,80ec2516eddbc4cf283df2b56a420d53116dbc83a50fc66df5dbdadafe502c4c,True,ctls,api-public.sandbox.pro.coinbase.com,cloudflare,443,https://api-public.sandbox.pro.coinbase.com:443,https,cloudflare,application/json,GET,104.18.23.3,/,-208089219,2606:4700::6812:1603,HSTS,1,False,True,,
api-test.prime.coinbase.com,,404,69,api-test.prime.coinbase.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-16T00:00:00Z,2023-06-16T23:59:59Z,"CN=prime.coinbase.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",prime.coinbase.com,"Cloudflare, Inc.",*.prime.coinbase.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ba671f81ea2f15eeae2f6d755e0966f8,a8c7c4f65d6a5b7004824acb0a5a90ca9acc3dd73b97d8a7969e5b8f8436f73a,True,ctls,api-test.prime.coinbase.com,cloudflare,443,https://api-test.prime.coinbase.com:443,https,cloudflare,application/json,GET,104.18.9.45,/,-208089219,2606:4700::6812:92d,HSTS,1,False,True,,
api.commerce.coinbase.com,,404,52,api.commerce.coinbase.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-14T00:00:00Z,2023-06-14T23:59:59Z,"CN=commerce.coinbase.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",commerce.coinbase.com,"Cloudflare, Inc.",*.commerce.coinbase.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",998dd5a9440e233c339d36f97379dca1,e038386569c64c2404998360c5714cf2b8584a7e9ce28a9ee669c8185c3d8035,True,ctls,api.commerce.coinbase.com,cloudflare,443,https://api.commerce.coinbase.com:443,https,cloudflare,application/json,GET,104.18.17.189,/,1976154347,2606:4700::6812:11bd,Cloudflare Bot Management,1,False,True,,
api.custody.coinbase.com,,404,135,api.custody.coinbase.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-14T00:00:00Z,2023-06-14T23:59:59Z,"CN=custody.coinbase.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",custody.coinbase.com,"Cloudflare, Inc.",*.custody.coinbase.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e19d65a6aa54edc404943dd058f7ef3c,b36bf9f7dd0cfd62faca8e3e3fe2f96683e9c0254a2dd8b1279f93e0ec2ed0ed,True,ctls,api.custody.coinbase.com,cloudflare,443,https://api.custody.coinbase.com:443,https,cloudflare,application/json,GET,104.18.26.40,/,-1840324437,2606:4700::6812:1a28,HSTS,1,False,True,,
api.exchange.coinbase.com,,404,69,api.exchange.coinbase.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-03T00:00:00Z,2024-03-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3ba77a7173fd60458af444189f2c222e,b9e2c18e89ad5c353b005e0dfbd7a0e350af89fc3d6f00c1a7e831504b37d661,True,ctls,api.exchange.coinbase.com,cloudflare,443,https://api.exchange.coinbase.com:443,https,cloudflare,application/json,GET,104.18.29.254,/,-208089219,2606:4700::6812:2fc,HSTS,1,False,True,,
