new,host,a,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,txt,ns,aaaa,cname,mx,caa
[x],analytics.plaid.com,"54.86.236.88, 3.93.214.11, 34.232.178.120","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api-v2-testing.plaid.com,"10.105.7.41, 10.105.19.190, 10.105.11.110","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.105.7.41, 10.105.19.190, 10.105.11.110","heritage=external-dns,external-dns/owner=k8s-1.testing.ue1.plaid.io-public,external-dns/resource=service/cs-team/apiv2-proxy",,,,,
[x],api.hosted-development.plaid.com,"34.206.251.153, 50.16.90.56, 54.164.173.41","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.hosted-sandbox.plaid.com,"54.158.81.29, 100.24.75.85, 23.23.81.121","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=k8s-1.sandbox.ue1.plaid.io-public,external-dns/resource=ingress/assets-team/api.hosted-sandbox.plaid.com-ingress-nginx",,,,,
[x],api.hosted.plaid.com,"34.205.253.66, 3.212.238.215, 54.235.156.93","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=k8s-2.prod.ue1.plaid.io-public,external-dns/resource=ingress/assets-team/api.hosted.plaid.com-ingress-nginx",,,,,
[x],api.my-commits.plaid.com,"23.23.81.121, 54.158.81.29, 100.24.75.85","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=k8s-1.sandbox.ue1.plaid.io-public,external-dns/resource=ingress/cxp-team/api.my-commits.plaid.com-ingress-nginx",,,,,
[x],api.my-sandbox.plaid.com,"100.24.75.85, 23.23.81.121, 54.158.81.29","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=k8s-1.sandbox.ue1.plaid.io-public,external-dns/resource=ingress/cxp-team/api.my-sandbox.plaid.com-ingress-nginx",,,,,
[x],blog.plaid.com,"18.164.68.78, 18.164.68.104, 18.164.68.17, 18.164.68.55","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,"ns-1123.awsdns-12.org, ns-1688.awsdns-19.co.uk, ns-309.awsdns-38.com, ns-967.awsdns-56.net",,,,
[x],calendar.plaid.com,142.250.184.243,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,2a00:1450:4001:831::2013,ghs.googlehosted.com,,
[x],cdn-email.plaid.com,"13.32.121.46, 13.32.121.24, 13.32.121.101, 13.32.121.108","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],cdn.plaid.com,"13.32.121.61, 13.32.121.98, 13.32.121.38, 13.32.121.78","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],ci.plaid.com,"10.102.4.148, 10.102.2.238","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.102.4.148, 10.102.2.238",,,,,,
[x],confluence.plaid.com,"52.55.174.253, 34.225.103.234","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],consumer-portal.prod.ue1.plaid.com,"3.212.238.215, 34.205.253.66, 54.235.156.93","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=k8s-2.prod.ue1.plaid.io-public,external-dns/resource=ingress/cxp-team/consumer-portal.prod.ue1.plaid.com-ingress-nginx",,,,,
[x],consumer-portal.sandbox.ue1.plaid.com,"100.24.75.85, 23.23.81.121, 54.158.81.29","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=k8s-1.sandbox.ue1.plaid.io-public,external-dns/resource=ingress/cxp-team/consumer-portal.sandbox.ue1.plaid.com-ingress-nginx",,,,,
[x],consumer-portal.tartan.ue1.plaid.com,"50.16.90.56, 54.164.173.41, 34.206.251.153","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=k8s-1.tartan.ue1.plaid.io-public,external-dns/resource=ingress/cxp-team/consumer-portal.tartan.ue1.plaid.com-ingress-nginx",,,,,
[x],dashboard.plaid.com,"13.32.99.31, 13.32.99.52, 13.32.99.23, 13.32.99.92","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],dashboarddb.plaid.com,10.0.252.230,"ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,10.0.252.230,,,,,,
[x],demo-backend.plaid.com,"3.212.238.215, 54.235.156.93, 34.205.253.66","ns-309.awsdns-38.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=k8s-2.prod.ue1.plaid.io-public,external-dns/resource=ingress/webdev-team/demo-backend.plaid.com-ingress-nginx",,,,,
