new,host,a,soa,status_code,aaaa,cname,cdn,cdn-name,mx,ns,txt
[x],vpn1.conclusion.nl,81.30.38.129,"ns0.transip.net, hostmaster.transip.nl",NOERROR,,,,,,,
,access.conclusion.nl,"185.108.226.71, 185.108.226.68","ns0.transip.net, hostmaster.transip.nl",NOERROR,,,,,,,
,apps.conclusion.nl,185.108.225.18,"ns0.transip.net, hostmaster.transip.nl",NOERROR,,,,,,,
,arrow.conclusion.nl,217.149.193.126,"ns0.transip.net, hostmaster.transip.nl",NOERROR,,,,,,,
,as.conclusion.nl,18.198.243.11,"ns0.transip.net, hostmaster.transip.nl",NOERROR,,conclusionafassolutions.nl,,,conclusionafassolutions-nl.mail.protection.outlook.com,"ns2.transip.eu, ns1.transip.nl, ns0.transip.net",v=spf1 include:spf.protection.outlook.com -all
,autodiscover.conclusion.nl,"52.97.200.152, 40.99.204.200, 40.99.204.216, 52.97.135.120","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:207:e1::8, 2603:1026:c03:7068::8, 2603:1026:c03:3033::8, 2603:1026:c03:6027::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,
,autodiscover.infra.conclusion.nl,185.108.226.67,"ns0.transip.net, hostmaster.transip.nl",NOERROR,,,,,,,
,autodiscoverredirect.conclusion.nl,185.108.225.41,"ns0.transip.net, hostmaster.transip.nl",NOERROR,,,,,,,
,car.conclusion.nl,185.108.225.12,"ns0.transip.net, hostmaster.transip.nl",NOERROR,,,,,,,
,ccc.conclusion.nl,217.149.193.100,"ns0.transip.net, hostmaster.transip.nl",NOERROR,,,,,,,
,ccmg.conclusion.nl,,"ns0.transip.net, hostmaster.transip.nl",NOERROR,,,,,,,
,cct.conclusion.nl,,"ns0.transip.net, hostmaster.transip.nl",NOERROR,,,,,,,
,cfa.conclusion.nl,217.149.193.126,"ns0.transip.net, hostmaster.transip.nl",NOERROR,,,,,,,
,clc.conclusion.nl,18.198.243.11,"ns0.transip.net, hostmaster.transip.nl",NOERROR,,conclusionlearningcenters.nl,,,,"ns0.transip.net, ns2.transip.eu, ns1.transip.nl",v=spf1 ip4:185.108.227.96 -all
,clp.conclusion.nl,217.149.193.100,"ns0.transip.net, hostmaster.transip.nl",NOERROR,,,,,,,
