new,host,soa,status_code,a,ns,txt,cname,has_internal_ips,internal_ips,aaaa,cdn,cdn-name,mx,caa
[x],client.staging.towermobile.zynga.com,"pdns1.ultradns.net, cloudeng.zynga.com",NOERROR,,,,,,,2620:102:8002:211::1b,,,,
[x],clienttech.zynga.com,"ns-1750.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"205.251.193.155, 205.251.198.214","ns-1750.awsdns-26.co.uk, ns-1217.awsdns-24.org, ns-411.awsdns-51.com, ns-709.awsdns-24.net",,,,,,,,,
[x],clumsyredbull.zynga.com,"pdns1.ultradns.net, cloudeng.zynga.com",NOERROR,,,,,,,,,,,
[x],code.zynga.com,"ns-2046.awsdns-63.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"18.66.122.54, 18.66.122.74, 18.66.122.7, 18.66.122.9",,,d34pl5j86rxbp5.cloudfront.net,,,,True,cloudfront,,
[x],cominternazynga-okta-network-gateway-iad.fotl.api.zynga.com,"ns-1454.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,"44.226.103.52, 54.70.221.166, 44.240.252.0, 54.218.149.120, 35.81.22.94, 44.236.66.179, 34.223.120.124, 52.26.181.104, 205.251.192.200, 205.251.194.15, 205.251.197.174, 205.251.199.1","ns-1793.awsdns-32.co.uk, ns-527.awsdns-01.net, ns-200.awsdns-25.com, ns-1454.awsdns-53.org",,api.zynga.com,,,,,,,
[x],cominternazynga-okta-network-gateway-iad.msexeznausesase.api.zynga.com,"ns-1454.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,"44.236.66.179, 44.242.37.104, 52.25.126.167, 52.38.95.150, 52.42.78.225, 34.213.21.22, 34.217.157.185, 35.160.61.176","ns-200.awsdns-25.com, ns-527.awsdns-01.net, ns-1454.awsdns-53.org, ns-1793.awsdns-32.co.uk",,api.zynga.com,,,,,,,
[x],cominternazynga-okta-network-gateway-iad.redirect.zynl.api.zynga.com,"ns-1454.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,"54.70.221.166, 54.148.155.92, 34.214.149.87, 44.226.103.52, 44.240.252.0, 52.42.78.225, 54.69.197.152, 54.70.190.145","ns-200.awsdns-25.com, ns-527.awsdns-01.net, ns-1454.awsdns-53.org, ns-1793.awsdns-32.co.uk",,api.zynga.com,,,,,,,
[x],cominternazynga-okta-network-gateway-iad.smokebaml.api.zynga.com,"ns-1454.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,"44.240.252.0, 44.236.66.179, 44.226.103.52, 34.213.21.22, 54.218.149.120, 34.214.149.87, 52.35.74.92, 35.81.22.94","ns-527.awsdns-01.net, ns-1454.awsdns-53.org, ns-1793.awsdns-32.co.uk, ns-200.awsdns-25.com",,api.zynga.com,,,,,,,
[x],cominternazynga-okta-network-gateway-iadmsexeznausesase.api.zynga.com,"ns-1454.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,"54.218.212.249, 54.244.200.153, 52.37.210.237, 52.42.78.225, 44.242.37.104, 52.38.95.150, 54.149.61.178, 35.81.22.94","ns-200.awsdns-25.com, ns-527.awsdns-01.net, ns-1793.awsdns-32.co.uk, ns-1454.awsdns-53.org",,api.zynga.com,,,,,,,
[x],cominternazynga-okta-network-gateway-iads.api.zynga.com,"ns-1454.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,,,,api.zynga.com,,,,,,,
[x],cominternazynga.okta-region-games.zynl.api.zynga.com,"ns-1454.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,"35.81.22.94, 54.218.149.120, 54.148.71.252, 54.148.155.92, 34.214.149.87, 54.149.61.178, 54.70.221.166, 54.244.200.153","ns-1454.awsdns-53.org, ns-1793.awsdns-32.co.uk, ns-200.awsdns-25.com, ns-527.awsdns-01.net",,api.zynga.com,,,,,,,
[x],company.zynga.com,"ns-149.awsdns-18.com, awsdns-hostmaster.amazon.com",NOERROR,"18.66.248.119, 18.66.248.3, 18.66.248.98, 18.66.248.38","ns-1913.awsdns-47.co.uk, ns-787.awsdns-34.net, ns-149.awsdns-18.com, ns-1530.awsdns-63.org",,d2snrcs7nhqpu3.cloudfront.net,,,"2600:9000:224a:ca00:d:1ef8:92c0:93a1, 2600:9000:224a:d600:d:1ef8:92c0:93a1, 2600:9000:224a:a600:d:1ef8:92c0:93a1, 2600:9000:224a:e800:d:1ef8:92c0:93a1, 2600:9000:224a:2e00:d:1ef8:92c0:93a1, 2600:9000:224a:7200:d:1ef8:92c0:93a1, 2600:9000:224a:5600:d:1ef8:92c0:93a1, 2600:9000:224a:4a00:d:1ef8:92c0:93a1",True,cloudfront,,
[x],container-registry-proxy.zynga.com,"ns-1410.awsdns-48.org, awsdns-hostmaster.amazon.com",NOERROR,"10.199.19.226, 10.199.21.94, 10.199.25.77","ns-504.awsdns-63.com, ns-651.awsdns-17.net, ns-1410.awsdns-48.org, ns-2012.awsdns-59.co.uk",,,True,"10.199.19.226, 10.199.21.94, 10.199.25.77",,,,,
[x],contentservices.zynga.com,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1267.awsdns-30.org, ns-1622.awsdns-10.co.uk, ns-488.awsdns-61.com, ns-772.awsdns-32.net",,,,,,,,,
[x],corp.zynga.com,"ns-1096.awsdns-09.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-252.awsdns-31.com, ns-542.awsdns-03.net, ns-1096.awsdns-09.org, ns-1845.awsdns-38.co.uk","v=spf1 include:spf.protection.outlook.com include:spf-00296702.pphosted.com ~all, ca3-41503bf3553a4fea812ae937d2d8fbed",,,,,,,"mxb-00296702.gslb.pphosted.com, mxa-00296702.gslb.pphosted.com",
[x],countryescapefaq.zynga.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,35.160.204.118,,,farm2ce-faq-911252551.us-west-2.elb.amazonaws.com,,,,,,,
[x],crazycakeswap.cdn.zynga.com,,NOERROR,"18.66.112.22, 18.66.112.16, 18.66.112.26, 18.66.112.62","ns-1560.awsdns-03.co.uk, ns-1141.awsdns-14.org, ns-423.awsdns-52.com, ns-583.awsdns-08.net",,dr363aac0u7kf.cloudfront.net,,,,True,cloudfront,,
[x],csr2.cdn.zynga.com,"ns-856.awsdns-43.net, awsdns-hostmaster.amazon.com",NOERROR,"108.138.64.127, 108.138.64.121, 108.138.64.26, 108.138.64.75, 205.251.192.107, 205.251.195.88, 205.251.197.160, 205.251.199.26","ns-107.awsdns-13.com, ns-1818.awsdns-35.co.uk, ns-1440.awsdns-52.org, ns-856.awsdns-43.net",,dl7zu7b0zxp8t.cloudfront.net,,,"2600:9000:2508:6200:3:c71c:4340:93a1, 2600:9000:2508:e000:3:c71c:4340:93a1, 2600:9000:2508:0:3:c71c:4340:93a1, 2600:9000:2508:f600:3:c71c:4340:93a1, 2600:9000:2508:4000:3:c71c:4340:93a1, 2600:9000:2508:600:3:c71c:4340:93a1, 2600:9000:2508:6a00:3:c71c:4340:93a1, 2600:9000:2508:9c00:3:c71c:4340:93a1",True,cloudfront,,
[x],csr2.zynga.com,"ns-1127.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,"13.32.27.16, 13.32.27.52, 13.32.27.81, 13.32.27.108","ns-391.awsdns-48.com, ns-644.awsdns-16.net, ns-1127.awsdns-12.org, ns-1868.awsdns-41.co.uk",,,,,,True,cloudfront,,
[x],csr3-dev.zynga.com,"ns-1438.awsdns-51.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-41.awsdns-05.com, ns-903.awsdns-48.net, ns-1438.awsdns-51.org, ns-1829.awsdns-36.co.uk",,,,,,,,,
