new,host,soa,status_code,a,ns,txt,cname,has_internal_ips,internal_ips,aaaa,cdn,cdn-name,mx,caa
[x],bounce.zynga.com,"ns-994.awsdns-60.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1404.awsdns-47.org, ns-2008.awsdns-59.co.uk, ns-163.awsdns-20.com, ns-994.awsdns-60.net",v=spf1 include:amazonses.com ~all,custom-email-domain.stripe.com,,,,,,feedback-smtp.us-west-2.amazonses.com,
[x],brand.zynga.com,"pdns1.ultradns.net, cloudeng.zynga.com",NOERROR,,,,,,,,,,,
[x],bubble-dev-02-new.zynga.com,,NOERROR,54.144.128.85,,,,,,,,,,
[x],bubble-dev-02.zynga.com,,NOERROR,,,,,,,,,,,
[x],bubblereef.zynga.com,"pdns1.ultradns.net, cloudeng.zynga.com",NOERROR,,,,,,,,,,,
[x],build.dev.magellan.zynga.com,"ns-331.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"10.195.223.132, 10.195.218.200",,"heritage=external-dns,external-dns/owner=magellan-dev-eks,external-dns/resource=ingress/build/dev",,True,"10.195.223.132, 10.195.218.200",,,,,
[x],build.exp.magellan.zynga.com,"ns-331.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"10.195.217.250, 10.195.222.77","ns-1425.awsdns-50.org, ns-1745.awsdns-26.co.uk, ns-331.awsdns-41.com, ns-544.awsdns-04.net","heritage=external-dns,external-dns/owner=magellan-dev-eks,external-dns/resource=ingress/build/exp",,True,"10.195.217.250, 10.195.222.77",,,,,
[x],build.test.magellan.zynga.com,"ns-331.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"10.195.223.225, 10.195.217.228",,"heritage=external-dns,external-dns/owner=magellan-dev-eks,external-dns/resource=ingress/build/test",,True,"10.195.223.225, 10.195.217.228",,,,,
[x],build.zynga.com,"ns-888.awsdns-47.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1186.awsdns-20.org, ns-1900.awsdns-45.co.uk, ns-379.awsdns-47.com, ns-888.awsdns-47.net",,,,,,,,,
[x],bwf-assets.cdn.zynga.com,"ns-1540.awsdns-00.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"18.66.233.77, 18.66.233.48, 18.66.233.26, 18.66.233.59, 205.251.193.232, 205.251.195.249","ns-1098.awsdns-09.org, ns-1017.awsdns-63.net, ns-488.awsdns-61.com, ns-1540.awsdns-00.co.uk",,dpahcck8m6s5r.cloudfront.net,,,"2600:9000:2435:7a00:e:6d82:83c0:93a1, 2600:9000:2435:3a00:e:6d82:83c0:93a1, 2600:9000:2435:a000:e:6d82:83c0:93a1, 2600:9000:2435:8600:e:6d82:83c0:93a1, 2600:9000:2435:cc00:e:6d82:83c0:93a1, 2600:9000:2435:fc00:e:6d82:83c0:93a1, 2600:9000:2435:3600:e:6d82:83c0:93a1, 2600:9000:2435:b200:e:6d82:83c0:93a1",True,cloudfront,,
[x],c7-ex-ip02.zynga.com,,NOERROR,54.144.128.85,,,,,,,,,,
[x],c7-ftp.corp.zynga.com,"ns-1096.awsdns-09.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
