input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_subject_org_,tls_mismatched,final_url,tls_expired,csp_domains_
*.mapbox.com,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,223817,www.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,2023-10-29T22:42:12Z,CN=www.mapbox.com,www.mapbox.com,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,73a43d4f038cdb00bd4fa9f650f62444,c5fa624e111e897adc6c5555b352ae5527cca50157f8cb61903eb8fd8aca9ed9,ctls,www.mapbox.com,fastly,443,https://mapbox.com:443,https,,text/html,GET,151.101.0.143,/,1556104729,151.101.192.143,Webflow,2201,False,True,,,,https://www.mapbox.com/,,
*.mixpanel.com,"Mixpanel: Event Analytics for Mobile, Web & More",200,887442,mixpanel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,CN=*.mixpanel.com,*.mixpanel.com,mixpanel.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",9de3177e2f0aeca9d197e5cfb99d784a,d0d3af37fb07a2a39f463802f3ef15b06b258c5068a987d54cbd37b5843906f5,ctls,mixpanel.com,google,443,https://mixpanel.com:443,https,nginx,text/html,GET,34.96.97.101,/,-1134128844,34.96.97.101,Nginx,1,False,True,True,,,,,
*.tiles.mapbox.com,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,223817,www.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,2023-10-29T22:42:12Z,CN=www.mapbox.com,www.mapbox.com,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,73a43d4f038cdb00bd4fa9f650f62444,c5fa624e111e897adc6c5555b352ae5527cca50157f8cb61903eb8fd8aca9ed9,ctls,www.mapbox.com,fastly,443,https://tiles.mapbox.com:443,https,,text/html,GET,146.75.120.143,/,71544021,146.75.120.143,Webflow,2201,False,True,,,,https://www.mapbox.com,,
accounts.cdn.zynga.com,,403,243,accounts.cdn.zynga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-03-03T23:59:59Z,CN=accounts.static.zynga.com,accounts.static.zynga.com,zemail.cdn.zynga.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8e109807232e62465bc65796db488820,3c59161a26af050866bfdc07cc731db246587b4dd49e7262bba7c4b916ecf0a2,ctls,accounts.cdn.zynga.com,cloudfront,443,https://accounts.cdn.zynga.com:443,https,AmazonS3,application/xml,GET,18.66.122.100,/,-21669839,2600:9000:2250:6a00:e:6fc7:5000:93a1,Amazon Web Services,2,False,True,,,,,,
activate.zynga.com,Account Activation,200,3005,activate.zynga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2024-03-27T23:59:59Z,CN=*.activate.zynga.com,*.activate.zynga.com,activate.zynga.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c9b51e7a5199d0492994ecf0dc8032a,53f863a9d83153755614ab87010d6148078f7eba58d951e4302284fc52ff28da,ctls,activate.zynga.com,cloudfront,443,https://activate.zynga.com:443,https,AmazonS3,text/html,GET,18.66.97.98,/,2011461558,18.66.97.35,Amazon Web Services,1,False,True,True,,,,,
admin-staging.leaderboards.zynga.com,LeaderboardsAdminTool,200,1586,admin-staging.leaderboards.zynga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-03T00:00:00Z,2024-03-31T23:59:59Z,CN=admin-staging.leaderboards.zynga.com,admin-staging.leaderboards.zynga.com,admin-staging.leaderboards.zynga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,aba44fef671898201cba3232b002eda7,ee014a3cdc4ad2694c7ccb6c6aa5c52504424121a4d269b29ca6d88143f0de0f,ctls,admin-staging.leaderboards.zynga.com,cloudfront,80,http://admin-staging.leaderboards.zynga.com:80,http,AmazonS3,text/html,GET,52.222.236.50,/,-845834622,2600:9000:223e:9200:d:dffc:c9c0:93a1,Amazon Web Services,4,False,True,,,,https://admin-staging.leaderboards.zynga.com/,,
admin.gotslots.zynga.com,403 Forbidden,403,209,admin.gotslots.zynga.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2023-12-09T23:59:59Z,CN=admin.staging.gotslots.zynga.com,admin.staging.gotslots.zynga.com,admin.staging.gotslots.zynga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8664ba3a40210e19321e94dcf9053542,432d4125a61bbe611537d5f956975694af5e8a81c3e74cd713bf6e49dae606f8,ctls,admin.gotslots.zynga.com,,443,https://admin.gotslots.zynga.com:443,https,Apache,text/html,GET,52.32.125.145,/,1773807799,44.238.155.58,Apache,10,False,,,,True,,,
admin.leaderboards.zynga.com,LeaderboardsAdminTool,200,1586,admin.leaderboards.zynga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-29T23:59:59Z,CN=admin.leaderboards.zynga.com,admin.leaderboards.zynga.com,admin.leaderboards.zynga.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,655d85e0909dd63cccc8908fabca67d5,cce58083b657badae641ea484d551ea232dfdff1c4e331350ee0ed1dc0522ab1,ctls,admin.leaderboards.zynga.com,cloudfront,443,https://admin.leaderboards.zynga.com:443,https,AmazonS3,text/html,GET,18.66.248.126,/,-845834622,2600:9000:2490:0:3:b379:4840:93a1,Amazon Web Services,4,False,True,,,,,,
adteam.zynga.com,,204,,adteam.zynga.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T12:23:02Z,2023-07-17T12:23:01Z,CN=adteam.zynga.com,adteam.zynga.com,adteam.zynga.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f9fdc9b1990577d4831cc23318744b9f,dcec169052ec50d3631eaf29f06ee1f4972035cad2feb17db0ad4dea1befb741,ctls,adteam.zynga.com,,443,https://adteam.zynga.com:443,https,,,GET,44.207.49.235,/,-1840324437,34.200.75.180,HSTS,1,False,,,,,,,
api-f2c26bfb.duosecurity.com,Multi-Factor Authentication & Single Sign-On | Duo Security,200,77426,duo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-10-21T23:59:59Z,CN=www.duosecurity.com,www.duosecurity.com,duosecurity.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,43ebb26ebdc9f2de685624c126ca1552,0d863756b277ca2067fbb57e444d2b47a31b2dedf71a2e34e12987f95c32ff49,ctls,duo.com,,443,https://api-f2c26bfb.duosecurity.com:443,https,Duo/1.0,text/html,GET,52.32.63.133,/,374378023,52.32.63.133,Vue.js,3041,False,,,,,https://duo.com/,,https://learn-cloudsecurity.cisco.com
