new,host,a,mx,soa,ns,txt,status_code,cname,caa,cdn,cdn-name,aaaa,has_internal_ips,internal_ips
[x],0-26.atlassian.net,"185.166.143.38, 185.166.143.37, 185.166.143.36","inbound-smtp.us-east-1.amazonaws.com, inbound-smtp.us-west-2.amazonaws.com","ns-110.awsdns-13.com, awsdns-hostmaster.amazon.com",,"v=spf1 include:_spf.atlassian.net include:mail-us.atlassian.net include:mail-eu.atlassian.net -all, wildcard-placeholder",NOERROR,,,,,,,
[x],0-5mail08.atlassian.net,"185.166.143.38, 185.166.143.36, 185.166.143.37","inbound-smtp.us-east-1.amazonaws.com, inbound-smtp.us-west-2.amazonaws.com","ns-110.awsdns-13.com, awsdns-hostmaster.amazon.com",,"v=spf1 include:_spf.atlassian.net include:mail-us.atlassian.net include:mail-eu.atlassian.net -all, wildcard-placeholder",NOERROR,,,,,,,
[x],0-eu.atlassian.net,"185.166.143.36, 185.166.143.38, 185.166.143.37","inbound-smtp.us-west-2.amazonaws.com, inbound-smtp.us-east-1.amazonaws.com","ns-110.awsdns-13.com, awsdns-hostmaster.amazon.com",,"v=spf1 include:_spf.atlassian.net include:mail-us.atlassian.net include:mail-eu.atlassian.net -all, wildcard-placeholder",NOERROR,,,,,,,
[x],0.atlassian.net,"185.166.143.37, 185.166.143.36, 185.166.143.38","inbound-smtp.us-west-2.amazonaws.com, inbound-smtp.us-east-1.amazonaws.com","ns-110.awsdns-13.com, awsdns-hostmaster.amazon.com",,"wildcard-placeholder, v=spf1 include:_spf.atlassian.net include:mail-us.atlassian.net include:mail-eu.atlassian.net -all",NOERROR,,,,,,,
[x],000.atlassian.net,"185.166.143.37, 185.166.143.36, 185.166.143.38","inbound-smtp.us-west-2.amazonaws.com, inbound-smtp.us-east-1.amazonaws.com","ns-110.awsdns-13.com, awsdns-hostmaster.amazon.com",,"v=spf1 include:_spf.atlassian.net include:mail-us.atlassian.net include:mail-eu.atlassian.net -all, wildcard-placeholder",NOERROR,,,,,,,
[x],001-0009302176-mc2-kreativne.atlassian.net,"185.166.143.36, 185.166.143.37, 185.166.143.38","inbound-smtp.us-west-2.amazonaws.com, inbound-smtp.us-east-1.amazonaws.com","ns-110.awsdns-13.com, awsdns-hostmaster.amazon.com",,"wildcard-placeholder, v=spf1 include:_spf.atlassian.net include:mail-us.atlassian.net include:mail-eu.atlassian.net -all",NOERROR,,,,,,,
[x],00333.atlassian.net,"185.166.143.36, 185.166.143.37, 185.166.143.38","inbound-smtp.us-east-1.amazonaws.com, inbound-smtp.us-west-2.amazonaws.com","ns-110.awsdns-13.com, awsdns-hostmaster.amazon.com",,"v=spf1 include:_spf.atlassian.net include:mail-us.atlassian.net include:mail-eu.atlassian.net -all, wildcard-placeholder",NOERROR,,,,,,,
[x],007dude.atlassian.net,"185.166.143.38, 185.166.143.36, 185.166.143.37","inbound-smtp.us-west-2.amazonaws.com, inbound-smtp.us-east-1.amazonaws.com","ns-110.awsdns-13.com, awsdns-hostmaster.amazon.com",,"wildcard-placeholder, v=spf1 include:_spf.atlassian.net include:mail-us.atlassian.net include:mail-eu.atlassian.net -all",NOERROR,,,,,,,
[x],007sex.atlassian.net,"104.192.142.18, 104.192.142.19, 104.192.142.20","inbound-smtp.us-west-2.amazonaws.com, inbound-smtp.us-east-1.amazonaws.com","ns-110.awsdns-13.com, awsdns-hostmaster.amazon.com",,"v=spf1 include:_spf.atlassian.net include:mail-us.atlassian.net include:mail-eu.atlassian.net -all, wildcard-placeholder",NOERROR,,,,,,,
[x],008-vt6kji.atlassian.net,"104.192.142.18, 104.192.142.19, 104.192.142.20","inbound-smtp.us-west-2.amazonaws.com, inbound-smtp.us-east-1.amazonaws.com","ns-110.awsdns-13.com, awsdns-hostmaster.amazon.com",,"v=spf1 include:_spf.atlassian.net include:mail-us.atlassian.net include:mail-eu.atlassian.net -all, wildcard-placeholder",NOERROR,,,,,,,
