input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,csp_domains_
0bef0abeeda549fda16dfcc275f0fa79.a.conn.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,0bef0abeeda549fda16dfcc275f0fa79.a.conn.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,0bef0abeeda549fda16dfcc275f0fa79.a.conn.test-ns-signed.internet.nl,443,https://0bef0abeeda549fda16dfcc275f0fa79.a.conn.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-807562861,62.204.66.10,HSTS,2,False,True,
1973e58cf26f4abfa80dc16df0a18d4a.bogus.conn.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,1973e58cf26f4abfa80dc16df0a18d4a.bogus.conn.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,1973e58cf26f4abfa80dc16df0a18d4a.bogus.conn.test-ns-signed.internet.nl,443,https://1973e58cf26f4abfa80dc16df0a18d4a.bogus.conn.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-2099653971,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
6d0b03083bee4e6cab29f03eef8f554b.a.conn.test-ns-signed.internet.nl,,500,,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,,,,,,,,,,,,,,,,,,80,http://6d0b03083bee4e6cab29f03eef8f554b.a.conn.test-ns-signed.internet.nl:80,http,intentionally-undisclosed-internetnl-139sj2W9kB8,text/html,GET,62.204.66.10,/,-1042534128,62.204.66.10,,1,False,,
8efba613b1af4866a18e6c9bd7986899.a.conn.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,8efba613b1af4866a18e6c9bd7986899.a.conn.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,8efba613b1af4866a18e6c9bd7986899.a.conn.test-ns-signed.internet.nl,443,https://8efba613b1af4866a18e6c9bd7986899.a.conn.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,1583660766,62.204.66.10,HSTS,2,False,True,
backup.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,backup.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,backup.test-ns-signed.internet.nl,443,https://backup.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-1888044074,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
bd953bbf1faf4afd917be364a4f4510a.a.conn.test-ns-signed.internet.nl,,500,,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,,,,,,,,,,,,,,,,,,80,http://bd953bbf1faf4afd917be364a4f4510a.a.conn.test-ns-signed.internet.nl:80,http,intentionally-undisclosed-internetnl-139sj2W9kB8,text/html,GET,62.204.66.10,/,-1042534128,62.204.66.10,,1,False,,
builds.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,builds.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,builds.test-ns-signed.internet.nl,443,https://builds.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-669811164,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
cdn.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,cdn.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,cdn.test-ns-signed.internet.nl,443,https://cdn.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-200759766,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
cms.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,cms.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,cms.test-ns-signed.internet.nl,443,https://cms.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,246324040,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
conf.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,AS41887,PROLOCATION Prolocation,NL,62.204.72.0/24,conf.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,conf.test-ns-signed.internet.nl,443,https://conf.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,653167004,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,True,
