input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,final_url
config.rupiahtoken.com,Origin DNS error | config.rupiahtoken.com | Cloudflare,530,6216,cloudflare,443,https://config.rupiahtoken.com:443,https,cloudflare,text/html,GET,104.21.53.156,/,2005079475,2606:4700:3030::6815:359c,Cloudflare,93,False,True,config.rupiahtoken.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T02:51:14Z,2023-07-09T02:51:13Z,CN=*.rupiahtoken.com,*.rupiahtoken.com,rupiahtoken.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,94f2a5a5033b7a335381539359b0e177,d87aef1c47060020fd8184af274abc86ec3eedff7ae6f377f528ca0055676ae3,True,ctls,config.rupiahtoken.com,
fwdkim1.rupiahtoken.com,ERROR: The request could not be satisfied,403,915,cloudfront,80,http://fwdkim1.rupiahtoken.com:80,http,CloudFront,text/html,GET,13.225.78.59,/,-117113161,13.225.78.38,Amazon Web Services,20,False,True,,,,,,,,,,,,,,,,,,,
sandbox.backoffice.rupiahtoken.com,503 Service Temporarily Unavailable,503,564,,443,https://sandbox.backoffice.rupiahtoken.com:443,https,awselb/2.0,text/html,GET,18.136.154.48,/,2051366281,18.136.154.48,,13,False,,sandbox.backoffice.rupiahtoken.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2023-10-25T23:59:59Z,CN=sandbox.backoffice.rupiahtoken.com,sandbox.backoffice.rupiahtoken.com,sandbox.backoffice.rupiahtoken.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,0144f22d167ae5bf1b48b940d20a0127,ca3232f9b052986134679fcb2d92ca810924ccfdb483851ed1f7f6f2f2141f34,,ctls,sandbox.backoffice.rupiahtoken.com,
staging.dashboard.rupiahtoken.com,,200,3730,,80,http://staging.dashboard.rupiahtoken.com:80,http,Vercel,text/html,GET,76.76.21.93,/,909536006,76.76.21.241,Vercel,1,False,,staging.dashboard.rupiahtoken.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-21T21:55:25Z,2023-06-19T21:55:24Z,CN=staging.dashboard.rupiahtoken.com,staging.dashboard.rupiahtoken.com,staging.dashboard.rupiahtoken.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,510bb5818bfb99937c451f07ec293d7c,04a40dca2d0fd5f3213a383c5dc21a0d324e0ac76c32efa6588f07e05dbad359,,ctls,staging.dashboard.rupiahtoken.com,https://staging.dashboard.rupiahtoken.com/
