input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,cdn_name,port,url,scheme,webserver,content_type,method,host,path,a_,tech_,lines,failed,cdn,favicon,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,csp_domains_,final_url
api-openbanking-sandbox.starlingbank.com,401 Authorization Required,401,172,AS16509,AS16509,Unknown,34.240.0.0/12,,443,https://api-openbanking-sandbox.starlingbank.com:443,https,nginx,text/html,GET,34.248.143.173,/,3.248.77.163,Nginx,8,False,,-1710455754,api-openbanking-sandbox.starlingbank.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-11T17:19:22Z,2023-12-13T17:19:21Z,CN=api-openbanking-sandbox.starlingbank.com,api-openbanking-sandbox.starlingbank.com,,api-openbanking-sandbox.starlingbank.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,7515314453b6dec6d75beb381e2229e5,f4733fb53cbd9fe34986506ea540f8bd114b5cd9033c61524ff1d9d8e3abc990,,ctls,api-openbanking-sandbox.starlingbank.com,,
crl.starlingbank.com,,403,255,AS0,Not routed,None,99.86.8.0/24,cloudfront,443,https://crl.starlingbank.com:443,https,AmazonS3,application/xml,GET,99.86.4.80,/,99.86.4.103,Amazon Web Services,2,False,True,964506275,crl.starlingbank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,crl.starlingbank.com,,
developer-sandbox.starlingbank.com,Starling Developers,200,1810,AS16509,AS16509,Unknown,52.16.0.0/14,,80,http://developer-sandbox.starlingbank.com:80,http,nginx,text/html,GET,52.17.16.213,/,52.208.123.187,Nginx,1,False,,1282305470,developer-sandbox.starlingbank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,developer-sandbox.starlingbank.com,payment-api.starlingbank.com,https://developer-sandbox.starlingbank.com:443/
docs.google.com,Sign in - Google Accounts,200,556413,AS15169,GOOGLE,US,142.250.0.0/15,,443,https://docs.google.com:443,https,ESF,text/html,GET,142.250.185.238,/,2a00:1450:4001:80b::200e,HTTP/3,46,False,,-1752499564,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,True,ctls,accounts.google.com,https://apis.google.com,https://accounts.google.com/v3/signin/identifier?dsh=S-737864279%3A1683717460572245&continue=https%3A%2F%2Fdocs.google.com%2F&emr=1&followup=https%3A%2F%2Fdocs.google.com%2F&ifkv=Af_xneGRahUZJC0DwFfp6dVdfnImzOUNTss-4ri0Uh8Zh_oLx6EggivBH7Tl_8zfXZF309zOOaIaiw&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin
engineering-admin.starlingbank.com,400 No required SSL certificate was sent,400,632,AS16509,AS16509,Unknown,54.220.0.0/16,,443,https://engineering-admin.starlingbank.com:443,https,nginx,text/html,GET,54.216.150.217,/,3.251.30.140,Nginx,15,False,,1752500266,engineering-admin.starlingbank.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,engineering-admin.starlingbank.com,,
looker.starlingbank.com,400 No required SSL certificate was sent,400,632,AS16509,AS16509,Unknown,34.240.0.0/12,,443,https://looker.starlingbank.com:443,https,nginx,text/html,GET,34.252.24.226,/,99.81.57.168,Nginx,15,False,,1752500266,looker.starlingbank.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,looker.starlingbank.com,,
prometheus.starlingbank.com,400 No required SSL certificate was sent,400,632,AS16509,AS16509,Unknown,18.200.0.0/14,,443,https://prometheus.starlingbank.com:443,https,nginx,text/html,GET,18.200.121.164,/,54.170.136.217,Nginx,15,False,,1752500266,prometheus.starlingbank.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,prometheus.starlingbank.com,,
staging.starlingbank.com,,401,12,AS16509,AMAZON-02,US,143.204.104.0/24,cloudfront,443,https://staging.starlingbank.com:443,https,CloudFront,,GET,143.204.89.127,/,2600:9000:2156:c800:1b:2418:4ac0:93a1,Amazon Web Services,1,False,True,1788358917,staging.starlingbank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-20T14:11:43Z,2023-08-21T14:11:42Z,"CN=*.starlingbank.com, O=STARLING BANK LIMITED, OU=Security, L=London, ST=Greater London, C=GB",*.starlingbank.com,STARLING BANK LIMITED,starlingbank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0ffa329ca7f5e29b30af175b23375a43,735d8520630b39d98af7907da72b5dd50e1ce39491403bed93b672c9eef75e90,True,ctls,staging.starlingbank.com,,
starlingbank.github.io,Site not found · GitHub Pages,404,9115,AS54113,AS54113,Unknown,185.199.108.0/22,,443,https://starlingbank.github.io:443,https,GitHub.com,text/html,GET,185.199.109.153,/,2606:50c0:8003::153,Varnish,80,False,,1920503104,starlingbank.github.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,starlingbank.github.io,,
starlingbank.typeform.com,Typeform: People-Friendly Forms and Surveys,200,454659,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,cloudflare,443,https://starlingbank.typeform.com:443,https,istio-envoy,text/html,GET,104.18.22.9,/,104.18.23.9,Node.js,1041,False,True,756143462,www.typeform.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-10-29T23:59:59Z,CN=*.typeform.com,*.typeform.com,,typeform.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8e1477c166714b5937c19a1b04935cd7,62c86491abbae2a2d7b0e004e4272e8e7702abd68f392842f77bcfe405929c25,True,ctls,www.typeform.com,forms.hsforms.com,https://www.typeform.com/
