new,host,a,cname,soa,status_code,cdn,cdn-name,ns,mx,txt,aaaa,caa
[x],admin.devc.yelp.com,,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
[x],admin.stageg.yelp.com,,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
[x],biz.devc.yelp.com,,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
[x],biz.stagef.yelp.com,,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
[x],biz.stageg.yelp.com,,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
[x],biz.testopia.yelp.com,,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
[x],business.devc.yelp.com,,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
[x],business.stageg.yelp.com,,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
[x],business.testopia.yelp.com,,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
[x],em.yelp.com,,u6689113.wl114.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,mx.sendgrid.net,v=spf1 ip4:167.89.8.98 ip4:168.245.63.216 ip4:50.31.42.7 ip4:50.31.48.221 -all,,
[x],m.stageg.yelp.com,,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
[x],m.testopia.yelp.com,,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
[x],mail.yelp.com,,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,smtpintl.yelpcorp.com,v=spf1 include:sendgrid.net ~all,,
[x],megavip.iad1.yelp.com,146.75.120.116,yelp-com.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
[x],sub-166-140-123.nowait.com,35.224.74.121,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,
[x],www.edge-fl.yelp.com,146.75.120.116,yelp-com.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,044121.yelp.com,"151.101.0.116, 151.101.64.116, 151.101.128.116, 151.101.192.116",yelp-com.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,10.72.105.165www.yelp.com,146.75.120.116,yelp-com.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
