input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn
044121.yelp.com,"Frankfurt am Main Restaurants, Essen, Shopping, Hotels, Wellness, Ärzte - Yelp",,387336,www.yelp.de,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,CN=yelp.co.uk,yelp.co.uk,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,www.yelp.de,443,https://044121.yelp.com:443,https,envoy,text/html,GET,146.75.120.116,Zipkin,91,True
10.72.105.165www.yelp.com,"Frankfurt am Main Restaurants, Essen, Shopping, Hotels, Wellness, Ärzte - Yelp",,386884,www.yelp.de,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,CN=yelp.co.uk,yelp.co.uk,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,www.yelp.de,443,https://10.72.105.165www.yelp.com:443,https,envoy,text/html,GET,151.101.0.116,Zipkin,91,True
253ayelp.nowait.com,Join the largest restaurant consumer network in the US with Yelp Guest Manager,,273815,restaurants.yelp.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-08T00:00:00Z,CN=yelp.com,yelp.com,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,restaurants.yelp.com,443,https://253ayelp.nowait.com:443,https,nginx,text/html,GET,35.224.74.121,Yoast SEO:19.7.1,1643,True
2fwww.yelp.com,"Frankfurt am Main Restaurants, Essen, Shopping, Hotels, Wellness, Ärzte - Yelp",,167978,www.yelp.de,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,CN=yelp.co.uk,yelp.co.uk,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,www.yelp.de,443,https://2fwww.yelp.com:443,https,envoy,text/html,GET,151.101.0.116,Zipkin,86,True
3a7b182.yelp.com,"Restaurants, Dentists, Bars, Beauty Salons, Doctors - Yelp",,411595,m.yelp.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,"CN=yelp.com, O=Yelp Inc., L=San Francisco, ST=California, C=US",yelp.com,Yelp Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,m.yelp.com,443,https://3a7b182.yelp.com:443,https,envoy,text/html,GET,151.101.0.116,Zipkin,74,True
3ayelp.nowait.com,Join the largest restaurant consumer network in the US with Yelp Guest Manager,,273815,restaurants.yelp.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-08T00:00:00Z,CN=yelp.com,yelp.com,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,restaurants.yelp.com,443,https://3ayelp.nowait.com:443,https,nginx,text/html,GET,35.224.74.121,Yoast SEO:19.7.1,1643,True
50.yelp.com,"Frankfurt am Main Restaurants, Essen, Shopping, Hotels, Wellness, Ärzte - Yelp",,387983,www.yelp.de,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,CN=yelp.co.uk,yelp.co.uk,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,www.yelp.de,443,https://50.yelp.com:443,https,envoy,text/html,GET,151.101.0.116,Zipkin,91,True
80fb2f74e36c04.yelp.com,"Frankfurt am Main Restaurants, Essen, Shopping, Hotels, Wellness, Ärzte - Yelp",,387275,www.yelp.de,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,CN=yelp.co.uk,yelp.co.uk,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,www.yelp.de,443,https://80fb2f74e36c04.yelp.com:443,https,envoy,text/html,GET,151.101.0.116,Zipkin,91,True
87823bcee37.yelp.com,"Frankfurt am Main Restaurants, Essen, Shopping, Hotels, Wellness, Ärzte - Yelp",,386422,www.yelp.de,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,CN=yelp.co.uk,yelp.co.uk,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,www.yelp.de,443,https://87823bcee37.yelp.com:443,https,envoy,text/html,GET,151.101.0.116,Zipkin,91,True
abaykamau.yelp.com,R A M.'s Reviews | Baltimore - Yelp,,292440,www.yelp.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,"CN=yelp.com, O=Yelp Inc., L=San Francisco, ST=California, C=US",yelp.com,Yelp Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,www.yelp.com,443,https://abaykamau.yelp.com:443,https,envoy,text/html,GET,151.101.0.116,Zipkin,3539,True
