new,host,a,soa,txt,status_code,cdn,cdn-name,cname,mx,ns,has_internal_ips,internal_ips,aaaa
,brfs.stitch.gapinc.com,"63.33.17.94, 54.195.237.234, 52.51.23.169","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com","google-site-verification=mkBHGAPOxlk6pIgaGoEaFmHT3LRsGp7XjtZSWnztvDM, google-site-verification=t_LCpWzpUE0xslgqAe-ypZAk6mTXVIvHd5hmPoIcofU, v=spf1 include:_spf.google.com include:mail.zendesk.com include:19492330.spf04.hubspotemail.net include:sendgrid.net mx:amplemarket.com ~all, MS=ms44942321, detectify-verification=969838a510dd75807234eecda55b8edc, google-site-verification=4umc_CvDaQxDND9zzPeTDBna58WZAJv4eJQVA76409Y",NOERROR,,,zeroheight.com,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","ns-1439.awsdns-51.org, ns-1991.awsdns-56.co.uk, ns-1002.awsdns-61.net, ns-103.awsdns-12.com",,,
,careersblog.gapinc.com,216.70.112.21,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,"edns83.ultradns.biz, edns83.ultradns.org, edns83.ultradns.net, edns83.ultradns.com",,,
,citrix.gapinc.com,8.18.111.104,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,click.email.gapinc.com,13.111.39.28,"ns1.exacttarget.com, hostmaster.exacttarget.com",,NOERROR,,,,,,,,
,confluence.gapinc.com,8.18.111.181,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,console.b2b.gapinc.com,206.16.32.161,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,corporate.gapinc.com,13.93.158.16,"edns83.ultradns.com, hostmaster.gap.com",gapinc-prod.azurewebsites.net,NOERROR,True,azure,,,,,,
,cpguest.gapinc.com,8.18.111.60,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,cross-brand.stitch.gapinc.com,"52.51.23.169, 54.195.237.234, 63.33.17.94","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com","google-site-verification=t_LCpWzpUE0xslgqAe-ypZAk6mTXVIvHd5hmPoIcofU, google-site-verification=mkBHGAPOxlk6pIgaGoEaFmHT3LRsGp7XjtZSWnztvDM, google-site-verification=4umc_CvDaQxDND9zzPeTDBna58WZAJv4eJQVA76409Y, detectify-verification=969838a510dd75807234eecda55b8edc, v=spf1 include:_spf.google.com include:mail.zendesk.com include:19492330.spf04.hubspotemail.net include:sendgrid.net mx:amplemarket.com ~all, MS=ms44942321",NOERROR,,,zeroheight.com,"alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com","ns-1002.awsdns-61.net, ns-1439.awsdns-51.org, ns-1991.awsdns-56.co.uk, ns-103.awsdns-12.com",,,
,dcstap1.gapinc.com,8.18.111.195,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
,dmstap1.gapinc.com,8.18.111.197,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,,
