new,host,a,soa,ns,status_code,cname,cdn,cdn-name,aaaa,caa,mx,txt
[x],e.orionlabs.io,"54.243.161.55, 54.166.96.114, 54.221.50.8","ns-834.awsdns-40.net, awsdns-hostmaster.amazon.com",,NOERROR,custom-tracking.salesloft.com,,,,"letsencrypt.org, comodoca.com, digicert.com, pki.goog",,
[x],enterpriseenrollment.orionlabs.io,52.236.189.96,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",,NOERROR,"enterpriseenrollment-s.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com",True,azure,,,,
[x],enterpriseregistration.orionlabs.io,20.190.137.40,"internal.akadns.net, hostmaster.akamai.com",,NOERROR,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.akadns.net",True,azure,,,,
[x],gateway.discovery.orionlabs.io,"52.203.104.48, 3.229.206.75, 3.232.143.177","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],gateway.staging.orionlabs.io,"3.229.206.75, 3.232.143.177, 52.203.104.48","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],info.orionlabs.io,"199.60.103.28, 199.60.103.228","jerry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"3306698.group48.sites.hubspot.net, group48.sites.hscoscdn40.net",,,"2606:2c40::c73c:67e4, 2606:2c40::c73c:671c",,,
[x],launch.orionlabs.io,208.97.145.119,"ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com","ns-1358.awsdns-41.org, ns-1729.awsdns-24.co.uk, ns-36.awsdns-04.com, ns-955.awsdns-55.net",NOERROR,,,,,,,
[x],locris.dev-02.orionlabs.io,"35.153.246.145, 18.206.131.153, 107.23.208.206","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],locris.staging.orionlabs.io,"3.232.143.177, 52.203.104.48, 3.229.206.75","ns-955.awsdns-55.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],login.dev-01.orionlabs.io,199.232.18.132,"ns1.fastly.net, hostmaster.fastly.com",,NOERROR,j.sni.global.fastly.net,True,fastly,,,,
[x],login.dev-02.orionlabs.io,"151.101.130.132, 151.101.194.132, 151.101.2.132, 151.101.66.132","ns1.fastly.net, hostmaster.fastly.com",,NOERROR,j.sni.global.fastly.net,True,fastly,,,,
