new,host,a,soa,status_code,cdn,cdn-name,cname,mx,txt,has_internal_ips,internal_ips,aaaa,ns,caa
[x],0rigiwatch.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],0rigiwatchapi.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],1039-beta-feature.tokopedia.com,,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],888.tokopedia.com,,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],9power-grosir.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],abonku.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],academy.tokopedia.com,"185.225.250.67, 185.225.250.65","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,"academy.tokopedia.com.edgesuite.net, a1329.r.akamai.net",,,,,,,
[x],accesslabs7-9.m.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],accounts-staging.tokopedia.com,35.186.219.109,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,,
[x],accounts-staging.tokopedia.id,161.117.82.27,"ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],accounts.tokopedia.com,173.223.113.60,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"accounts.tokopedia.com.edgekey.net, e10893.a.akamaiedge.net",,,,,,,
[x],accounts.tokopedia.id,47.74.174.17,"ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],accountspayment.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ace-aliyun.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ace-staging.tokopedia.com,34.102.249.76,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,,
[x],ace.tokopedia.com,104.75.89.108,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"ace.tokopedia.com.edgekey.net, e10893.a.akamaiedge.net",,,,,,,
[x],addprinting.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],adkotex.comwww.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],affiliate.tokopedia.com,34.117.166.57,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,,
[x],agora.tokopedia.net,172.21.245.150,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.21.245.150,,,
[x],airflow.tokopedia.net,54.254.227.49,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,,alb-tokopedia-net-prod-office-1531159658.ap-southeast-1.elb.amazonaws.com,,,,,,,
[x],ajax-aliyun.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ajax.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],akamai-test.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],akasenhane-corp.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],alpha5.tokopedia.net,47.74.175.252,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],alzegolf.comwww.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],amiyahshop.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,"ns-1184.awsdns-20.org, ns-1959.awsdns-52.co.uk, ns-491.awsdns-61.com, ns-869.awsdns-44.net",
[x],analytics-staging.tokopedia.com,34.149.157.238,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,"ns-1184.awsdns-20.org, ns-1959.awsdns-52.co.uk, ns-491.awsdns-61.com, ns-869.awsdns-44.net",
[x],analytics.tokopedia.net,161.117.68.194,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],android-jenkins.office.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],aneka-dvd.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],annamaniac.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],antonwebstore.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],anynomish.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api-staging.tokopedia.com,161.117.160.165,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,staging-alicloud.tokopedia.com,,,,,,,
[x],api-status.tokopedia.com,34.149.107.28,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,,
[x],api.tokopedia.com,173.223.113.60,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"api.tokopedia.com.edgekey.net, e10893.a.akamaiedge.net",,,,,,,
[x],app-seller.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],apps.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],apps.tokopedia.net,"23.45.181.168, 23.45.180.216","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,"apps.tokopedia.net.edgesuite.net, a568.r.akamai.net",,,,,,,
[x],aremaokeshop.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],argocd.tokopedia.net,10.41.31.222,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,10.41.31.222,,,
[x],art.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],arthur.tokopedia.net,10.72.0.65,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,10.72.0.65,,,
[x],assets-staging.tokopedia.net,34.120.35.141,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,assets-cdn-staging-poc.tokopedia.net,,,,,,,
[x],assets.ep.tokopedia.com,34.102.238.98,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],atlantis.tokopedia.com,34.149.107.28,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,wildcard-gcp.tokopedia.com,,,,,,,
[x],aypbpr.tokopedia.com,178.250.7.13,"ns23.criteo.com, dns.criteo.com",NOERROR,,,"dnsdelegation.io, gum.criteo.com, gum.fr3.vip.prod.criteo.com",,,,,2a02:2638:d::d,,digicert.com
[x],b2b.tokopedia.com,"54.255.157.129, 54.254.114.122, 52.74.252.48","ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,,wildcard-tokopedia-tech-prd-s0qk-1869495886.ap-southeast-1.elb.amazonaws.com,,,,,,,
[x],baby.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],be.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bejofashion.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],benefikojunior.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bertcarter.comwww.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],beta-feature.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bidadarishop.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],bigfour.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],biz.tokopedia.id,"202.169.53.168, 202.169.53.167","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],blog.tokopedia.com,47.88.140.65,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,origin-www-tkpd.tokopedia.com,,,,,,,
[x],blog789.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],booking.tokopedia.com,95.101.201.79,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"wildcard.tokopedia.com.edgekey.net, e10893.a.akamaiedge.net",,,,,,,
[x],bounty.tokopedia.net,34.117.137.29,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,,
[x],bpshop.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],brainsync.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],broadcast.tokopedia.com,"163.181.57.235, 163.181.57.236","ns3.alikunlun.com, root.taobao.com",NOERROR,,,broadcast.tokopedia.com.w.alikunlun.com,,,,,,,
[x],brothercorp.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],buffaloschools.miracleshop.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],builder.tokopedia.com,34.149.107.28,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,wildcard-gcp.tokopedia.com,,,,,,,
[x],bukupintar.tokopedia.net,54.144.128.85,,NOERROR,,,,,,,,,,
[x],business-beta.tokopedia.com,34.120.41.164,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,,
[x],business-staging.tokopedia.com,35.244.198.66,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,wildcard-gcp-staging.tokopedia.com,,,,,,,
[x],calendar.tokopedia.net,74.125.205.121,"ns1.google.com, dns-admin.google.com",NOERROR,,,ghs.googlehosted.com,,,,,2a00:1450:4010:c08::79,,
[x],ccp.tokopedia.com,34.149.107.28,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,,
[x],cdmotivasi.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,"ns-1184.awsdns-20.org, ns-1959.awsdns-52.co.uk, ns-491.awsdns-61.com, ns-869.awsdns-44.net",
[x],cdn-alpha.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],cdn-test.tokopedia.net,"173.222.107.91, 173.222.107.86","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,"cdn-test.tokopedia.net.edgesuite.net, a1939.r.akamai.net",,,,,,,
[x],cdn.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],cdn.tokopedia.net,"2.16.238.15, 2.16.238.13","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,"static.tokopedia.net.edgesuite.net, a1874.r.akamai.net",,,,,,,
[x],cdn3.tokopedia.net,"18.136.46.228, 18.139.133.37, 52.74.63.80","ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,,,alb-uploadapp-29995701.ap-southeast-1.elb.amazonaws.com,,,,,,,
[x],celebesshop.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],cerebro.tokopedia.net,172.21.250.133,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.21.250.133,,,
[x],chat.tokopedia.com,23.206.209.54,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"wildcard.tokopedia.com.edgekey.net, e10893.a.akamaiedge.net",,,,,,,
[x],ciptatrading.tokopedia.com,47.74.234.244,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],clicks.tokopedia.com,"167.89.118.52, 167.89.123.124, 167.89.123.54, 167.89.118.83, 208.94.148.4, 208.80.124.4, 208.80.126.4, 208.80.125.4, 208.80.127.4, 208.94.149.4","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,sendgrid.net,"mx2.sendgrid.net, mx.sendgrid.net","mailru-verification: 2e3995fa8a7d00e0, p8bnb2lp424dkl3c4io1aemiei, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE",,,"2600:1800:10::1, 2600:1801:11::1, 2600:1802:12::1, 2600:1801:13::1, 2600:1802:14::1, 2600:1800:15::1","ns13.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns14.dnsmadeeasy.com","godaddy.com, amazonaws.com"
[x],cndtechnologies.comwww.tokopedia.com,47.74.234.244,,NOERROR,,,,,,,,,,
[x],console.tokopedia.net,10.168.0.62,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,10.168.0.62,,,
[x],consul.tokopedia.net,47.74.175.252,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],cooltempair.comwww.tokopedia.com,47.74.244.18,"ns-869.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
