new,host,mx,soa,status_code,a,aaaa,cname,caa,ns,cdn,cdn-name,txt,has_internal_ips,internal_ips
[x],apac-exp1.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
[x],apex.seagate.com,"mx2.hc4959-67.iphmx.com, mx1.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
[x],api-c2.lyvebeta.seagate.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,13.87.230.182,,,,,True,azure,,,
[x],api.ap-southeast-1.lyvecloud.seagate.com,,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,192.55.4.22,,,,,,,,,
[x],api.dev.lyve.seagate.com,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,20.107.196.26,,"udx-eu-dev-tm.trafficmanager.net, agw-dev-lh-northeu.northeurope.cloudapp.azure.com",,,,,,,
[x],api.gcc.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
[x],api.ingest.lyve.seagate.com,,"ns1.fdv2-t-msedge.net, msnhst.microsoft.com, ns1.fb-t-msedge.net",NOERROR,"13.107.238.45, 13.107.237.45","2620:1ec:46::45, 2620:1ec:bdf::45","hs-prod-hwhjbadka6fjgshe.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net, dual.part-0017.t-0009.t-msedge.net, part-0017.t-0009.t-msedge.net, global-entry-afdthirdparty-fallback.trafficmanager.net, dual.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net",,,,,,,
[x],api.lyve.seagate.com,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,20.166.89.86,,"udx-prod-tm.trafficmanager.net, agw-prod-lh.northeurope.cloudapp.azure.com",,,,,,,
[x],api.lyvebeta.seagate.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],api.lyvecloud.seagate.com,,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
