input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_mismatched,tls_subject_org_
0-210.okta.app.sandbox.directly.com,Sign up | Directly,200,10530,AS14618,AMAZON-AES,US,35.168.0.0/13,0-210.okta.app.sandbox.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.sandbox.directly.com,*.sandbox.directly.com,sandbox.directly.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c1320cadbb50eba871d441b68b57227,60a9f529e1797339f521c9bca32b89870a708fa4de9d4518131ece5faaf4e597,True,ctls,0-210.okta.app.sandbox.directly.com,,80,http://0-210.okta.app.sandbox.directly.com:80,http,Apache,text/html,GET,35.168.33.143,/,1344368402,3.224.175.215,Pure CSS,283,False,,*.licdn.com,https://0-210.okta.app.sandbox.directly.com/login/auth,True,
0-216.sandbox.directly.com,Sign up | Directly,200,10530,AS14618,AMAZON-AES,US,3.224.0.0/12,0-216.sandbox.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.sandbox.directly.com,*.sandbox.directly.com,sandbox.directly.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c1320cadbb50eba871d441b68b57227,60a9f529e1797339f521c9bca32b89870a708fa4de9d4518131ece5faaf4e597,True,ctls,0-216.sandbox.directly.com,,80,http://0-216.sandbox.directly.com:80,http,Apache,text/html,GET,3.232.232.251,/,2095155567,35.168.33.143,Pure CSS,283,False,,*.licdn.com,https://0-216.sandbox.directly.com/login/auth,,
0-27.okta.app.sandbox.directly.com,Sign up | Directly,200,10530,AS14618,AMAZON-AES,US,3.224.0.0/12,0-27.okta.app.sandbox.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.sandbox.directly.com,*.sandbox.directly.com,sandbox.directly.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c1320cadbb50eba871d441b68b57227,60a9f529e1797339f521c9bca32b89870a708fa4de9d4518131ece5faaf4e597,True,ctls,0-27.okta.app.sandbox.directly.com,,80,http://0-27.okta.app.sandbox.directly.com:80,http,Apache,text/html,GET,3.232.232.251,/,1344368402,3.224.175.215,Pure CSS,283,False,,heapanalytics.com,https://0-27.okta.app.sandbox.directly.com/login/auth,True,
0030.directly.com,Sign up | Directly,200,10530,AS14618,AMAZON-AES,US,3.218.182.0/24,0030.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-08-02T23:59:59Z,CN=*.directly.com,*.directly.com,directly.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0aebf4de38b4749e2ac7e2e8df561338,9820943a05e57ab6bfe64896bd7422a5ab68e5ce5f9d908f51e4daa72b19a6b0,True,ctls,0030.directly.com,,443,https://0030.directly.com:443,https,Apache,text/html,GET,3.214.173.51,/,1899044793,3.210.22.86,Pure CSS,283,False,,cdn.heapanalytics.com,https://0030.directly.com/login/auth,,
007qiutanbifen.sandbox.directly.com,Sign up | Directly,200,10530,AS14618,AMAZON-AES,US,3.224.0.0/12,007qiutanbifen.sandbox.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.sandbox.directly.com,*.sandbox.directly.com,sandbox.directly.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c1320cadbb50eba871d441b68b57227,60a9f529e1797339f521c9bca32b89870a708fa4de9d4518131ece5faaf4e597,True,ctls,007qiutanbifen.sandbox.directly.com,,443,https://007qiutanbifen.sandbox.directly.com:443,https,Apache,text/html,GET,3.232.232.251,/,2095155567,35.168.33.143,Pure CSS,283,False,,*.online-metrix.net,https://007qiutanbifen.sandbox.directly.com/login/auth,,
007yulechang.sandbox.directly.com,Sign up | Directly,200,10530,AS14618,AMAZON-AES,US,3.228.0.0/17,007yulechang.sandbox.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.sandbox.directly.com,*.sandbox.directly.com,sandbox.directly.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c1320cadbb50eba871d441b68b57227,60a9f529e1797339f521c9bca32b89870a708fa4de9d4518131ece5faaf4e597,True,ctls,007yulechang.sandbox.directly.com,,443,https://007yulechang.sandbox.directly.com:443,https,Apache,text/html,GET,3.224.175.215,/,2095155567,35.168.33.143,Pure CSS,283,False,,heapanalytics.com,https://007yulechang.sandbox.directly.com/login/auth,,
069.sandbox.directly.com,Sign up | Directly,200,10530,AS14618,AMAZON-AES,US,3.228.0.0/17,069.sandbox.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.sandbox.directly.com,*.sandbox.directly.com,sandbox.directly.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c1320cadbb50eba871d441b68b57227,60a9f529e1797339f521c9bca32b89870a708fa4de9d4518131ece5faaf4e597,True,ctls,069.sandbox.directly.com,,443,https://069.sandbox.directly.com:443,https,Apache,text/html,GET,3.224.175.215,/,2095155567,3.214.232.166,Pure CSS,283,False,,*.doubleclick.net,https://069.sandbox.directly.com/login/auth,,
073.sandbox.directly.com,Sign up | Directly,200,10530,AS14618,AMAZON-AES,US,3.228.0.0/17,073.sandbox.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.sandbox.directly.com,*.sandbox.directly.com,sandbox.directly.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c1320cadbb50eba871d441b68b57227,60a9f529e1797339f521c9bca32b89870a708fa4de9d4518131ece5faaf4e597,True,ctls,073.sandbox.directly.com,,80,http://073.sandbox.directly.com:80,http,Apache,text/html,GET,3.224.175.215,/,1344368402,3.214.232.166,Pure CSS,283,False,,*.quantserve.com,https://073.sandbox.directly.com/login/auth,,
0797.sandbox.directly.com,Sign up | Directly,200,10530,AS14618,AMAZON-AES,US,3.218.182.0/24,0797.sandbox.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.sandbox.directly.com,*.sandbox.directly.com,sandbox.directly.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c1320cadbb50eba871d441b68b57227,60a9f529e1797339f521c9bca32b89870a708fa4de9d4518131ece5faaf4e597,True,ctls,0797.sandbox.directly.com,,443,https://0797.sandbox.directly.com:443,https,Apache,text/html,GET,3.214.232.166,/,2095155567,3.224.175.215,Pure CSS,283,False,,*.smooch.io,https://0797.sandbox.directly.com/login/auth,,
07zhi21huangjiaduchang.sandbox.directly.com,Sign up | Directly,200,10530,AS14618,AMAZON-AES,US,3.228.0.0/17,07zhi21huangjiaduchang.sandbox.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.sandbox.directly.com,*.sandbox.directly.com,sandbox.directly.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c1320cadbb50eba871d441b68b57227,60a9f529e1797339f521c9bca32b89870a708fa4de9d4518131ece5faaf4e597,True,ctls,07zhi21huangjiaduchang.sandbox.directly.com,,80,http://07zhi21huangjiaduchang.sandbox.directly.com:80,http,Apache,text/html,GET,3.224.175.215,/,2095155567,3.232.232.251,Pure CSS,283,False,,*.directly.com,https://07zhi21huangjiaduchang.sandbox.directly.com/login/auth,,
07zhi23huangjiaduchang-okta.app.sandbox.directly.com,Sign up | Directly,200,10530,AS14618,AMAZON-AES,US,3.218.182.0/24,07zhi23huangjiaduchang-okta.app.sandbox.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.sandbox.directly.com,*.sandbox.directly.com,sandbox.directly.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c1320cadbb50eba871d441b68b57227,60a9f529e1797339f521c9bca32b89870a708fa4de9d4518131ece5faaf4e597,True,ctls,07zhi23huangjiaduchang-okta.app.sandbox.directly.com,,80,http://07zhi23huangjiaduchang-okta.app.sandbox.directly.com:80,http,Apache,text/html,GET,3.214.232.166,/,1344368402,3.232.232.251,Pure CSS,283,False,,www.googletagmanager.com,https://07zhi23huangjiaduchang-okta.app.sandbox.directly.com/login/auth,True,
087.sandbox.directly.com,Sign up | Directly,200,10530,AS14618,AMAZON-AES,US,35.168.0.0/13,087.sandbox.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.sandbox.directly.com,*.sandbox.directly.com,sandbox.directly.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c1320cadbb50eba871d441b68b57227,60a9f529e1797339f521c9bca32b89870a708fa4de9d4518131ece5faaf4e597,True,ctls,087.sandbox.directly.com,,443,https://087.sandbox.directly.com:443,https,Apache,text/html,GET,35.168.33.143,/,2095155567,3.214.232.166,Pure CSS,283,False,,heapanalytics.com,https://087.sandbox.directly.com/login/auth,,
0x62626262.directly.com,Sign up | Directly,200,10530,AS14618,AMAZON-AES,US,35.168.0.0/13,0x62626262.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-08-02T23:59:59Z,CN=*.directly.com,*.directly.com,directly.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0aebf4de38b4749e2ac7e2e8df561338,9820943a05e57ab6bfe64896bd7422a5ab68e5ce5f9d908f51e4daa72b19a6b0,True,ctls,0x62626262.directly.com,,443,https://0x62626262.directly.com:443,https,Apache,text/html,GET,35.170.126.147,/,1899044793,3.214.173.51,Pure CSS,283,False,,www.googleadservices.com,https://0x62626262.directly.com/login/auth,,
13qiutanbifen.okta.app.sandbox.directly.com,Sign up | Directly,200,10530,AS14618,AMAZON-AES,US,3.228.0.0/17,13qiutanbifen.okta.app.sandbox.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.sandbox.directly.com,*.sandbox.directly.com,sandbox.directly.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c1320cadbb50eba871d441b68b57227,60a9f529e1797339f521c9bca32b89870a708fa4de9d4518131ece5faaf4e597,True,ctls,13qiutanbifen.okta.app.sandbox.directly.com,,80,http://13qiutanbifen.okta.app.sandbox.directly.com:80,http,Apache,text/html,GET,3.224.175.215,/,1344368402,3.232.232.251,Pure CSS,283,False,,*.smooch.io,https://13qiutanbifen.okta.app.sandbox.directly.com/login/auth,True,
154-141.dev.directly.com,Sign up | Directly,200,10530,AS14618,AMAZON-AES,US,35.168.0.0/13,154-141.dev.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-08-02T23:59:59Z,CN=*.directly.com,*.directly.com,directly.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0aebf4de38b4749e2ac7e2e8df561338,9820943a05e57ab6bfe64896bd7422a5ab68e5ce5f9d908f51e4daa72b19a6b0,True,ctls,154-141.dev.directly.com,,443,https://154-141.dev.directly.com:443,https,Apache,text/html,GET,35.170.126.147,/,1899044793,3.214.173.51,Pure CSS,283,False,,www.googleadservices.com,https://154-141.dev.directly.com/login/auth,True,
