new,host,a,soa,status_code,cdn,cdn-name,cname,mx,txt,aaaa,caa,ns
[x],affiliate.bitfinex.com,"104.17.19.84, 104.17.21.84, 104.17.20.84, 104.17.18.84, 104.17.17.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],aoki.bitfinex.com,,,NOERROR,,,,,,,,
[x],api-proxy.bitfinex.com,82.195.249.179,"rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],api.bitfinex.com,"104.17.17.84, 104.17.18.84, 104.17.19.84, 104.17.20.84, 104.17.21.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],api.staging.bitfinex.com,"104.17.19.84, 104.17.18.84, 104.17.20.84, 104.17.17.84, 104.17.21.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],bfx-ui-pulse.staging.bitfinex.com,"104.17.18.84, 104.17.21.84, 104.17.20.84, 104.17.17.84, 104.17.19.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],bfx-ui-terminal.staging.bitfinex.com,"104.17.20.84, 104.17.21.84, 104.17.18.84, 104.17.17.84, 104.17.19.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],blog.bitfinex.com,"104.17.19.84, 104.17.17.84, 104.17.20.84, 104.17.21.84, 104.17.18.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],board.staging.bitfinex.com,"104.17.21.84, 104.17.20.84, 104.17.19.84, 104.17.17.84, 104.17.18.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],capital-admin.bitfinex.com,"104.17.18.84, 104.17.21.84, 104.17.19.84, 104.17.17.84, 104.17.20.84","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
