new,host,a,cname,soa,status_code,mx,ns,txt,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,caa
[x],action.lisa.prod.westernunion.com,,,,NOERROR,,,,,,,,,
[x],ae.business.westernunion.com,206.201.227.12,"business.westernunion.customhouse.com, origin.business.westernunion.com",,NOERROR,,,,,,,,,
[x],agentpc.westernunion.com,127.0.0.1,,,NOERROR,,,,,,,True,127.0.0.1,
[x],agentssm.westernunion.com,66.218.160.53,,,NOERROR,,,,,,,,,
[x],agenttraining-t15.westernunion.com,89.185.150.91,wu.lb.synergy-learning.com,"ns-1407.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1407.awsdns-47.org, ns-1782.awsdns-30.co.uk, ns-416.awsdns-52.com, ns-626.awsdns-14.net",,,,,,,
[x],agenttraining.westernunion.com,89.185.150.91,wu.lb.synergy-learning.com,"ns-1407.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],akamai.globalpay.westernunion.com,206.201.227.131,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],algeria.westernunion.com,"95.101.111.132, 95.101.111.140","algeria.westernunion.com.edgekey.net, e78559.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],apac-traffic1.support.westernunion.com,202.130.186.204,,,NOERROR,,,,,,,,,
[x],api-nonprod.callback.fourthline.partner.eu.westernunion.com,3.65.150.101,,,NOERROR,,,,,,,,,
[x],api-nonprod.callback.marqeta.partner.eu.westernunion.com,3.65.150.101,,,NOERROR,,,,,,,,,
[x],api-nonprod.dgbk.wuib.eu.westernunion.com,3.65.150.101,,,NOERROR,,,,,,,,,
[x],api-nonprod.dgbk.wuib.us.westernunion.com,3.218.50.206,,,NOERROR,,,,,,,,,
[x],api-nonprod.eu.westernunion.com,"96.16.54.170, 96.16.54.171","api-nonprod.eu.westernunion.com.edgekey.net, e119267.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-nonprod.f5.wu.us.westernunion.com,3.218.50.206,,,NOERROR,,,,,,,,,
[x],api-nonprod.phb.paymentshub.us.westernunion.com,3.218.50.206,,,NOERROR,,,,,,,,,
[x],api-nonprod.stp.cmt.us.westernunion.com,3.218.50.206,,,NOERROR,,,,,,,,,
[x],api-nonprod.us.westernunion.com,"23.213.161.196, 23.213.161.223","api-nonprod.us.westernunion.com.edgekey.net, e119267.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-prod.callback.marqeta.partner.us.westernunion.com,3.218.50.206,,,NOERROR,,,,,,,,,
[x],api-test.business.westernunion.com,66.218.161.225,,,NOERROR,,,,,,,,,
[x],api-uat.trackpayment.wubs.us.westernunion.com,3.218.50.206,,,NOERROR,,,,,,,,,
[x],api.business.westernunion.com,,,,NOERROR,,,,,,,,,
[x],api.cmt.stp.us.dev.westernunion.com,3.218.50.206,,,NOERROR,,,,,,,,,
[x],api.cmt.stp.us.prod.westernunion.com,3.218.50.206,,,NOERROR,,,,,,,,,
[x],api.cmt.stp.us.uat.westernunion.com,,,,NOERROR,,,,,,,,,
[x],api.demo.business.westernunion.com,"206.201.227.15, 192.168.94.169, 206.31.45.105",,,NOERROR,,,,,,,True,192.168.94.169,
[x],api.dev.globalpay.westernunion.com,208.118.184.78,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],api.dgbk.wuib.eu.westernunion.com,3.65.150.101,,,NOERROR,,,,,,,,,
[x],api.eu.westernunion.com,"95.101.111.165, 95.101.111.161","api.eu.westernunion.com.edgekey.net, e64387.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.pgw.wupartner.us.westernunion.com,3.218.50.206,,,NOERROR,,,,,,,,,
[x],api.sandbox.westernunion.com,"35.172.11.246, 34.197.217.49, 54.159.234.229","wu-partners-test-02.apigee.net, wu-partners-test-1680785334.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.trackpayment.wubs.us.westernunion.com,3.218.50.206,,,NOERROR,,,,,,,,,
[x],api.uat.globalpay.westernunion.com,208.118.184.81,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],api.us.westernunion.com,"23.213.161.223, 23.213.161.198","api.us.westernunion.com.edgekey.net, e64387.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.westernunion.com,"18.213.243.36, 54.164.7.19, 54.158.146.122","wu-partners-prod-02.apigee.net, wu-partners-prod-1649161768.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],apnuat.westernunion.com,"104.126.37.152, 104.126.37.171","apnuat.westernunion.com.edgekey.net, e76475.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],app.business.westernunion.com,142.0.173.16,"s930.hs.eloqua.com, p01g.hs.eloqua.com","ns1.p201.dns.oraclecloud.net, hostmaster.hs.eloqua.com",NOERROR,,,,,,,,,
[x],app.lisa.prod.westernunion.com,3.218.50.206,,,NOERROR,,,,,,,,,
[x],app.lisa.uat.westernunion.com,3.218.50.206,,,NOERROR,,,,,,,,,
[x],auth-test.globalpay.westernunion.com,,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,,
[x],autodiscover.westernunion.com,64.125.239.70,,,NOERROR,,,,,,,,,
