input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tech_,csp_domains_,tls_subject_org_,tls_wildcard_certificate,final_url,cdn_name,cdn,tls_mismatched,tls_self_signed,tls_expired
https://widget.intercom.io,,200,6707,widget.intercom.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,CN=*.intercom.com,*.intercom.com,*.intercom.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,50f1043af10136d89be51d9a59db9575,ac90909496f6036d54cf9dc35c2089d20de2ac8ef363a3f74de29401de7b249e,ctls,widget.intercom.io,443,https://widget.intercom.io:443,https,AmazonS3,application/javascript,GET,13.224.189.18,/,453446921,13.224.189.74,1,False,HTTP/3,,,True,,cloudfront,True,True,,
iac-scan.dev-sec.databricks.com,502 Bad Gateway,502,122,iac-scan.dev-sec.databricks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,2023-11-17T23:59:59Z,CN=iac-scan.dev-sec.databricks.com,iac-scan.dev-sec.databricks.com,iac-scan.dev-sec.databricks.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,88f83eee61cb07f2f82893af2dbc2541,efb4ca2ba62b9618703a5aa107baa0a3699aa1b3a89f11bf62b5e83333b9bb52,ctls,iac-scan.dev-sec.databricks.com,443,https://iac-scan.dev-sec.databricks.com:443,https,awselb/2.0,text/html,GET,52.203.191.25,/,590066698,34.199.4.90,7,False,,,,,,,,,,
ideas.databricks.com,Redirect to Databricks,200,381,redirect.cloud.databricks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-10-19T23:59:59Z,CN=*.cloud.databricks.com,*.cloud.databricks.com,*.cloud.databricks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b0428a9768c6594777a973d20f4677f4,a313a609a7bb2f7e5d8404a5b07223e2fbea7126581a7baa3dff21038bbb33dc,ctls,redirect.cloud.databricks.com,443,https://ideas.databricks.com:443,https,openresty/1.19.3.1,text/html,GET,54.84.62.26,/,993116777,54.84.62.26,16,False,OpenResty:1.19.3.1,,,True,https://redirect.cloud.databricks.com?state=2c9cb7dc93248c9f5c8a000ae94c640e-6610033940140677370#sso/ideas,,,,,
incident-bot.dev.bse.corp.databricks.com,,404,,incident-bot.dev.bse.corp.databricks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-09-27T23:59:59Z,CN=incident-bot.dev.bse.corp.databricks.com,incident-bot.dev.bse.corp.databricks.com,incident-bot.dev.bse.corp.databricks.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a97c99ebb09e18f8464d45749bda6dd2,2aa9eff27025ef74066906a0f52a60b93e1d197a24399a80b2ab9ca8ddf38291,ctls,incident-bot.dev.bse.corp.databricks.com,443,https://incident-bot.dev.bse.corp.databricks.com:443,https,awselb/2.0,text/plain,GET,54.70.168.17,/,-1840324437,52.11.60.138,1,False,,,,,,,,,,
intuit-us-dnb-analyticsstudio.cloud.databricks.com,Service Unavailable,503,268,intuit-us-dnb-analyticsstudio.cloud.databricks.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-25T21:37:18Z,2023-07-24T21:37:17Z,CN=waf.cloud.databricks.com,waf.cloud.databricks.com,xerox-dnb-ananlyticsstudio.cloud.databricks.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,89269b651207dbeee556a5bc724c5a30,ed9ef8f62adb9947c295163100dd12c548ea427b74f21241a39225ed2458429e,ctls,intuit-us-dnb-analyticsstudio.cloud.databricks.com,443,https://intuit-us-dnb-analyticsstudio.cloud.databricks.com:443,https,AkamaiGHost,text/html,GET,2.17.100.209,/,-379411254,2a02:26f0:ab00::5c7a:d70b,9,False,,,,,,,,,,
isight-api.bse.corp.databricks.com,,404,,isight-api.bse.corp.databricks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-10-24T23:59:59Z,CN=isight-api.bse.corp.databricks.com,isight-api.bse.corp.databricks.com,isight-api.bse.corp.databricks.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c0f40f2e58e92d0388120b94c5f68555,b5c41f79d1e3cb4b353da12e7053b06d03e496efbf4f897fa054c67d60cf7556,ctls,isight-api.bse.corp.databricks.com,443,https://isight-api.bse.corp.databricks.com:443,https,awselb/2.0,text/plain,GET,3.136.88.71,/,-1840324437,52.14.15.149,1,False,,,,,,,,,,
isight-api.dev.bse.corp.databricks.com,,404,,isight-api.dev.bse.corp.databricks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-09-27T23:59:59Z,CN=isight-api.dev.bse.corp.databricks.com,isight-api.dev.bse.corp.databricks.com,isight-api.dev.bse.corp.databricks.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f895a22fdc8c96eee91ff0d34196cc81,ecad274f86c2d2cefc128577abaf2fb20492e4301c271b86e132734d7f0cfa23,ctls,isight-api.dev.bse.corp.databricks.com,443,https://isight-api.dev.bse.corp.databricks.com:443,https,awselb/2.0,text/plain,GET,52.40.163.95,/,-1840324437,35.160.94.70,1,False,,,,,,,,,,
jpmc-dnb-analyticsstudio.cloud.databricks.com,Service Unavailable,503,268,jpmc-dnb-analyticsstudio.cloud.databricks.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-25T21:37:18Z,2023-07-24T21:37:17Z,CN=waf.cloud.databricks.com,waf.cloud.databricks.com,xerox-dnb-ananlyticsstudio.cloud.databricks.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,89269b651207dbeee556a5bc724c5a30,ed9ef8f62adb9947c295163100dd12c548ea427b74f21241a39225ed2458429e,ctls,jpmc-dnb-analyticsstudio.cloud.databricks.com,443,https://jpmc-dnb-analyticsstudio.cloud.databricks.com:443,https,AkamaiGHost,text/html,GET,2.17.100.209,/,-776472038,2a02:26f0:ab00::5c7a:d71a,9,False,,,,,,,,,,
k2.cloud.databricks.com,Databricks - Sign In,200,529,k2.cloud.databricks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-29T00:00:00Z,2023-08-28T23:59:59Z,"CN=*.cloud.databricks.com, O=Databricks Inc., L=San Francisco, ST=California, C=US",*.cloud.databricks.com,cloud.databricks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,32c4bc38aafab329775af52b0995d0c7,e00aff664e734971f946eb9c46e43dd4cd00acbad5aa5e80d9dd3fafa1cd8d07,ctls,k2.cloud.databricks.com,443,https://k2.cloud.databricks.com:443,https,databricks,text/html,GET,18.234.197.159,/,-491607480,18.234.197.159,1,False,HSTS,https://*.databricks.com,Databricks Inc.,True,https://k2.cloud.databricks.com/login.html,,,,,
kb.databricks.com,Databricks Knowledge Base,200,48377,kb.databricks.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-09T00:00:00Z,2023-06-09T23:59:59Z,"CN=kb.databricks.com, O=Databricks Inc., L=San Francisco, ST=California, C=US",kb.databricks.com,kb.databricks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cc8b320d9e7deb8d36fb5d79fdc23265,24411b8b07184ca18a19ec829dd61f81a8ab33c8fc3ae547d74f48ec7d2e0a0a,ctls,kb.databricks.com,443,https://kb.databricks.com:443,https,nginx,text/html,GET,50.16.128.128,/,-1840324437,50.16.128.128,440,False,ZURB Foundation,,Databricks Inc.,,,,,,,
