new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,mx,txt,has_internal_ips,internal_ips,caa
,docs.databricks.com,"18.65.39.14, 18.65.39.112, 18.65.39.69, 18.65.39.87",,,"ns-1450.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1014.awsdns-62.net, ns-1450.awsdns-53.org, ns-1839.awsdns-37.co.uk, ns-436.awsdns-54.com",,,,,
,docs.delta.io,"52.222.174.123, 52.222.174.43, 52.222.174.75, 52.222.174.78",,d1urk4s4laun85.cloudfront.net,"ns-640.awsdns-16.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-640.awsdns-16.net, ns-134.awsdns-16.com, ns-2040.awsdns-63.co.uk, ns-1311.awsdns-35.org",,,,,
,docs.dev.databricks.com,"108.138.17.67, 108.138.17.99, 108.138.17.14, 108.138.17.30",,d2h8uthjsiwkqp.cloudfront.net,"ns-1660.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1660.awsdns-15.co.uk, ns-499.awsdns-62.com, ns-1348.awsdns-40.org, ns-738.awsdns-28.net",,,,,
,docs.pvc.databricks.com,"108.157.229.116, 108.157.229.25, 108.157.229.45, 108.157.229.112","2600:9000:2395:a400:5:c72f:e200:93a1, 2600:9000:2395:d400:5:c72f:e200:93a1, 2600:9000:2395:9200:5:c72f:e200:93a1, 2600:9000:2395:c600:5:c72f:e200:93a1, 2600:9000:2395:e200:5:c72f:e200:93a1, 2600:9000:2395:8600:5:c72f:e200:93a1, 2600:9000:2395:da00:5:c72f:e200:93a1, 2600:9000:2395:e00:5:c72f:e200:93a1",d1hrlz3pj5xvns.cloudfront.net,"ns-1806.awsdns-33.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-428.awsdns-53.com, ns-591.awsdns-09.net, ns-1372.awsdns-43.org, ns-1806.awsdns-33.co.uk",,,,,
,docs.spark-summit.org,142.250.186.83,2a00:1450:4001:80b::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,
,docs.sql.databricks.com,"108.156.60.123, 108.156.60.14, 108.156.60.120, 108.156.60.29","2600:9000:21f7:e00:1:4204:9900:93a1, 2600:9000:21f7:9c00:1:4204:9900:93a1, 2600:9000:21f7:a800:1:4204:9900:93a1, 2600:9000:21f7:d600:1:4204:9900:93a1, 2600:9000:21f7:a200:1:4204:9900:93a1, 2600:9000:21f7:800:1:4204:9900:93a1, 2600:9000:21f7:9a00:1:4204:9900:93a1, 2600:9000:21f7:5600:1:4204:9900:93a1",dqqrklgf7yulg.cloudfront.net,"ns-1965.awsdns-53.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1157.awsdns-16.org, ns-1965.awsdns-53.co.uk, ns-366.awsdns-45.com, ns-995.awsdns-60.net",,,,,
,docs.staging.cloud.databricks.com,,,,"ns-1019.awsdns-63.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,dpe-azure.docs.databricks.com,"108.157.4.125, 108.157.4.50, 108.157.4.18, 108.157.4.10","2600:9000:2315:2000:6:be75:b240:93a1, 2600:9000:2315:4000:6:be75:b240:93a1, 2600:9000:2315:bc00:6:be75:b240:93a1, 2600:9000:2315:ba00:6:be75:b240:93a1, 2600:9000:2315:400:6:be75:b240:93a1, 2600:9000:2315:3e00:6:be75:b240:93a1, 2600:9000:2315:2600:6:be75:b240:93a1, 2600:9000:2315:ea00:6:be75:b240:93a1",d3pb5v5fbctkuh.cloudfront.net,"ns-1180.awsdns-19.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1180.awsdns-19.org, ns-152.awsdns-19.com, ns-1756.awsdns-27.co.uk, ns-1011.awsdns-62.net",,,,,
,dse-waf-e2-waf-pl.staging.cloud.databricks.com,"95.101.111.173, 95.101.111.170","2a02:26f0:480:23::1726:62b1, 2a02:26f0:480:23::1726:62a3","dse-waf-e2-waf-pl.staging.cloud.databricks.com.edgekey.net, e25359.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
,dse-waf-stage-demo.staging.cloud.databricks.com,"54.190.87.151, 54.189.87.254, 54.191.85.121",,"oregon.staging.cloud.databricks.com, a21e88262b2da41f8b7e4b94c92b23e5-bcca2ff32a4f7570.elb.us-west-2.amazonaws.com","ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,dse-waf-waf-stage-test.staging.cloud.databricks.com,"54.191.85.121, 54.189.87.254, 54.190.87.151",,"oregon.staging.cloud.databricks.com, a21e88262b2da41f8b7e4b94c92b23e5-bcca2ff32a4f7570.elb.us-west-2.amazonaws.com","ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,e.databricks.com,"52.222.214.105, 52.222.214.43, 52.222.214.14, 52.222.214.53","2600:9000:223d:e600:4:44fe:8940:93a1, 2600:9000:223d:2400:4:44fe:8940:93a1, 2600:9000:223d:fe00:4:44fe:8940:93a1, 2600:9000:223d:4400:4:44fe:8940:93a1, 2600:9000:223d:9400:4:44fe:8940:93a1, 2600:9000:223d:c00:4:44fe:8940:93a1, 2600:9000:223d:ae00:4:44fe:8940:93a1, 2600:9000:223d:5a00:4:44fe:8940:93a1",d1mmr1ptjn8tgl.cloudfront.net,"ns-1303.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-387.awsdns-48.com, ns-947.awsdns-54.net, ns-1303.awsdns-34.org, ns-1574.awsdns-04.co.uk",,,,,
,echo-us-dnb-analyticsstudio.cloud.databricks.com,,,,"ns-120.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,edl-dev.cloud.databricks.com,"2.17.100.218, 2.17.100.153","2a02:26f0:ab00::5c7a:d71a, 2a02:26f0:ab00::5c7a:d70b","edl-dev.cloud.databricks.com.edgekey.net, e28192.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
,em-ds-dev.cloud.databricks.com,"95.101.74.146, 95.101.74.163","2a02:26f0:c900:9::5f65:4aa3, 2a02:26f0:c900:9::5f65:4a92","em-ds-dev.cloud.databricks.com-v1.edgekey.net, e28192.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
,em-ds-prod.cloud.databricks.com,"23.53.43.58, 23.53.43.66","2a02:26f0:3100::1725:e262, 2a02:26f0:3100::1735:2b62","em-ds-prod.cloud.databricks.com-v1.edgekey.net, e28192.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
,enterpriseenrollment.databricks.com,192.30.68.90,,"enterpriseenrollment.awmdm.com, ee.awmdm.com","ns-187.awsdns-23.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,evaluation.cloud.databricks.com,"44.240.158.160, 52.42.2.47",,ac2cb9cd9b3394c1294a4e4b124a3d2e-150086978.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,events.databricks.com,"52.213.47.89, 3.248.123.157",,elb-2396-events-databricks-com.swoogo.com,"ns-679.awsdns-20.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,fede.dev.databricks.com,,,,"ns-1860.awsdns-40.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,forums.databricks.com,"108.138.51.61, 108.138.51.108, 108.138.51.8, 108.138.51.9","2600:9000:2436:2a00:1c:34c6:5800:93a1, 2600:9000:2436:e800:1c:34c6:5800:93a1, 2600:9000:2436:1e00:1c:34c6:5800:93a1, 2600:9000:2436:8800:1c:34c6:5800:93a1, 2600:9000:2436:9200:1c:34c6:5800:93a1, 2600:9000:2436:5e00:1c:34c6:5800:93a1, 2600:9000:2436:6800:1c:34c6:5800:93a1, 2600:9000:2436:ae00:1c:34c6:5800:93a1, 2600:9000:5304:3600::1",dun3xxhlkm4ps.cloudfront.net,"ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1768.awsdns-29.co.uk, ns-1078.awsdns-06.org, ns-260.awsdns-32.com, ns-985.awsdns-59.net",,,,,
,fred.cloud.databricks.com,3.237.73.239,,"nvirginia.cloud.databricks.com, nvirginia-migration.cloud.databricks.com, us-east-1a.a1b850e91ee1e47a8a2ede2d89494cf5-0d01ee1a3a713a15.elb.us-east-1.amazonaws.com","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,ftp.databricks.com,,,,"ns1.databricks.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,ftp.staging.spark-summit.org,23.185.0.2,,staging.spark-summit.org,"ns-229.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,funding-circle-dnb-ananlyticsstudio.cloud.databricks.com,,,,"ns-120.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,git.training.databricks.com,,,,"ns-687.awsdns-21.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,go.corp.databricks.com,35.244.197.63,,,"ns-347.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,"ns-1467.awsdns-55.org, ns-1621.awsdns-10.co.uk, ns-347.awsdns-43.com, ns-683.awsdns-21.net",,,,,
,go.dev.databricks.com,35.190.54.177,,,"ns-1860.awsdns-40.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,
,grace.cloud.databricks.com,,,wisden.cloud.databricks.com,"ns-120.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,grafana.cloud.databricks.com,"52.88.219.155, 54.69.165.162",,a739b5b2a922b11e9866102d0d247633-275825679.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,grafana.dev.databricks.com,"54.69.165.162, 52.88.219.155",,"grafana.cloud.databricks.com, a739b5b2a922b11e9866102d0d247633-275825679.us-west-2.elb.amazonaws.com","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,greenhouse-webhook-receiver.bse.corp.databricks.com,"3.136.201.157, 18.189.211.246, 3.133.29.30",,dff409ce-default-greenhous-c6c8-1495745197.us-east-2.elb.amazonaws.com,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,greenhouse-webhook-receiver.dev.bse.corp.databricks.com,"52.25.24.176, 35.163.219.121, 44.234.2.45",,,"ns-1277.awsdns-31.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/greenhouse-webhook-receiver",,,
,gs-consumer-data-pii-nonprod.cloud.databricks.com,3.237.73.239,,"nvirginia.privatelink.cloud.databricks.com, nvirginia.cloud.databricks.com, nvirginia-migration.cloud.databricks.com, us-east-1a.a1b850e91ee1e47a8a2ede2d89494cf5-0d01ee1a3a713a15.elb.us-east-1.amazonaws.com","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,gsemail.databricks.com,,,u14316319.wl070.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,mx.sendgrid.net,v=spf1 ip4:167.89.51.134 -all,,,
,gw1-eu.corp.databricks.com,18.153.4.21,,,"ns-347.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,gw1-us-cust101.corp.databricks.com,54.186.54.75,,,"ns-347.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,gw1-us.corp.databricks.com,35.164.56.131,,,"ns-347.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1467.awsdns-55.org, ns-1621.awsdns-10.co.uk, ns-347.awsdns-43.com, ns-683.awsdns-21.net",,,,,
,gw2-us.corp.databricks.com,34.218.125.166,,,"ns-347.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1467.awsdns-55.org, ns-1621.awsdns-10.co.uk, ns-347.awsdns-43.com, ns-683.awsdns-21.net",,,,,
,halyard.dev.databricks.com,"44.229.232.190, 52.41.129.84",,a67c3194f830311e994ec021266e83dc-2021739621.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,help.databricks.com,"85.222.140.6, 85.222.140.10, 85.222.140.11",,"help.databricks.com.00d61000000jgc4eag.live.siteforce.com, 1p.edge2.salesforce.com, europe.edge2.salesforce.com, fra.edge2.salesforce.com","dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
,home.databricks.com,,,unifiedhome.eastus.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
,homedev.databricks.com,20.228.169.66,,,"ns1.databricks.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,iac-scan.dev-sec.databricks.com,"52.203.191.25, 34.199.4.90",,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,ideas.databricks.com,23.22.45.22,,databricks.ideas.aha.io,"prod-ns1.aha-dns.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,idp-poc.dev.databricks.com,,,,"ns-1860.awsdns-40.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,incident-bot.dev.bse.corp.databricks.com,,,,"ns-1277.awsdns-31.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/incident-bot",,,
,info.databricks.com,"104.17.73.206, 104.17.70.206, 104.17.74.206, 104.17.71.206, 104.17.72.206",,mkto-ab270090.com,"ns1.marketo.com, ops.localhost",NOERROR,True,cloudflare,"ns2.mktdns.com, ns1.marketo.com",,,,,
,intuit-us-dnb-analyticsstudio.cloud.databricks.com,"95.101.74.163, 95.101.74.146","2a02:26f0:c900:9::5f65:4aa3, 2a02:26f0:c900:9::5f65:4a92","intuit-us-dnb-analyticsstudio.cloud.databricks.com.edgekey.net, e28192.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
,isight-api.bse.corp.databricks.com,"52.14.15.149, 3.136.88.71, 3.130.176.194",,dff409ce-default-isightapi-27ea-1599511324.us-east-2.elb.amazonaws.com,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,isight-api.dev.bse.corp.databricks.com,"35.160.94.70, 44.230.140.208, 52.40.163.95",,,"ns-1277.awsdns-31.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/default/isight-api",,,
,jenkins.test.databricks.com,"44.237.24.233, 44.237.94.252",,,"ns-1317.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,jenkins2-internal.test.databricks.com,35.83.188.228,,,"ns-1317.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,jenkins2.dev.databricks.com,"44.224.79.83, 44.242.90.19",,aef14839a105211e89404024ba594d69-2061951145.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,jenkins2.test.databricks.com,"44.237.24.233, 44.237.94.252",,,"ns-1317.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,jpmc-dnb-analyticsstudio.cloud.databricks.com,"96.16.54.171, 96.16.54.123",,"jpmc-dnb-analyticsstudio.cloud.databricks.com.edgekey.net, e28192.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
,karma.cloud.databricks.com,"52.39.210.145, 34.215.115.68",,adc555f4d84cc402cb8dc7bf473ac12a-1504568141.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,karma.dev.databricks.com,"52.38.60.228, 52.40.202.182",,a4552664a314d4a9e8e20cdb346fb3d0-912867816.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,kb.databricks.com,50.16.128.128,,databricks.helpjuice.com,"ns1.dnsimple.com, admin.dnsimple.com",NOERROR,,,,,,,,
,kb.gcp.databricks.com,"35.165.102.161, 52.24.1.159",,prd-ceng-nginx-alb-f5ea67e-1187127951.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,kube-frankfurt-dev.dev.databricks.com,,,,"ns-1860.awsdns-40.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,labs.databricks.com,104.43.254.102,,"cloudlabs-manage-dbx-s1-cu.azurewebsites.net, waws-prod-dm1-103.sip.azurewebsites.windows.net, waws-prod-dm1-103.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
,labs.training.databricks.com,"52.26.70.11, 44.239.74.174",,,"ns-687.awsdns-21.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1221.awsdns-24.org, ns-153.awsdns-19.com, ns-2016.awsdns-60.co.uk, ns-687.awsdns-21.net",,,,,
,linen.delta.io,"76.76.21.241, 76.76.21.164",,cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,"letsencrypt.org, globalsign.com, sectigo.com"
,lists.spark-summit.org,66.33.216.200,,,"ns-229.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,logging-api.cjspycloudw.dev-sec.databricks.com,"34.210.108.11, 44.228.82.4, 44.241.16.43",,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,logging-api.marketo.sec.databricks.com,"34.218.37.235, 52.35.202.191, 54.213.152.18",,,"ns-1221.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,logging-api.materialsecurity.sec.databricks.com,"52.36.108.77, 44.231.65.202, 44.236.11.242",,,"ns-1221.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,logging-api.netsuite.sec.databricks.com,"35.81.226.239, 52.11.3.30, 34.210.10.235",,,"ns-1221.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,logging-api.zscaler.dev-sec.databricks.com,"52.32.189.52, 44.226.25.253, 100.20.6.247",,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,logging-api.zscaler.sec.databricks.com,"44.239.119.191, 44.236.161.75, 52.11.123.219, 54.68.189.238, 54.71.63.52, 34.215.223.109",,,"ns-1221.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,login.accounts.databricks.com,"3.15.167.136, 3.15.167.135, 3.15.167.137",,"shield-databricks-prod.customdomains.okta.com, ok10-custom-crtrs.okta.com, ok10-crtr-custom-domains-41811ec0e0ad12fb.elb.us-east-2.amazonaws.com","ns-1513.awsdns-61.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,login.staging.databricks.com,"76.223.106.8, 13.248.244.122",,"shield-databricks-staging.customdomains.oktapreview.com, op3-custom-crtrs.oktapreview.com, op3-custom-crtrs.oktaedge.oktapreview.com, a556120ce37110a35.awsglobalaccelerator.com","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,mail.spark-summit.org,64.233.161.121,2a00:1450:4001:813::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,
,maintenance.cloud.databricks.com,"108.157.214.107, 108.157.214.61, 108.157.214.90, 108.157.214.13",,db5jzvvasjkx5.cloudfront.net,"ns-14.awsdns-01.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-813.awsdns-37.net, ns-1153.awsdns-16.org, ns-14.awsdns-01.com, ns-2039.awsdns-62.co.uk",,,,,
,maintenance.dev.databricks.com,"108.157.229.107, 108.157.229.33, 108.157.229.123, 108.157.229.73",,d1lwe2d2wtq52h.cloudfront.net,"ns-1784.awsdns-31.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-60.awsdns-07.com, ns-898.awsdns-48.net, ns-1413.awsdns-48.org, ns-1784.awsdns-31.co.uk",,,,,
