new,host,a,cname,soa,status_code,aaaa,cdn,cdn-name,caa,ns,txt,mx
[x],api.us-east-2.strongdm.com,"52.15.156.167, 3.22.173.175, 18.190.59.68",api-production-5977f3a8880fe3d3.elb.us-east-2.amazonaws.com,"ns-1513.awsdns-61.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],api.us-west-2.strongdm.com,,api-production-6cd2ca92c2203a4d.elb.us-west-2.amazonaws.com,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],app.us-west-2.strongdm.com,"44.228.37.196, 52.38.151.58, 54.186.212.76",app-production-d0269a9a790772c7.elb.us-west-2.amazonaws.com,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],assets.strongdm.com,,d3h0t5xszw1sme.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,
[x],comply.strongdm.com,"34.159.75.132, 34.141.103.251",comply-redirector.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,True,google,,,,
[x],connect.strongdm.com,"199.60.103.227, 199.60.103.29","2928134.group34.sites.hubspot.net, group34.sites.hscoscdn30.net","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:2c40::c73c:671d, 2606:2c40::c73c:67e3",,,,,,
[x],db-failover-orchestrator.us-east-2.strongdm.com,"3.131.66.54, 3.143.193.29",,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],db-failover-orchestrator.us-west-2.strongdm.com,"44.240.39.68, 52.10.171.250",,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],discover.strongdm.com,"199.60.103.29, 199.60.103.227","21126185.group35.sites.hubspot.net, group35.sites.hscoscdn30.net","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:2c40::c73c:67e3, 2606:2c40::c73c:671d",,,,,,
[x],downloads.strongdm.com,"143.204.89.124, 143.204.89.115, 143.204.89.70, 143.204.89.127",d1udlvyusggd64.cloudfront.net,"ns-1579.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2156:8200:c:e6c1:ab00:93a1, 2600:9000:2156:da00:c:e6c1:ab00:93a1, 2600:9000:2156:7c00:c:e6c1:ab00:93a1, 2600:9000:2156:f600:c:e6c1:ab00:93a1, 2600:9000:2156:7800:c:e6c1:ab00:93a1, 2600:9000:2156:9000:c:e6c1:ab00:93a1, 2600:9000:2156:5200:c:e6c1:ab00:93a1, 2600:9000:2156:7600:c:e6c1:ab00:93a1",True,cloudfront,,"ns-1579.awsdns-05.co.uk, ns-69.awsdns-08.com, ns-792.awsdns-35.net, ns-1273.awsdns-31.org",,
