input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_mismatched,csp_domains_,tls_wildcard_certificate,location,tls_expired
401k.fidelity.com,Fidelity 401k.com,200,37581,nb.fidelity.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-26T19:06:07Z,2024-05-18T19:06:07Z,"CN=nb.fidelity.com, serialNumber=4403845, businessCategory=Private Organization, O=Fidelity Investments (FMR LLC), jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=Boston, ST=Massachusetts, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",nb.fidelity.com,Fidelity Investments (FMR LLC),www.nb.fidelity.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",ee36963876f9ad8c998f87057078bdcd,9878ca28fcf7460ccf9071bc0b6abaf3e5c6036ce204a166b35b27d606dc382d,ctls,nb.fidelity.com,,443,https://401k.fidelity.com:443,https,Apache,text/html,GET,104.126.37.137,/,-1660234114,104.126.37.129,HSTS,907,False,,https://nb.fidelity.com/public/nb/401k/home,,,,,
access0-oma1.fidelity.com,ERA - Web Access,200,5541,access0-oma1.fidelity.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-09-07T07:20:04Z,2023-09-07T07:20:04Z,"CN=access0.fidelity.com, O=Fidelity Investments, L=Boston, ST=Massachusetts, C=US",access0.fidelity.com,Fidelity Investments,access0-oma1.fidelity.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",0dfdb30bda2f657a9c6c8ab982619f3c,c43bc9e29138a083fddc0a20fca659b6eca357f4dcdcee316bf5c367904c2f27,ctls,access0-oma1.fidelity.com,,443,https://access0-oma1.fidelity.com:443,https,,text/html,GET,155.199.72.53,/,-1415336443,155.199.72.53,HSTS,148,False,,https://access0-oma1.fidelity.com/dana-na/auth/url_default/welcome.cgi,,,,,
access0.fidelity.com,ERA - Web Access,404,2604,access0.fidelity.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-21T18:44:39Z,2023-11-21T18:44:39Z,"CN=akamai.prod1.iws.fidelity.com, serialNumber=4403845, businessCategory=Private Organization, O=Fidelity Investments (FMR LLC), jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=Boston, ST=Massachusetts, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",akamai.prod1.iws.fidelity.com,Fidelity Investments (FMR LLC),www.fidelityprime.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",e886e0ab041bdf77c8618f035d611276,93e0c55623bfbe03260b63c4a29c096021ce0e93ad373d945a403ea7d87d129f,ctls,access0.fidelity.com,,443,https://access0.fidelity.com:443,https,,text/html,GET,104.126.37.160,/,-1415336443,104.126.37.171,HSTS,74,False,,,,,,,
access0.fisc.fidelity.com,ERA - Web Access,404,2604,access0.fisc.fidelity.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-09-07T07:20:04Z,2023-09-07T07:20:04Z,"CN=access0.fidelity.com, O=Fidelity Investments, L=Boston, ST=Massachusetts, C=US",access0.fidelity.com,Fidelity Investments,access0-oma1.fidelity.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",0dfdb30bda2f657a9c6c8ab982619f3c,c43bc9e29138a083fddc0a20fca659b6eca357f4dcdcee316bf5c367904c2f27,ctls,access0.fisc.fidelity.com,,443,https://access0.fisc.fidelity.com:443,https,,text/html,GET,155.199.204.52,/,-1415336443,155.199.204.52,HSTS,74,False,,,True,,,,
accountmaint.fidelity.com,Login,200,24463,digital.fidelity.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-01T01:08:52Z,2023-07-01T01:08:52Z,"CN=oltx.fidelity.com, serialNumber=4403845, OU=PI, businessCategory=Private Organization, O=Fidelity Investments (FMR LLC), jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=Boston, ST=Massachusetts, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",oltx.fidelity.com,Fidelity Investments (FMR LLC),digital.fidelity.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",57c058281a6f69d62ab59f39ed729b64,96183638b4239d22919df33d16e066efb6e1bd6e79d12793dddc27163a68aba9,ctls,digital.fidelity.com,,443,https://accountmaint.fidelity.com:443,https,Apache,text/html,GET,2.23.209.169,/,739512239,2.23.209.181,HSTS,115,False,,https://digital.fidelity.com/prgw/digital/login/full-page?AuthRedUrl=https://oltx.fidelity.com/ftgw/fbc/ofsummary/defaultPage,,,,,
accountmaintxq1.fidelity.com,Access Denied,200,371,wwwxq2.fidelity.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-19T03:13:22Z,2023-09-19T03:13:21Z,"CN=wwwxq2.fidelity.com, serialNumber=4403845, OU=PI, businessCategory=Private Organization, O=Fidelity Investments (FMR LLC), jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=Boston, ST=Massachusetts, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",wwwxq2.fidelity.com,Fidelity Investments (FMR LLC),cgspascqa.fidelity.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",c74505675fd003a1ea08bc4513f80cc4,653afc8523b84527f8a902155febf76dd93f7e2537239789c90d231d43bc6da2,ctls,wwwxq2.fidelity.com,,443,https://accountmaintxq1.fidelity.com:443,https,Apache,text/html,GET,104.126.37.185,/,213930976,104.126.37.128,HSTS,21,False,,https://wwwxq2.fidelity.com/xqa/xqa-deny.htm?OrigUri=https://accountmaintxq1.fidelity.com/,,,,,
accountopening.fidelity.com,Log In to Fidelity Investments,200,16935,login.fidelity.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-21T18:23:32Z,2023-11-21T18:23:32Z,"CN=akamai.prod.login.fidelity.com, serialNumber=4403845, businessCategory=Private Organization, O=Fidelity Investments (FMR LLC), jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=Boston, ST=Massachusetts, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",akamai.prod.login.fidelity.com,Fidelity Investments (FMR LLC),login.advisorchannel.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",42f3883e6a4a79d7500da55d1d0e73e1,9af48c008c8df5a14a697fe13692360248df5b2289795eec3e4a98b50282f30f,ctls,login.fidelity.com,,443,https://accountopening.fidelity.com:443,https,Apache,text/html,GET,2.23.209.181,/,739512239,2.23.209.169,Java,303,False,,https://login.fidelity.com/ftgw/Fas/Fidelity/RtlCust/Login/Init?AuthRedUrl=https://oltx.fidelity.com/ftgw/fbc/ofsummary/defaultPage,,,,,
accountopeningxq1.fidelity.com,Access Denied,200,371,wwwxq2.fidelity.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-19T03:13:22Z,2023-09-19T03:13:21Z,"CN=wwwxq2.fidelity.com, serialNumber=4403845, OU=PI, businessCategory=Private Organization, O=Fidelity Investments (FMR LLC), jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=Boston, ST=Massachusetts, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",wwwxq2.fidelity.com,Fidelity Investments (FMR LLC),cgspascqa.fidelity.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",c74505675fd003a1ea08bc4513f80cc4,653afc8523b84527f8a902155febf76dd93f7e2537239789c90d231d43bc6da2,ctls,wwwxq2.fidelity.com,,443,https://accountopeningxq1.fidelity.com:443,https,Apache,text/html,GET,104.126.37.128,/,213930976,104.126.37.185,HSTS,21,False,,https://wwwxq2.fidelity.com/xqa/xqa-deny.htm?OrigUri=https://accountopeningxq1.fidelity.com/,,,,,
accountopeningxq2.fidelity.com,Access Denied,200,371,wwwxq2.fidelity.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-19T03:13:22Z,2023-09-19T03:13:21Z,"CN=wwwxq2.fidelity.com, serialNumber=4403845, OU=PI, businessCategory=Private Organization, O=Fidelity Investments (FMR LLC), jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=Boston, ST=Massachusetts, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",wwwxq2.fidelity.com,Fidelity Investments (FMR LLC),cgspascqa.fidelity.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",c74505675fd003a1ea08bc4513f80cc4,653afc8523b84527f8a902155febf76dd93f7e2537239789c90d231d43bc6da2,ctls,wwwxq2.fidelity.com,,443,https://accountopeningxq2.fidelity.com:443,https,Apache,text/html,GET,104.126.37.131,/,213930976,104.126.37.152,HSTS,21,False,,https://wwwxq2.fidelity.com/xqa/xqa-deny.htm?OrigUri=https://accountopeningxq2.fidelity.com/,,,,,
accounts.fidelity.com,Login | Advisors & Individual Investors | Fidelity Institutional,200,12901,accounts.fidelity.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-09T15:30:26Z,2024-03-09T15:30:26Z,"CN=akamai.fiam2.prod.fidelity.com, serialNumber=4403845, businessCategory=Private Organization, O=Fidelity Investments (FMR LLC), jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=Boston, ST=Massachusetts, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",akamai.fiam2.prod.fidelity.com,Fidelity Investments (FMR LLC),accounts.fidelity.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",0d42acfa05b5a4dac1f8b052af02e63c,253e20016fffe2cc017c8e22d9f150cc16a25b6fe7c3d3f5f44c3f2f892fe9db,ctls,accounts.fidelity.com,,443,https://accounts.fidelity.com:443,https,Apache,text/html,GET,2.23.209.145,/,332458425,2.23.209.132,HSTS,12,False,,https://accounts.fidelity.com/institutional/login,,,,,
