new,host,a,soa,status_code,txt,cdn,cdn-name,mx,ns,cname,aaaa,caa,has_internal_ips,internal_ips
[x],au370.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],au401.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],au410.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],au420.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],au430.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],au440.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],au450.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],au460.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],au470.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],au490.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],au491.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],au505.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],au520.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],au521.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],au522.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],au527.nordvpn.com,,,NOERROR,v=spf1 -all,,,,,,,,,
[x],au529.nordvpn.com,103.1.212.91,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],au531.nordvpn.com,103.1.212.107,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],au532.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],au534.nordvpn.com,103.1.212.131,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],au536.nordvpn.com,103.1.212.147,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],au537.nordvpn.com,103.1.212.155,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],au538.nordvpn.com,103.1.212.163,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],au633.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],au69.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],au70.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],auth.nordvpn.com,"104.17.50.74, 104.17.49.74","lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,,
[x],az1.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],az10.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],az2.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],az4.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],az9.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ba1.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
[x],ba12.nordvpn.com,185.212.111.183,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],ba2.nordvpn.com,,"lily.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 -all,,,,,,,,,
