new,host,a,aaaa,soa,status_code,cdn,cdn-name,mx,ns,txt
[x],api.dex-trade.com,"104.26.0.208, 104.26.1.208, 172.67.71.32","2606:4700:20::681a:d0, 2606:4700:20::681a:1d0, 2606:4700:20::ac43:4720","dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],api1.dex-trade.com,"104.26.0.208, 172.67.71.32, 104.26.1.208","2606:4700:20::681a:d0, 2606:4700:20::681a:1d0, 2606:4700:20::ac43:4720","dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],api2.dex-trade.com,"104.26.1.208, 172.67.71.32, 104.26.0.208","2606:4700:20::681a:d0, 2606:4700:20::ac43:4720, 2606:4700:20::681a:1d0","dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],beta-api.dex-trade.com,"104.26.1.208, 172.67.71.32, 104.26.0.208","2606:4700:20::681a:1d0, 2606:4700:20::ac43:4720, 2606:4700:20::681a:d0","dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],beta.dex-trade.com,"104.26.1.208, 104.26.0.208, 172.67.71.32","2606:4700:20::ac43:4720, 2606:4700:20::681a:d0, 2606:4700:20::681a:1d0","dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],beta2.dex-trade.com,,,"dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],dev.dex-trade.com,,,"dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],dex-trade.com,"172.67.71.32, 104.26.0.208, 104.26.1.208, 108.162.192.108, 172.64.32.108, 173.245.58.108, 108.162.195.53, 162.159.44.53, 172.64.35.53","2606:4700:20::681a:1d0, 2606:4700:20::681a:d0, 2606:4700:20::ac43:4720, 2606:4700:50::adf5:3a6c, 2803:f800:50::6ca2:c06c, 2a06:98c1:50::ac40:206c, 2606:4700:58::a29f:2c35, 2803:f800:50::6ca2:c335, 2a06:98c1:50::ac40:2335","dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"alt2.aspmx.l.google.com, alt4.aspmx.l.google.com, alt3.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com","khalid.ns.cloudflare.com, dora.ns.cloudflare.com","google-site-verification=D_V07XH8ll1FXsoi_i8JMCyef2KCsV0lhGmbvoLN-BQ, v=spf1 include:_spf.google.com ~all, google-site-verification=UtNa21PXc9LkLVcX6owUfc5OAf99qgrrNlYk1wgkV3o"
[x],docs.dex-trade.com,"172.67.71.32, 104.26.0.208, 104.26.1.208","2606:4700:20::681a:1d0, 2606:4700:20::ac43:4720, 2606:4700:20::681a:d0","dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],mail.dex-trade.com,"172.67.71.32, 104.26.0.208, 104.26.1.208","2606:4700:20::681a:d0, 2606:4700:20::681a:1d0, 2606:4700:20::ac43:4720","dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],new.dex-trade.com,,,"dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],old.dex-trade.com,,,"dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],pay.dex-trade.com,"104.26.0.208, 104.26.1.208, 172.67.71.32","2606:4700:20::681a:d0, 2606:4700:20::681a:1d0, 2606:4700:20::ac43:4720","dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],s3.dex-trade.com,"104.26.0.208, 104.26.1.208, 172.67.71.32","2606:4700:20::ac43:4720, 2606:4700:20::681a:d0, 2606:4700:20::681a:1d0","dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],socket.dex-trade.com,"172.67.71.32, 104.26.1.208, 104.26.0.208","2606:4700:20::ac43:4720, 2606:4700:20::681a:d0, 2606:4700:20::681a:1d0","dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],widget.dex-trade.com,"104.26.1.208, 104.26.0.208, 172.67.71.32","2606:4700:20::681a:d0, 2606:4700:20::681a:1d0, 2606:4700:20::ac43:4720","dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],ww11.dex-trade.com,,,"dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],ww35.dex-trade.com,,,"dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],ww38.dex-trade.com,,,"dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],ww8.dex-trade.com,,,"dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],www.dex-trade.com,"188.114.98.229, 188.114.99.229","2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5","dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
