new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,txt,caa,mx,ns
[x],ablink.new.crypto.com,,,"chad.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],ablink.news.crypto.com,"104.17.109.60, 104.17.108.60","2606:4700::6811:6d3c, 2606:4700::6811:6c3c","chad.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,"digicert.com, letsencrypt.org, comodoca.com",,
[x],ablink.serviceinfo.crypto.com,"104.17.109.60, 104.17.108.60","2606:4700::6811:6c3c, 2606:4700::6811:6d3c","chad.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,"digicert.com, letsencrypt.org, comodoca.com",,
[x],ablink.serviceinfor.crypto.com,,,"chad.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],abmail.crypto.com,,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u11956423.wl174.sendgrid.net,v=spf1 ip4:149.72.155.221 ip4:167.89.32.187 -all,,mx.sendgrid.net,
[x],advertising.crypto.com,"104.17.109.60, 104.17.108.60","2606:4700::6811:6c3c, 2606:4700::6811:6d3c","chad.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],api.nft.crypto.com,"104.17.109.60, 104.17.108.60","2606:4700::6811:6c3c, 2606:4700::6811:6d3c","chad.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],auth.tax.crypto.com,"104.17.108.60, 104.17.109.60","2606:4700::6811:6d3c, 2606:4700::6811:6c3c","chad.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],black-cat.crypto.com,91.235.132.76,,"pdns249.ultradns.com, dns.jomax.net",NOERROR,,,h-6rj18la4.online-metrix.net,,,,
[x],black.mona.co,"104.17.242.79, 104.17.243.79","2606:4700::6811:f24f, 2606:4700::6811:f34f","chad.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],blog.crypto.com,"104.17.108.60, 104.17.109.60","2606:4700::6811:6c3c, 2606:4700::6811:6d3c","chad.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],callyourshot.crypto.com,"104.17.109.60, 104.17.108.60","2606:4700::6811:6c3c, 2606:4700::6811:6d3c","chad.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],case.crypto.com,"104.17.109.60, 104.17.108.60","2606:4700::6811:6d3c, 2606:4700::6811:6c3c","chad.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],casetest.crypto.com,"104.17.108.60, 104.17.109.60","2606:4700::6811:6d3c, 2606:4700::6811:6c3c","chad.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],chain.crypto.com,"104.17.108.60, 104.17.109.60","2606:4700::6811:6c3c, 2606:4700::6811:6d3c","chad.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],click.crypto.com,"104.17.109.60, 104.17.108.60","2606:4700::6811:6c3c, 2606:4700::6811:6d3c","chad.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],crypto.com,"104.17.109.60, 104.17.108.60","2606:4700::6811:6c3c, 2606:4700::6811:6d3c","chad.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,"atlassian-domain-verification=NiMzudXjLfysooxXJ10ZjdBE6XVfC7dMzKRwphddrCWH4ecZWJ6yLz04vRzi9SZp, box-domain-verification=bd7e193ce1d8807fc0c92872c1d8ebab1fc8207e9cddd5e256, box-domain-verification=bd7e193ce1d8807fc0c92872c1d8ebab1fc8207e9cddd5e2562279f68fc6a0d4, docusign=44e85aef-c293-4280-a57e-c6805015f751, facebook-domain-verification=598suasmwyal84kh3gglgawu4kp26h, facebook-domain-verification=8y8dsk7b387u8fdzhwd38r7918jd61, google-site-verification=UmBlyd162v42XnvTlkcyJCcsFVFzbZP1xlqeAF1QrYY, google-site-verification=ZsldpD3RCgz2ntLBhPvWKAsL5uFtgUcxNuP5U0HDNe8, google-site-verification=jr0bXWF4FPGrJRzzbxgM0JDANUcG259zb9IUpC5XUgI, miro-verification=57041690cd985a8c994e4fc960e73460e844a257, mixpanel-domain-verify=c76c83bd-b6f1-42d9-a0fc-b9046f981edb, mongodb-site-verification=3dYblW5pflsGhK9sIKXE02aRNButG7TG, segment-site-verification=ymbSTvWR2lTKLIR4Cxtyv1bEQz5ShY9J, status-page-domain-verification=71jf0xbkm9dv, teamviewer-sso-verification=3c92f68977df46f8a836faf3dee19b1c, tverrblc66rfaf718t8nkv3ska, v=spf1 mx ip4:13.228.3.214/32 ip4:166.78.71.191/32 include:sendgrid.net include:_spf.google.com include:_spf.atlassian.net include:spf-00543801.pphosted.com include:amazonses.com a include:_spf.salesforce.com ~all, MS=ms70134725, MS=ms89782890, adobe-idp-site-verification=d1d24ca7de8f48eabcb6db556f51aeb77f354775e863452fee8f6d0dc4e9ba50, apple-domain-verification=k42cyDihDFgZyDji","amazontrust.com, awstrust.com, comodoca.com, digicert.com; cansignhttpexchanges=yes, godaddy.com, letsencrypt.org, pki.goog; cansignhttpexchanges=yes, amazon.com, amazonaws.com","mxb-00543801.gslb.pphosted.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, mxa-00543801.gslb.pphosted.com","chad.ns.cloudflare.com, sima.ns.cloudflare.com"
[x],de.mona.co,,,"chad.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],debug.crypto.com,"104.17.109.60, 104.17.108.60","2606:4700::6811:6c3c, 2606:4700::6811:6d3c","chad.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
