input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,port,url,scheme,webserver,method,host,path,favicon,a_,lines,failed,tech_,content_type,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,final_url,cdn,tls_mismatched,tls_wildcard_certificate,csp_domains_,tls_self_signed,tls_expired
survey.costco.com,whatcounts.com,200,713,AS16509,AS16509,Unknown,34.208.0.0/12,443,https://survey.costco.com:443,https,,GET,34.210.132.119,/,-177433616,52.36.173.12,25,False,,text/html,survey.costco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-08-26T23:59:59Z,CN=*.whatcounts.com,*.whatcounts.com,,whatcounts.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3e5666d217356a5b1fd22d5be9db0e6e,4eff40e7e5614cba0118eeee31b7ea7ad9a982f82639d17664681ef300cb6ad2,ctls,survey.costco.com,,,,True,True,,,
techsupport.costco.com,Costco Technical and Warranty Services,200,88563,AS31898,ORACLE-BMC-31898,US,138.2.116.0/23,443,https://techsupport.costco.com:443,https,,GET,138.1.119.58,/,225515476,138.1.119.58,954,False,jQuery,text/html,concierge.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=customerservice.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",customerservice.costco.com,Costco Wholesale Corporation,techsupport.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2fa69b6e83e9f1fb09d75425de561dd2,b4918c17ca874f2090d36ab7ee58b3d32b0e803318c0ab648fe8906a81269c5b,ctls,concierge.costco.com,oracle,https://concierge.costco.com/,True,,,,,
testfreighttracking.costco.ca,401 Authorization Required,401,188,AS14618,AMAZON-AES,US,23.20.0.0/14,443,https://testfreighttracking.costco.ca:443,https,nginx,GET,23.23.7.124,/,-457735316,54.83.89.9,8,False,Nginx,text/html,testfreighttracking.costco.ca,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-12T00:00:00Z,2023-10-12T23:59:59Z,"CN=testfreighttracking.costco.ca, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",testfreighttracking.costco.ca,Costco Wholesale Corporation,testfreighttracking.costco.ca,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,01c5738de23a1adff50d4e9fa6d633ed,e8d58ca5dfe1335e8f2d46894eac996c0c5457b7bba21ffcc292c8f8ccc2424a,ctls,testfreighttracking.costco.ca,,,,,,,,
testfreighttracking.costco.com,401 Authorization Required,401,590,AS14618,AMAZON-AES,US,54.88.0.0/14,443,https://testfreighttracking.costco.com:443,https,nginx,GET,54.83.89.9,/,-775513395,23.23.7.124,14,False,Nginx,text/html,testfreighttracking.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-12T00:00:00Z,2023-09-12T23:59:59Z,"CN=testfreighttracking.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",testfreighttracking.costco.com,Costco Wholesale Corporation,testfreighttracking.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,62eedd099e82ed97c980e9c99f42ad03,3af14385e8b0ac8c55cf1625d84f28825c80f6d3190689565e78e9ef2c161611,ctls,testfreighttracking.costco.com,,,,,,,,
tickets-api.costco.com,,200,3576,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,443,https://tickets-api.costco.com:443,https,Apache,GET,103.224.212.221,/,2056581550,103.224.212.221,46,False,Apache,text/html,,,,,,,,,,,,,,,,,,,,http://instantfwding.com/?dn=costco.com&pid=7PO2UM885,,,,,,
tires.costco.ca,Shop for Tires  |  Costco Tires,200,136361,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,443,https://tires.costco.ca:443,https,Microsoft-IIS/10.0,GET,104.75.89.67,/,1772087922,104.75.89.67,2531,False,Windows Server,text/html,tires.costco.ca,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-15T00:00:00Z,2024-01-31T23:59:59Z,"CN=mobilecontent.costco.com, O=Costco Wholesale CORPORATION, L=Issaquah, ST=Washington, C=US",mobilecontent.costco.com,Costco Wholesale CORPORATION,baliblinds.costco.ca,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,7d0fe39c27d5be0a5f3bb8533ab1f268,6057e594c7840e66b55f52b62a0f454f0d76d58e4495061107fcdba42b29a608,ctls,tires.costco.ca,,,,,,,,
tires.costco.com,"Tires: Shop for Car, SUV &  Truck Tires - Costco  |  Costco Tires",200,131611,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,80,http://tires.costco.com:80,http,Microsoft-IIS/10.0,GET,104.75.89.67,/,1772087922,104.75.89.67,2489,False,Windows Server,text/html,tires.costco.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-15T00:00:00Z,2024-01-31T23:59:59Z,"CN=mobilecontent.costco.com, O=Costco Wholesale CORPORATION, L=Issaquah, ST=Washington, C=US",mobilecontent.costco.com,Costco Wholesale CORPORATION,baliblinds.costco.ca,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,7d0fe39c27d5be0a5f3bb8533ab1f268,6057e594c7840e66b55f52b62a0f454f0d76d58e4495061107fcdba42b29a608,ctls,tires.costco.com,,https://tires.costco.com/,,,,,,
tokenizerspt.costco.com,BIG-IP logout page,200,5274,AS11283,COSTCO,US,170.167.56.0/23,443,https://tokenizerspt.costco.com:443,https,BigIP,GET,170.167.57.200,/,878647854,170.167.57.200,131,False,F5 BigIP,text/html,tokenizerspt.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2024-04-25T23:59:59Z,"CN=tokenizerspt.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",tokenizerspt.costco.com,Costco Wholesale Corporation,tokenizerspt.costco.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,e482eb5451cf5718885f3bd8565feb4d,2fc83fa03965f0da19675e68807c3b99c0b4f7704e3df01ce5fb81d103c7819d,ctls,tokenizerspt.costco.com,,https://tokenizerspt.costco.com/my.logout.php3?errorcode=19,,,,,,
tracking.digitalshopcard.costco.com,,503,107,AS16509,AS16509,Unknown,18.200.0.0/14,443,https://tracking.digitalshopcard.costco.com:443,https,,GET,18.198.218.66,/,-1654418437,18.198.163.56,4,False,,text/html,tracking.digitalshopcard.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2016-07-01T08:57:46Z,2026-06-29T08:57:46Z,"CN=None, OU=None, O=None, L=None, ST=None, C=NA",None,None,,"CN=None, OU=None, O=None, L=None, ST=None, C=NA",None,None,67aa534d1b1b3bf146144032a40e8662,65900fd81ee2450a4955418b49784730355f0e1fa6daa8fab1efb5bee2ceaa76,ctls,tracking.digitalshopcard.costco.com,,,,True,,,True,
trainingapps.costco.com,NetScaler AAA,200,42775,AS11283,COSTCO,US,170.167.56.0/23,443,https://trainingapps.costco.com:443,https,Apache,GET,170.167.52.20,/,12023395,170.167.52.20,721,False,HSTS,text/html,trainingapps.costco.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=npapps.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",npapps.costco.com,Costco Wholesale Corporation,npapps.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,87fe0558eebe2c57675eede572c278e7,74537d0b20dac664b2c42eefcfc57c3f296153a04a8da1cb8e19ebeec30563de,ctls,trainingapps.costco.com,,https://trainingapps.costco.com/logon/LogonPoint/tmindex.html,,True,,,,
unitedway.costco.com,,200,94,AS19574,CSC,US,165.160.16.0/24,80,http://unitedway.costco.com:80,http,,GET,165.160.15.20,/,820150424,165.160.13.20,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vat.costco.com,,200,92,AS11283,COSTCO,US,170.167.108.0/24,443,https://vat.costco.com:443,https,,GET,170.167.105.194,/,-1840324437,170.167.105.194,1,False,HSTS,text/html,vat.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-11T00:00:00Z,2023-08-11T23:59:59Z,"CN=vat.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",vat.costco.com,Costco Wholesale Corporation,vatidc.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9a70e4fe5467ec83fab9618cbf416b6c,e0f3aa15a2d7cd905e062d49272d53fb665da4ee36ac8f25e81a529f7e04a80c,ctls,vat.costco.com,,,,,,,,
vatidc.costco.com,,200,96,AS11283,COSTCO,US,170.167.200.0/24,443,https://vatidc.costco.com:443,https,,GET,170.167.200.194,/,-1840324437,170.167.200.194,1,False,HSTS,text/html,vatidc.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-11T00:00:00Z,2023-08-11T23:59:59Z,"CN=vat.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",vat.costco.com,Costco Wholesale Corporation,vatidc.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9a70e4fe5467ec83fab9618cbf416b6c,e0f3aa15a2d7cd905e062d49272d53fb665da4ee36ac8f25e81a529f7e04a80c,ctls,vatidc.costco.com,,,,,,,,
vatwdc.costco.com,,200,92,AS11283,COSTCO,US,170.167.108.0/24,443,https://vatwdc.costco.com:443,https,,GET,170.167.105.194,/,-1840324437,170.167.105.194,1,False,HSTS,text/html,vatwdc.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-11T00:00:00Z,2023-08-11T23:59:59Z,"CN=vat.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",vat.costco.com,Costco Wholesale Corporation,vatidc.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9a70e4fe5467ec83fab9618cbf416b6c,e0f3aa15a2d7cd905e062d49272d53fb665da4ee36ac8f25e81a529f7e04a80c,ctls,vatwdc.costco.com,,,,,,,,
vendorauth.costco.com,BIG-IP logout page,200,5274,AS11283,COSTCO,US,170.167.108.0/24,443,https://vendorauth.costco.com:443,https,BigIP,GET,170.167.101.199,/,878647854,170.167.101.199,131,False,F5 BigIP,text/html,hub.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-25T00:00:00Z,2023-07-25T23:59:59Z,"CN=hub.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",hub.costco.com,Costco Wholesale Corporation,hub.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,823dc8a1cbd48f612e36086b74d5b1ae,d94c09f10c4b299335b18226acb2a66c634c5771852f7c5568904a23edbd4c25,ctls,hub.costco.com,,https://hub.costco.com/my.logout.php3?errorcode=19,,,,,,
www.costcobusinessdelivery.com,Costco Business Center,200,517591,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,443,https://www.costcobusinessdelivery.com:443,https,,GET,104.75.89.67,/,-657990613,104.75.89.67,11972,False,Java Servlet:3.0,text/html,www.costcobusinessdelivery.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-15T00:00:00Z,2024-01-31T23:59:59Z,"CN=mobilecontent.costco.com, O=Costco Wholesale CORPORATION, L=Issaquah, ST=Washington, C=US",mobilecontent.costco.com,Costco Wholesale CORPORATION,baliblinds.costco.ca,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,7d0fe39c27d5be0a5f3bb8533ab1f268,6057e594c7840e66b55f52b62a0f454f0d76d58e4495061107fcdba42b29a608,ctls,www.costcobusinessdelivery.com,,,,,,,,
