input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,port,url,scheme,webserver,method,host,path,favicon,a_,lines,failed,tech_,content_type,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,final_url,cdn,tls_mismatched,tls_wildcard_certificate,csp_domains_,tls_self_signed,tls_expired
api-adt.costco.com,,404,156,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,80,http://api-adt.costco.com:80,http,,GET,107.23.127.48,/,1435874759,107.23.127.48,1,False,HSTS,application/json,,,,,,,,,,,,,,,,,,,,,,,,,,
api-qat.costco.com,,404,156,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,80,http://api-qat.costco.com:80,http,,GET,107.23.127.48,/,1435874759,107.23.127.48,1,False,HSTS,application/json,,,,,,,,,,,,,,,,,,,,,,,,,,
api-spt.costco.com,,404,156,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,80,http://api-spt.costco.com:80,http,,GET,107.23.127.48,/,1435874759,107.23.127.48,1,False,HSTS,application/json,,,,,,,,,,,,,,,,,,,,,,,,,,
ars.costco.com,,404,103,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.90.0.0/22,80,http://ars.costco.com:80,http,,GET,40.83.208.215,/,-20275242,40.83.208.215,1,False,,text/html,,,,,,,,,,,,,,,,,,,azure,,True,,,,,
baliblinds-qa.costco.ca,Access Denied,403,277,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,80,http://baliblinds-qa.costco.ca:80,http,AkamaiGHost,GET,104.126.37.129,/,1509304262,104.126.37.153,10,False,,text/html,,,,,,,,,,,,,,,,,,,,,,,,,,
baliblinds-qa.costco.com,Access Denied,403,277,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,80,http://baliblinds-qa.costco.com:80,http,AkamaiGHost,GET,2.20.132.120,/,-282782695,2.16.181.66,10,False,,text/html,,,,,,,,,,,,,,,,,,,,,,,,,,
baliblinds.costco.ca,Shop for Custom Window Treatments | Costco | Bali Blinds and Shades,200,105849,AS4181,TDS-AS,US,69.130.0.0/15,80,http://baliblinds.costco.ca:80,http,Microsoft-IIS/8.5,GET,69.129.253.153,/,-1773570869,69.129.253.153,1478,False,Windows Server,text/html,baliblinds.costco.ca,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-14T00:00:00Z,2023-07-14T23:59:59Z,"CN=baliblinds.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",baliblinds.costco.com,Costco Wholesale Corporation,origin.baliblinds.costco.ca,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7e72e2abb17facff379d53e49c610b31,e085ed113d287a03e4908372f4f2b2fbbcf7982fbff0713229bd0cb8ba6201a1,ctls,baliblinds.costco.ca,,https://baliblinds.costco.ca/,,,,,,
baliblinds.costco.com,Shop for Custom Window Treatments | Costco | Bali Blinds and Shades,200,108216,AS4181,TDS-AS,US,69.130.0.0/15,80,http://baliblinds.costco.com:80,http,Microsoft-IIS/8.5,GET,69.129.253.153,/,-2065974741,69.129.253.153,1401,False,Windows Server,text/html,baliblinds.costco.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-14T00:00:00Z,2023-07-14T23:59:59Z,"CN=baliblinds.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",baliblinds.costco.com,Costco Wholesale Corporation,origin.baliblinds.costco.ca,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7e72e2abb17facff379d53e49c610b31,e085ed113d287a03e4908372f4f2b2fbbcf7982fbff0713229bd0cb8ba6201a1,ctls,baliblinds.costco.com,,https://baliblinds.costco.com/,,,,,,
bd-vqa3.costco.ca,Access Denied,403,270,AS20940,AKAMAI-ASN1,NL,95.101.0.0/16,80,http://bd-vqa3.costco.ca:80,http,AkamaiGHost,GET,95.101.111.176,/,293010928,95.101.111.162,10,False,HSTS,text/html,,,,,,,,,,,,,,,,,,,,,,,,,,
bd-vqa3.costco.com,Access Denied,403,271,AS20940,AKAMAI-ASN1,NL,95.101.0.0/16,80,http://bd-vqa3.costco.com:80,http,AkamaiGHost,GET,95.101.111.162,/,-1097150346,95.101.111.176,10,False,HSTS,text/html,,,,,,,,,,,,,,,,,,,,,,,,,,
bd-vqa5.costco.ca,Access Denied,403,270,AS20940,AKAMAI-ASN1,NL,95.101.0.0/16,80,http://bd-vqa5.costco.ca:80,http,AkamaiGHost,GET,95.101.111.176,/,1366855676,2.16.181.66,10,False,HSTS,text/html,,,,,,,,,,,,,,,,,,,,,,,,,,
bd-vqa5.costco.com,Access Denied,403,271,AS20940,AKAMAI-ASN1,NL,95.101.0.0/16,80,http://bd-vqa5.costco.com:80,http,AkamaiGHost,GET,95.101.111.162,/,1031427290,95.101.111.176,10,False,HSTS,text/html,,,,,,,,,,,,,,,,,,,,,,,,,,
biportalqa.costco.com,,502,25,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.107.252.0/23,80,http://biportalqa.costco.com:80,http,,GET,13.107.237.45,/,1064523284,2620:1ec:48:1::45,1,False,Azure Front Door,,,,,,,,,,,,,,,,,,,,,,,,,,,
bpmlogin.costco.com,,200,1532,AS20940,AKAMAI-ASN1,NL,95.101.0.0/16,80,http://bpmlogin.costco.com:80,http,,GET,95.101.111.172,/,-958801415,95.101.111.183,54,False,IBM DataPower,text/html,bpmlogin.costco.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-28T00:00:00Z,2023-11-01T23:59:59Z,"CN=bpmlogin.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",bpmlogin.costco.com,Costco Wholesale Corporation,bpmlogin.costco.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,4402777c6526fa3ee53d5e5a68866cf7,f49180aed658997d179a1c0b31e8496259790c4038c5cf80f42c8954fb570e11,ctls,bpmlogin.costco.com,,https://bpmlogin.costco.com/,,,,,,
cdn.digital.costco.ca,ERROR: The request could not be satisfied,403,915,AS0,Not routed,None,99.86.8.0/24,80,http://cdn.digital.costco.ca:80,http,CloudFront,GET,99.86.4.120,/,1671585136,2600:9000:2057:5a00:a:a793:1080:93a1,20,False,Amazon Web Services,text/html,,,,,,,,,,,,,,,,,,,cloudfront,,True,,,,,
cdn.digital.costco.com,ERROR: The request could not be satisfied,403,915,AS0,Not routed,None,99.86.8.0/24,80,http://cdn.digital.costco.com:80,http,CloudFront,GET,99.86.4.21,/,157840939,2600:9000:2057:400:a:a793:1080:93a1,20,False,Amazon Web Services,text/html,,,,,,,,,,,,,,,,,,,cloudfront,,True,,,,,
claimit-spt.np.costco.com,Costco ClaimIt,200,10926,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.45.128.0/20,80,http://claimit-spt.np.costco.com:80,http,Microsoft-IIS/10.0,GET,20.42.128.106,/,1908147121,20.42.128.106,20,False,Windows Server,text/html,claimit-spt.np.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-28T00:00:00Z,2024-03-27T23:59:59Z,"CN=claimit.np.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",claimit.np.costco.com,Costco Wholesale Corporation,claimit-spt.np.costco.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,7a2f47d16f3798e3ba670c81af94989d,c73036c3e4ad07cd94accf7c20ab962b392256412c5f207731bbb05e53c3628c,ctls,claimit-spt.np.costco.com,azure,https://claimit-spt.np.costco.com/,True,,,,,
concur.costco.com,Invalid URL,400,209,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,80,http://concur.costco.com:80,http,AkamaiGHost,GET,23.201.250.248,/,2041619427,2a02:26f0:3500:88f::1e99,8,False,,text/html,,,,,,,,,,,,,,,,,,,,,,,,,,
customerservice.costcobusinessdelivery.com,Costco Business Center Customer Service,200,65025,AS31898,ORACLE-BMC-31898,US,138.2.116.0/23,80,http://customerservice.costcobusinessdelivery.com:80,http,,GET,138.1.119.58,/,225515476,138.1.119.58,916,False,jQuery,text/html,customerservice.costcobusinessdelivery.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=customerservice.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",customerservice.costco.com,Costco Wholesale Corporation,techsupport.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2fa69b6e83e9f1fb09d75425de561dd2,b4918c17ca874f2090d36ab7ee58b3d32b0e803318c0ab648fe8906a81269c5b,ctls,customerservice.costcobusinessdelivery.com,oracle,https://customerservice.costcobusinessdelivery.com/,True,,,,,
cvappuat2.costco.com,Sign In (Non-Production),200,11329,AS11283,COSTCO,US,170.167.56.0/23,80,http://cvappuat2.costco.com:80,http,,GET,170.167.50.202,/,556575801,170.167.50.202,241,False,ZURB Foundation,text/html,loginnp.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-04-19T23:59:59Z,"CN=loginnp.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",loginnp.costco.com,Costco Wholesale Corporation,loginnp.costco.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,c0a2c68c7160fad57f411ec21786ea92,d6f5b93f063108d68f4226e02e7def8bef39c27dfe62a492b6544119f918a799,ctls,loginnp.costco.com,,https://loginnp.costco.com/as/authorization.oauth2?response_type=code&client_id=pa_OMSRCC&redirect_uri=https%3A%2F%2Fcvappuat2.costco.com%2Fpa%2Foidc%2Fcb&state=eyJ6aXAiOiJERUYiLCJhbGciOiJkaXIiLCJlbmMiOiJBMTI4Q0JDLUhTMjU2Iiwia2lkIjoiam0iLCJzdWZmaXgiOiIxSnFwRVouMTY4Mzk3NjM1MSJ9..eugx9c8U4aV_rLXaxYVBGw.cNKLJc9teO2qXqIwJnvGfdIMUYHrsF6Mn0YBcI0iPpbpi7UkQ-58WjF-xBudPLz6JTE9UPTIm5eHnOZMRPEn7w.0T5rkk0EliKWcnITvkNmrg&nonce=VWx0w5FKuDUv_b4ZpqXtW-MosD9xJuzzp3FiKWHDH4M&scope=openid%20profile%20address%20email%20phone&vnd_pi_requested_resource=https%3A%2F%2Fcvappuat2.costco.com%2F&vnd_pi_application_name=cvappuat2.costco.com,,,,,,
data.digital.costco.com,,200,,AS15224,OMNITURE,US,63.140.60.0/22,80,http://data.digital.costco.com:80,http,jag,GET,63.140.62.135,/,1936786007,63.140.62.164,1,False,HSTS,,data.digital.costco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-14T00:00:00Z,2024-05-14T23:59:59Z,"CN=data.digital.costco.com, O=Adobe Systems Incorporated, L=San Jose, ST=California, C=US",data.digital.costco.com,Adobe Systems Incorporated,data.digital.costco.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,797fa5b7de6797efad778deb3034eee6,bfccad931d302922c1ae924a6272541841488160b4a487e09c6484954c3fa89d,ctls,data.digital.costco.com,,https://data.digital.costco.com/,,,,,,
email.costco.ca,whatcounts.com,200,713,AS16509,AS16509,Unknown,52.40.0.0/14,443,https://email.costco.ca:443,https,,GET,52.36.173.12,/,-177433616,34.210.132.119,25,False,,text/html,email.costco.ca,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-08-26T23:59:59Z,CN=*.whatcounts.com,*.whatcounts.com,,whatcounts.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3e5666d217356a5b1fd22d5be9db0e6e,4eff40e7e5614cba0118eeee31b7ea7ad9a982f82639d17664681ef300cb6ad2,ctls,email.costco.ca,,,,True,True,,,
empleo.costco.com,Servicio no encontrado,404,376,AS42612,DINAHOSTING-AS,ES,82.98.178.0/24,443,https://empleo.costco.com:443,https,nginx,GET,82.98.154.146,/,-602142412,82.98.154.146,17,False,Nginx,text/html,empleo.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-11T12:07:53Z,2023-09-12T12:07:52Z,"CN=*.dinaserver.com, O=PRIVACIDAD WHOIS SL, L=Santiago de Compostela, ST=La Coruña, C=ES",*.dinaserver.com,PRIVACIDAD WHOIS SL,dinaserver.com,"CN=GlobalSign Organization Validation CA - SHA256 - G2, O=GlobalSign nv-sa, C=BE",GlobalSign Organization Validation CA - SHA256 - G2,GlobalSign nv-sa,9f73cbecf637e28e8ddadc4bedafc321,402be0e9185b3918d7c92fb140694d5aa601fd69ea1e83325dcf1ac348e584ad,ctls,empleo.costco.com,,,,True,True,,,
enterpriseenrollment.np.costco.com,Microsoft Intune admin center,200,39770,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.64.0.0/11,80,http://enterpriseenrollment.np.costco.com:80,http,,GET,13.74.111.192,/,1631801191,13.74.111.192,4,False,HSTS,text/html,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,Microsoft Corporation,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,ctls,intune.microsoft.com,azure,https://intune.microsoft.com/,True,,,,,
freighttracking.costco.com,Track Your Order,200,27869,AS14618,AMAZON-AES,US,54.88.0.0/14,443,https://freighttracking.costco.com:443,https,nginx,GET,54.83.89.9,/,921698776,23.23.7.124,444,False,Nginx,text/html,freighttracking.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-12T00:00:00Z,2023-09-12T23:59:59Z,"CN=freighttracking.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",freighttracking.costco.com,Costco Wholesale Corporation,freighttracking.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,acffa76fc82d1d30211c9951ae3a0d60,91d3068bd30c13f5008e8fd832ea8828c51948617694477de5be03e0e055597a,ctls,freighttracking.costco.com,,,,,,,,
glasses-admin-uat2.costco.com,Web App - Unavailable,403,1892,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,80,http://glasses-admin-uat2.costco.com:80,http,,GET,20.49.104.14,/,-237335256,20.49.104.14,74,False,,text/html,,,,,,,,,,,,,,,,,,,azure,,True,,,,,
glasses-admin.costco.com,Microsoft,403,886,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,80,http://glasses-admin.costco.com:80,http,,GET,104.212.67.187,/,-1490959232,2620:1ec:4f:1::45,1,False,Azure Front Door,,,,,,,,,,,,,,,,,,,,,,,,,,,
glasses-uat2.costco.com,Web App - Unavailable,403,1892,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,80,http://glasses-uat2.costco.com:80,http,,GET,20.49.104.14,/,-237335256,20.49.104.14,74,False,,text/html,,,,,,,,,,,,,,,,,,,azure,,True,,,,,
https://beta-sameday.costco.com,,409,16,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,80,http://beta-sameday.costco.com:80,http,cloudflare,GET,104.18.17.17,/,1000520165,2606:4700::6812:1111,1,False,Cloudflare,text/plain,,,,,,,,,,,,,,,,,,,cloudflare,,True,,,,,
https://sameday.costco.com,Costco Same-Day Delivery,200,7570,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,443,https://sameday.costco.com:443,https,cloudflare,GET,104.18.16.17,/,-1776629042,2606:4700::6812:1011,1,False,HTTP/3,text/html,sameday.costco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-30T00:00:00Z,2023-08-30T23:59:59Z,"CN=sameday.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",sameday.costco.com,Costco Wholesale Corporation,beta-sameday.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f5a8c8ffc673fd7406ed688eaa09edb6,3823ef31f8d15b1460c806f1c1a366953b996d672c6de91c6e7c87ae1d96c6ae,ctls,sameday.costco.com,cloudflare,,True,,,https://sameday.costco.com,,
link.costco.com,404 Not Found,404,162,AS11377,SENDGRID,US,167.89.0.0/17,80,http://link.costco.com:80,http,nginx,GET,167.89.118.52,/,190856733,167.89.118.83,8,False,Nginx,text/html,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics.costcobusinesscentre.ca,,200,,AS15224,OMNITURE,US,63.140.60.0/22,80,http://metrics.costcobusinesscentre.ca:80,http,jag,GET,63.140.62.160,/,1936786007,63.140.62.135,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
my-bd-perf.costco.com,Access Denied,403,278,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,443,https://my-bd-perf.costco.com:443,https,AkamaiGHost,GET,104.126.37.153,/,2019881869,2a02:26f0:1700:11::b856:678b,10,False,Akamai Bot Manager,text/html,my-bd-perf.costco.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T00:00:00Z,2024-01-12T23:59:59Z,"CN=mobilecontent-qa.costco.com, O=Costco Wholesale CORPORATION, L=Issaquah, ST=Washington, C=US",mobilecontent-qa.costco.com,Costco Wholesale CORPORATION,www-vqa9.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,16e0db74a3f4e630086e508e268a0cfc,f182373d9609abf701c79e98933e42fc4c096dd7e77ed2463346df48a1906f7c,ctls,my-bd-perf.costco.com,,,,,,,,
my-bd-vqa3.costco.ca,Access Denied,403,277,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,443,https://my-bd-vqa3.costco.ca:443,https,,GET,2.20.132.120,/,-1971700013,2.16.181.66,10,False,Akamai Bot Manager,text/html,my-bd-vqa3.costco.ca,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T00:00:00Z,2024-01-12T23:59:59Z,"CN=mobilecontent-qa.costco.com, O=Costco Wholesale CORPORATION, L=Issaquah, ST=Washington, C=US",mobilecontent-qa.costco.com,Costco Wholesale CORPORATION,www-vqa9.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,16e0db74a3f4e630086e508e268a0cfc,f182373d9609abf701c79e98933e42fc4c096dd7e77ed2463346df48a1906f7c,ctls,my-bd-vqa3.costco.ca,,,,,,,,
my-bd-vqa5.costco.ca,,200,1653,AS20940,AKAMAI-ASN1,NL,95.101.0.0/16,443,https://my-bd-vqa5.costco.ca:443,https,,GET,95.101.111.162,/,-1826019058,2a02:26f0:480:d::210:f15c,33,False,webpack,text/html,my-bd-vqa5.costco.ca,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T00:00:00Z,2024-01-12T23:59:59Z,"CN=mobilecontent-qa.costco.com, O=Costco Wholesale CORPORATION, L=Issaquah, ST=Washington, C=US",mobilecontent-qa.costco.com,Costco Wholesale CORPORATION,www-vqa9.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,16e0db74a3f4e630086e508e268a0cfc,f182373d9609abf701c79e98933e42fc4c096dd7e77ed2463346df48a1906f7c,ctls,my-bd-vqa5.costco.ca,,,,,,,,
my.costco.ca,,200,1653,AS20940,AKAMAI-ASN1,NL,184.24.0.0/13,443,https://my.costco.ca:443,https,,GET,184.30.17.34,/,1520179081,184.30.17.34,33,False,webpack,text/html,my.costco.ca,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-15T00:00:00Z,2024-01-31T23:59:59Z,"CN=mobilecontent.costco.com, O=Costco Wholesale CORPORATION, L=Issaquah, ST=Washington, C=US",mobilecontent.costco.com,Costco Wholesale CORPORATION,baliblinds.costco.ca,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,7d0fe39c27d5be0a5f3bb8533ab1f268,6057e594c7840e66b55f52b62a0f454f0d76d58e4495061107fcdba42b29a608,ctls,my.costco.ca,,,,,,,,
my.costcobusinessdelivery.com,,200,1765,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,443,https://my.costcobusinessdelivery.com:443,https,,GET,2.19.225.19,/,226121149,2a02:26f0:3400:18c::2637,33,False,webpack,text/html,my.costcobusinessdelivery.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-15T00:00:00Z,2024-01-31T23:59:59Z,"CN=mobilecontent.costco.com, O=Costco Wholesale CORPORATION, L=Issaquah, ST=Washington, C=US",mobilecontent.costco.com,Costco Wholesale CORPORATION,baliblinds.costco.ca,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,7d0fe39c27d5be0a5f3bb8533ab1f268,6057e594c7840e66b55f52b62a0f454f0d76d58e4495061107fcdba42b29a608,ctls,my.costcobusinessdelivery.com,,,,,,,,
mycostcoaccount.costco.com,Costco Employee Account Enrollment,200,8689,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,138.91.0.0/16,443,https://mycostcoaccount.costco.com:443,https,,GET,138.91.225.40,/,1772087922,138.91.225.40,174,False,Microsoft ASP.NET,text/html,mycostcoaccount.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-27T00:00:00Z,2023-09-28T23:59:59Z,"CN=mycostcoaccount.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",mycostcoaccount.costco.com,Costco Wholesale Corporation,mycostcoaccount.costco.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0c02643fb581279e90a3101cf8ab5bfc,767f5d2cd803127a7b9c32b210821cb3dc2506275a78855a870a21ea528503d2,ctls,mycostcoaccount.costco.com,azure,,True,,,,,
np-adt-datahub.costco.com,Costco Merch Data Hub,200,9823,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.95.80.0/21,443,https://np-adt-datahub.costco.com:443,https,,GET,40.90.65.45,/,-772755509,2620:1ec:48:1::45,17,False,Azure Front Door,text/html,np-adt-datahub.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-14T00:00:00Z,2023-10-14T23:59:59Z,CN=np-adt-datahub.costco.com,np-adt-datahub.costco.com,,np-adt-datahub.costco.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0fb9dca230df58f66f6b21d7293f1174,bf8ae2d1931a4e481fa463a461af9464c80aabeab8b96fd59bc1f6c1b870bf6c,ctls,np-adt-datahub.costco.com,,,,,,,,
np-qat-datahub.costco.com,Costco Merch Data Hub,200,9823,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.107.252.0/23,443,https://np-qat-datahub.costco.com:443,https,,GET,13.107.237.45,/,1051387703,2620:1ec:4f:1::45,17,False,Azure Front Door,text/html,np-qat-datahub.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-14T00:00:00Z,2023-10-14T23:59:59Z,CN=np-qat-datahub.costco.com,np-qat-datahub.costco.com,,np-qat-datahub.costco.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0e7b4faf9d98c67833e55b994c44699e,e26207c0ee91ffbe0dcafe08bf295b5c3100453ac31a1bbbf1946363e439f8c3,ctls,np-qat-datahub.costco.com,,,,,,,,
np-spt-datahub.costco.com,Costco Merch Data Hub,200,9701,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.107.252.0/23,443,https://np-spt-datahub.costco.com:443,https,,GET,13.107.253.45,/,-1864145509,2620:1ec:27::cafe:2277,17,False,Azure Front Door,text/html,np-spt-datahub.costco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-14T00:00:00Z,2023-10-14T23:59:59Z,CN=np-spt-datahub.costco.com,np-spt-datahub.costco.com,,np-spt-datahub.costco.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",1919f0ea34476822dee0aca704732b0d,76b8152f5b240167680f152f1a52ae4ebced63f54a788253c143fbc80ebf98f2,ctls,np-spt-datahub.costco.com,,,,,,,,
npbpmlogin.costco.com,,200,1532,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,443,https://npbpmlogin.costco.com:443,https,,GET,2.20.132.120,/,-958801415,2.20.132.140,54,False,IBM DataPower,text/html,npbpmlogin.costco.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-28T00:00:00Z,2023-11-01T23:59:59Z,"CN=npbpmlogin.costco.com, O=Costco Wholesale Corporation, L=Issaquah, ST=Washington, C=US",npbpmlogin.costco.com,Costco Wholesale Corporation,npbpmlogin.costco.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,579d0f4da9ca923b623d306e30d2a738,a699da887fd96aa3ed64cbbcad52f628114db676942bd985572f282bc6aa3830,ctls,npbpmlogin.costco.com,,,,,,,,
