new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,mx,txt,ns,caa,has_internal_ips,internal_ips
[x],customerservice.costco.com,138.1.119.58,,costco.custhelp.com,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",NOERROR,True,oracle,,,"ns2.p17.dynect.net, ednsac01.rightnowtech.com, ns4.p17.dynect.net, ns1.p17.dynect.net, ednsac02.rightnowtech.com, ns3.p17.dynect.net",,,
[x],customerservice.costcobusinessdelivery.com,138.1.119.58,,costco-bd.custhelp.com,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",NOERROR,True,oracle,,,,,,
[x],customerservicefr.costco.ca,138.1.119.58,,costco-ca-fr.custhelp.com,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",NOERROR,True,oracle,,,,,,
[x],cvapp.costco.com,170.167.103.202,,login.costco.com,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],cvappadt2.costco.com,170.167.50.202,,loginnp.costco.com,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],cvappqat3.costco.com,170.167.50.202,,loginnp.costco.com,,NOERROR,,,,,,,,
[x],cvappspt.costco.com,170.167.50.202,,loginnp.costco.com,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],cvappuat2.costco.com,170.167.50.202,,loginnp.costco.com,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],data.digital.costco.ca,"63.140.62.160, 63.140.62.164, 63.140.62.135",,data.digital.costco.ca.data.adobedc.net,"ns201.adobe.net, hostmaster.adobe.com",NOERROR,,,,,,,,
[x],data.digital.costco.com,"63.140.36.121, 63.140.36.139, 63.140.36.119, 63.140.36.197, 63.140.36.138, 63.140.36.14, 63.140.36.101, 63.140.36.104, 63.140.36.112, 63.140.36.117",,data.digital.costco.com.data.adobedc.net,"ns201.adobe.net, hostmaster.adobe.com",NOERROR,,,,,,,,
[x],datahub.costco.com,40.90.65.55,2620:1ec:27::cafe:2250,"pd-costco-datahub-dashboard-cjfrgbfaf0ctcght.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0012.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0012.t-0009.fb-t-msedge.net, global-entry-fb-afdthirdparty-unicast-first.trafficmanager.net, bru30r3a.msedge.net","ns1.msedge.net, msnhst.microsoft.com",NOERROR,,,,,,,,
[x],developer-dev.costco.com,23.253.181.120,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],developer-np-dev.costco.com,18.246.33.0,,"costco-sandbox-portal.apigee.net, rwe2rt302-0-routers.dn.apigee.net","ns-1671.awsdns-16.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],developer-np.costco.com,34.237.118.0,,"costco-np-portal.apigee.net, costco-np.dn.apigee.net","ns-1671.awsdns-16.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],developer-test.costco.com,161.47.7.140,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],developer.costco.com,161.47.18.105,,,"a1-116.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,
