new,host,a,aaaa,cname,soa,status_code,has_internal_ips,internal_ips,ns,cdn,cdn-name,txt,mx,caa,ptr
[x],cb.paytmmall.com,,,,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1078.awsdns-06.org, ns-123.awsdns-15.com, ns-1790.awsdns-31.co.uk, ns-636.awsdns-15.net",,,,,,
[x],cbr-ds-staging.paytm.com,52.66.124.213,,,"ns-1112.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],cbsgateway-xml-mwpreprod.paytmbank.com,"172.23.72.65, 172.23.72.239",,internal-k8s-eksmwpre-ingressm-601c1f2e48-454136603.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,True,"172.23.72.65, 172.23.72.239",,,,,,,
[x],cdn.paytm.com,"99.84.9.129, 99.84.9.4, 99.84.9.85, 99.84.9.80",,d2d80wugb8bq6c.cloudfront.net,"ns-1961.awsdns-53.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1258.awsdns-29.org, ns-575.awsdns-07.net, ns-1961.awsdns-53.co.uk, ns-286.awsdns-35.com",True,cloudfront,,,,
[x],cdo-devops-jenkins.mypaytm.com,"172.21.60.221, 172.21.60.241",,internal-daas-devops-all-app-alb-1542792226.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,True,"172.21.60.221, 172.21.60.241",,,,,,,
[x],cdp-devops.mypaytm.com,"172.21.58.89, 172.21.58.170",,internal-cdp-devops-portal-lb-1099962914.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,True,"172.21.58.89, 172.21.58.170",,,,,,,
[x],cdst-kubeflow.mypaytm.com,,,,,NOERROR,,,,,,,,,
[x],cerberus.paytm.in,10.142.52.57,,,"ns-29.awsdns-03.com, awsdns-hostmaster.amazon.com",NOERROR,True,10.142.52.57,,,,,,,
[x],cf.paytmbank.com,"13.224.189.36, 13.224.189.6, 13.224.189.68, 13.224.189.54","2600:9000:20eb:2c00:7:f1ac:6180:93a1, 2600:9000:20eb:9a00:7:f1ac:6180:93a1, 2600:9000:20eb:e200:7:f1ac:6180:93a1, 2600:9000:20eb:ea00:7:f1ac:6180:93a1, 2600:9000:20eb:1600:7:f1ac:6180:93a1, 2600:9000:20eb:8000:7:f1ac:6180:93a1, 2600:9000:20eb:9200:7:f1ac:6180:93a1, 2600:9000:20eb:5200:7:f1ac:6180:93a1",di0y603v02b9i.cloudfront.net,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1213.awsdns-23.org, ns-1896.awsdns-45.co.uk, ns-649.awsdns-17.net, ns-79.awsdns-09.com",True,cloudfront,,,,
[x],ch.gamepind.com,,,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
