input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,tech_,lines,failed,cdn,csp_domains_,location,final_url,chain_status_codes_,tls_expired
*.freshdesk.com,Freshdesk: Customer Service Software | Freshworks,200,370151,www.freshworks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-28T00:00:00Z,2023-12-20T23:59:59Z,CN=*.freshworks.com,*.freshworks.com,,*.freshworks.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,175667e41de1c1803258c2fd79a3495c,dcb567ad2c16ef8a5d0848ac4787c137d98833cd40a830fdfe5df69af9708267,True,ctls,www.freshworks.com,cloudfront,443,https://freshdesk.com:443,https,,text/html,GET,143.204.215.123,/,1861281401,Linkedin Ads,469,False,True,,,https://www.freshworks.com/freshdesk/,200,
*.freshworks.com,Innovative Software for Business Needs | Freshworks,200,395237,www.freshworks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-28T00:00:00Z,2023-12-20T23:59:59Z,CN=*.freshworks.com,*.freshworks.com,,*.freshworks.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,175667e41de1c1803258c2fd79a3495c,dcb567ad2c16ef8a5d0848ac4787c137d98833cd40a830fdfe5df69af9708267,True,ctls,www.freshworks.com,cloudfront,443,https://freshworks.com:443,https,,text/html,GET,18.66.97.44,/,-1364922424,Linkedin Ads,435,False,True,,,https://www.freshworks.com/,200,
*.freshworks.com/widgets/82000005604.js,Page Not Found | Freshworks,404,33547,www.freshworks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-28T00:00:00Z,2023-12-20T23:59:59Z,CN=*.freshworks.com,*.freshworks.com,,*.freshworks.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,175667e41de1c1803258c2fd79a3495c,dcb567ad2c16ef8a5d0848ac4787c137d98833cd40a830fdfe5df69af9708267,True,ctls,www.freshworks.com,cloudfront,443,https://freshworks.com:443/widgets/82000005604.js,https,,text/html,GET,18.66.97.44,/widgets/82000005604.js,-1364922424,Typekit,817,False,True,,,https://www.freshworks.com/widgets/82000005604.js,404,
*.google.com,Google,200,257857,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,,443,https://google.com:443,https,gws,text/html,GET,142.250.181.238,/,708578229,HTTP/3,569,False,,https://csp.withgoogle.com/csp/gws/other-hp,,https://www.google.com/,200,
*.gstatic.com,Error 404 (Not Found)!!1,404,1561,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,True,ctls,www.gstatic.com,,443,https://gstatic.com:443,https,sffe,text/html,GET,142.250.186.163,/,302920777,HTTP/3,12,False,,,,https://www.gstatic.com/,404,
accounts-uat.paytm.com,,302,,accounts-uat.paytm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=secure.paytm.com, O=One 97 Communications Ltd, L=Noida, ST=Uttar Pradesh, C=IN",secure.paytm.com,One 97 Communications Ltd,*.lending.paytm.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,a81c9aabb3cd1f43f9b1eb10e29f43a3,597253b621912e80b01a1b4ed4a3de6bfd4eac93cac97604a1b40733bc4281c1,True,ctls,accounts-uat.paytm.com,,443,https://accounts-uat.paytm.com:443,https,openresty,,GET,104.102.52.13,/,-968222528,OpenResty,1,False,,https://insurance-webappsstatic-staging.s3.ap-south-1.amazonaws.com,/,https://accounts-uat.paytm.com/,302,
accounts.paytm.com,Access Denied,403,267,accounts.paytm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=secure.paytm.com, O=One 97 Communications Ltd, L=Noida, ST=Uttar Pradesh, C=IN",secure.paytm.com,One 97 Communications Ltd,*.lending.paytm.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,a81c9aabb3cd1f43f9b1eb10e29f43a3,597253b621912e80b01a1b4ed4a3de6bfd4eac93cac97604a1b40733bc4281c1,True,ctls,accounts.paytm.com,,443,https://accounts.paytm.com:443,https,AkamaiGHost,text/html,GET,23.37.42.154,/,,,10,False,,,,,,
ads.paytm.com,Leading Digital Advertising Platform in India - Paytm Ads,200,234909,ads.paytm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-01T00:00:00Z,2024-03-29T23:59:59Z,CN=paytm.com,paytm.com,,*.paytm.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a36cbeed6fdda48613c341d80c8b2afd,c8389b203c50c022ed47b04d80ed0143eef6062c37ae7441bf546b8e514d4f34,True,ctls,ads.paytm.com,,443,https://ads.paytm.com:443,https,nginx,text/html,GET,13.234.180.99,/,980873744,Nginx,4708,False,,,,,,
affiliate.paytmmoney.com,Affiliate Dashboard,200,1275,affiliate.paytmmoney.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-06-03T00:00:00Z,2023-07-04T23:59:59Z,"CN=*.paytmmoney.com, O=PAYTM MONEY LIMITED, L=South Delhi, ST=Delhi, C=IN",*.paytmmoney.com,PAYTM MONEY LIMITED,paytmmoney.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,46476f7005e6b6a3b758eb30424eb311,1a2793750518637a19586e668b5b61338a632c93741d62b7025d9f1b02ab5bb6,True,ctls,affiliate.paytmmoney.com,,443,https://affiliate.paytmmoney.com:443,https,,text/html,GET,104.102.43.231,/,1486222379,Node.js,1,False,,https://csp-report.mypaytm.com/reportcspviolations.php,,,,
akamai-pguat.paytm.com,403 Forbidden,403,146,akamai-pguat.paytm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-07-04T00:00:00Z,2023-07-07T23:59:59Z,"CN=*.paytm.com, O=one 97 communications ltd, L=Noida, ST=Uttar Pradesh, C=IN",*.paytm.com,one 97 communications ltd,paytm.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,303f960b7964909c8ebc755c41220e6b,53142cfb7e46082639614946ae52e1599dc47d53a6ebb0b897dd277c7404924e,True,ctls,akamai-pguat.paytm.com,,443,https://akamai-pguat.paytm.com:443,https,nginx,text/html,GET,15.207.168.31,/,1494302000,Nginx,8,False,,,,,,
