input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,tech_,lines,failed,cdn,csp_domains_,location,final_url,chain_status_codes_,tls_expired
analytics.paytm.com,CDP - CDP customer data platform,200,7493,analytics.paytm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-15T00:00:00Z,2024-03-15T23:59:59Z,CN=stockfeel.com.tw,stockfeel.com.tw,,*.stockfeel.com.tw,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b5e5271cdc3b932b0d4d2f66a3cec575,d0e3bcf10dea642eddd4bb26f77e240b8e5f42507faf64e11ab606e005fc0b3a,True,ctls,analytics.paytm.com,,443,https://analytics.paytm.com:443,https,nginx,text/html,GET,54.251.246.210,/,-1696561143,Python,162,False,,,,https://analytics.paytm.com/accounts/login/?next=/accounts/team/create/,200,
ap-northeast-1.production.paypay.gm.pai.mypaytm.com,404 Not Found,404,146,ap-northeast-1.production.paypay.gm.pai.mypaytm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-10T00:00:00Z,2023-10-01T23:59:59Z,CN=ap-northeast-1.production.paypay.gm.pai.mypaytm.com,ap-northeast-1.production.paypay.gm.pai.mypaytm.com,,*.ap-northeast-1.production.paypay.gm.pai.mypaytm.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2c778bc3abb87c7423254a242b25ee54,1f8e9794ed836fea3df6abf02f8502a0f34a492fdc7a8ecfa14bf10cf9f778e1,True,ctls,ap-northeast-1.production.paypay.gm.pai.mypaytm.com,,443,https://ap-northeast-1.production.paypay.gm.pai.mypaytm.com:443,https,,text/html,GET,54.249.128.50,/,1494302000,,8,False,,,,,,
ap-northeast-1.staging.paypay.gm.pai.mypaytm.com,404 Not Found,404,548,ap-northeast-1.staging.paypay.gm.pai.mypaytm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-14T00:00:00Z,2023-10-26T23:59:59Z,CN=ap-northeast-1.staging.paypay.gm.pai.mypaytm.com,ap-northeast-1.staging.paypay.gm.pai.mypaytm.com,,*.ap-northeast-1.staging.paypay.gm.pai.mypaytm.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,cfefdfc2f1b14986baccd0a84bc673d8,bc92d53e24a80261e7414e18d669653533e4e9369da05b9413100c922838bd11,True,ctls,ap-northeast-1.staging.paypay.gm.pai.mypaytm.com,,443,https://ap-northeast-1.staging.paypay.gm.pai.mypaytm.com:443,https,,text/html,GET,52.69.9.150,/,566218143,,14,False,,,,,,
ap-south-1.production.midgar.gm.pai.mypaytm.com,404 Not Found,404,146,ap-south-1.production.midgar.gm.pai.mypaytm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-07T00:00:00Z,2023-07-28T23:59:59Z,CN=ap-south-1.production.midgar.gm.pai.mypaytm.com,ap-south-1.production.midgar.gm.pai.mypaytm.com,,*.ap-south-1.production.midgar.gm.pai.mypaytm.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e8c1475916a5097a41617354a97d6055,3c9ebe2aa22bd74b855671efaaea84d8e5571a264f1007cd719dc8e7989753e6,True,ctls,ap-south-1.production.midgar.gm.pai.mypaytm.com,,443,https://ap-south-1.production.midgar.gm.pai.mypaytm.com:443,https,,text/html,GET,13.235.200.181,/,1494302000,,8,False,,,,,,
ap-south-1.staging-new.midgar.gm.pai.mypaytm.com,404 Not Found,404,548,ap-south-1.staging-new.midgar.gm.pai.mypaytm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-07T00:00:00Z,2023-07-28T23:59:59Z,CN=ap-south-1.staging-new.midgar.gm.pai.mypaytm.com,ap-south-1.staging-new.midgar.gm.pai.mypaytm.com,,*.ap-south-1.staging-new.midgar.gm.pai.mypaytm.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,728b552207df3a99796a1759ad7d1f4d,666c66da4608de54ddb0a160d42f83dbab194ef6847a39f8422790b5596d5a58,True,ctls,ap-south-1.staging-new.midgar.gm.pai.mypaytm.com,,443,https://ap-south-1.staging-new.midgar.gm.pai.mypaytm.com:443,https,,text/html,GET,3.7.209.68,/,566218143,,14,False,,,,,,
api-payouts.paytm.com,,404,,api-payouts.paytm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-02-23T05:33:34Z,2023-05-24T05:33:33Z,CN=staging-dashboard.paytm.com,staging-dashboard.paytm.com,,staging-dashboard.paytm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c35fd0e4e53b9e699ac3823c23d9430b,6ded57455068f7c79cd6381a067885a15cb0b613fe3b41f9fabf7f7609c46f2f,,ctls,api-payouts.paytm.com,,443,https://api-payouts.paytm.com:443,https,awselb/2.0,text/plain,GET,95.101.111.160,/,-1840324437,,1,False,,,,,,
api-pf.paytmmoney.com,,404,72,api-pf.paytmmoney.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-06-03T00:00:00Z,2023-07-04T23:59:59Z,"CN=*.paytmmoney.com, O=PAYTM MONEY LIMITED, L=South Delhi, ST=Delhi, C=IN",*.paytmmoney.com,PAYTM MONEY LIMITED,paytmmoney.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,46476f7005e6b6a3b758eb30424eb311,1a2793750518637a19586e668b5b61338a632c93741d62b7025d9f1b02ab5bb6,True,ctls,api-pf.paytmmoney.com,,443,https://api-pf.paytmmoney.com:443,https,,text/html,GET,104.102.43.231,/,918397954,,5,False,,,,,,
api.paytm.com,Error,503,175,api.paytm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-01-20T00:00:00Z,2024-01-20T23:59:59Z,"CN=api.paytm.com, O=One 97 Communications Limited, L=Noida, ST=Uttar Pradesh, C=IN",api.paytm.com,One 97 Communications Limited,api.paytm.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,622275b779e0bd52eb4010e2ed7d01f7,877ec264434e692a6baf7c7923283f5c246f79474ad7a2793f9d0df27b5f537e,,ctls,api.paytm.com,,443,https://api.paytm.com:443,https,AkamaiGHost,text/html,GET,95.101.111.51,/,1440640329,HTTP/3,5,False,,,,,,
api.paytmbank.com,Service Unavailable,503,267,api.paytmbank.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-06-21T00:00:00Z,2023-06-21T23:59:59Z,"CN=*.paytmbank.com, O=Paytm Payments Bank Ltd, L=New Delhi, ST=Delhi, C=IN",*.paytmbank.com,Paytm Payments Bank Ltd,paytmbank.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,76dded5db9da527df8cc4dfc61849f71,0b24641a8a098679d13143f35149a5c9bd2f41f39f191b211b915601427f7e71,True,ctls,api.paytmbank.com,,443,https://api.paytmbank.com:443,https,AkamaiGHost,text/html,GET,23.201.245.180,/,-1928964908,,9,False,,,,,,
api.paytmmoney.com,403 Forbidden,403,548,api.paytmmoney.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-06-03T00:00:00Z,2023-07-04T23:59:59Z,"CN=*.paytmmoney.com, O=PAYTM MONEY LIMITED, L=South Delhi, ST=Delhi, C=IN",*.paytmmoney.com,PAYTM MONEY LIMITED,paytmmoney.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,46476f7005e6b6a3b758eb30424eb311,1a2793750518637a19586e668b5b61338a632c93741d62b7025d9f1b02ab5bb6,True,ctls,api.paytmmoney.com,,443,https://api.paytmmoney.com:443,https,nginx,text/html,GET,104.102.43.231,/,566218143,Nginx,14,False,,,,,,
apiproxy.paytm.com,404 Not Found,404,166,apiproxy.paytm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=secure.paytm.com, O=One 97 Communications Ltd, L=Noida, ST=Uttar Pradesh, C=IN",secure.paytm.com,One 97 Communications Ltd,*.lending.paytm.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,a81c9aabb3cd1f43f9b1eb10e29f43a3,597253b621912e80b01a1b4ed4a3de6bfd4eac93cac97604a1b40733bc4281c1,True,ctls,apiproxy.paytm.com,,443,https://apiproxy.paytm.com:443,https,,text/html,GET,23.206.209.139,/,-1694607085,,8,False,,,,,,
apk.gamepind.com,,403,243,apk.gamepind.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-10-27T00:00:00Z,2023-10-27T23:59:59Z,CN=*.gamepind.com,*.gamepind.com,,gamepind.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",e187d8ae899bbcb7baf4da10bebe0cf8,74a29c50cd9aa74fa87aaf12ba41d1bd630b99c8a3d4354cb4b04e06ebf21780,True,ctls,apk.gamepind.com,,443,https://apk.gamepind.com:443,https,,application/xml,GET,95.101.111.46,/,-1673525108,Amazon Web Services,2,False,,,,,,
app.paytmfirstgames.com,,200,,app.paytmfirstgames.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-06-30T00:00:00Z,2023-06-30T23:59:59Z,"CN=*.paytmfirstgames.com, O=Paytm First Games Private Limited, L=New Delhi, ST=Delhi, C=IN",*.paytmfirstgames.com,Paytm First Games Private Limited,paytmfirstgames.com,"CN=Thawte TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte TLS RSA CA G1,DigiCert Inc,a304e6b618f0e5aca90e94bd143b3630,ee9bc095c93fa1a7563ec870637eb56b894bbfe456633fde1bbea47cb91f408a,True,ctls,app.paytmfirstgames.com,,443,https://app.paytmfirstgames.com:443,https,,application/x-directory,GET,184.86.103.212,/,-714138055,Amazon Web Services,1,False,,,,,,
appcdn.paytm.com,,403,243,appcdn.paytm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=secure.paytm.com, O=One 97 Communications Ltd, L=Noida, ST=Uttar Pradesh, C=IN",secure.paytm.com,One 97 Communications Ltd,*.lending.paytm.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,a81c9aabb3cd1f43f9b1eb10e29f43a3,597253b621912e80b01a1b4ed4a3de6bfd4eac93cac97604a1b40733bc4281c1,True,ctls,appcdn.paytm.com,,443,https://appcdn.paytm.com:443,https,AmazonS3,application/xml,GET,104.102.52.13,/,-878761351,Amazon Web Services,2,False,,,,,,
appfaq.paytm.com,FAQs,200,25967,appfaq.paytm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-17T14:29:07Z,2023-07-16T14:29:06Z,CN=appfaq.paytm.com,appfaq.paytm.com,,appfaq.paytm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,44a236955e8ea082021aef3bb218e84e,ffb8295465419aad809b8202da677ba02c9f76670bf2ea708d0fbfee8165f21a,,ctls,appfaq.paytm.com,,443,https://appfaq.paytm.com:443,https,nginx,text/html,GET,54.225.209.187,/,-1840324437,WordPress,219,False,,,,,,
apps.gamepind.com,,404,,apps.gamepind.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-10-27T00:00:00Z,2023-10-27T23:59:59Z,CN=*.gamepind.com,*.gamepind.com,,gamepind.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",e187d8ae899bbcb7baf4da10bebe0cf8,74a29c50cd9aa74fa87aaf12ba41d1bd630b99c8a3d4354cb4b04e06ebf21780,True,ctls,apps.gamepind.com,,443,https://apps.gamepind.com:443,https,awselb/2.0,text/plain,GET,95.101.111.13,/,-1840324437,,1,False,,,,,,
assets.ocl.risk.pai.mypaytm.com,,404,281,assets.ocl.risk.pai.mypaytm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-28T00:00:00Z,2024-03-29T23:59:59Z,CN=ocl.risk.pai.mypaytm.com,ocl.risk.pai.mypaytm.com,,assets.ocl.risk.pai.mypaytm.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5d9e13870f774521a568b0a58276d51b,2d3afa87fc511172f31e0d62cd57630ab3720f1ec9f9a77b0921204cbdd5e977,,ctls,assets.ocl.risk.pai.mypaytm.com,cloudfront,443,https://assets.ocl.risk.pai.mypaytm.com:443,https,AmazonS3,application/xml,GET,65.9.25.14,/,-1417430849,Amazon Web Services,2,False,True,,,,,
assets.paytm.com,404 Not Found,404,536,,,,,,,,,,,,,,,,,,,,,,80,http://assets.paytm.com:80,http,AmazonS3,text/html,GET,52.219.132.145,/,-809641417,Amazon Web Services,21,False,,,,,,
assets.paytmmoney.com,,403,255,assets.paytmmoney.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-06-03T00:00:00Z,2023-07-04T23:59:59Z,"CN=*.paytmmoney.com, O=PAYTM MONEY LIMITED, L=South Delhi, ST=Delhi, C=IN",*.paytmmoney.com,PAYTM MONEY LIMITED,paytmmoney.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,46476f7005e6b6a3b758eb30424eb311,1a2793750518637a19586e668b5b61338a632c93741d62b7025d9f1b02ab5bb6,True,ctls,assets.paytmmoney.com,,443,https://assets.paytmmoney.com:443,https,AmazonS3,application/xml,GET,104.102.43.231,/,139850676,Amazon Web Services,2,False,,,,,,
assetscdn.paytm.com,,403,243,assetscdn.paytm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-12-20T00:00:00Z,2023-12-19T23:59:59Z,"CN=secure.paytm.in, O=One 97 Communications Limited, L=Noida, ST=Uttar Pradesh, C=IN",secure.paytm.in,One 97 Communications Limited,www.business.paytm.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,cf13e8efe3b5d9eba4ca598be0ac3359,96a39c03138d393f5073adf7ac58330ad1ec96a6cea2ec98f26cc22a12977db9,,ctls,assetscdn.paytm.com,,443,https://assetscdn.paytm.com:443,https,AmazonS3,application/xml,GET,84.53.164.199,/,-2122268650,Amazon Web Services,2,False,,,,,,
assetscdn1.paytm.com,,403,243,assetscdn1.paytm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=secure.paytm.com, O=One 97 Communications Ltd, L=Noida, ST=Uttar Pradesh, C=IN",secure.paytm.com,One 97 Communications Ltd,*.lending.paytm.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,a81c9aabb3cd1f43f9b1eb10e29f43a3,597253b621912e80b01a1b4ed4a3de6bfd4eac93cac97604a1b40733bc4281c1,True,ctls,assetscdn1.paytm.com,,443,https://assetscdn1.paytm.com:443,https,AmazonS3,application/xml,GET,104.102.52.13,/,-1555890372,Amazon Web Services,2,False,,,,,,
atlas-qa.paytm.in,,503,107,atlas-qa.paytm.in,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-14T16:21:29Z,2023-06-12T16:21:28Z,CN=securegw-dev.paytm.in,securegw-dev.paytm.in,,wallet-slack.paytm.in,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,27ec38fb7ef4927c61e75cccda322f10,1ce5b2ebcfc862d620064f2b1a73f3cec5c5782610c7e3a8db63efd15ac41701,,ctls,atlas-qa.paytm.in,,443,https://atlas-qa.paytm.in:443,https,,text/html,GET,104.126.37.178,/,-1654418437,,4,False,,,,,,
ats.paytm.com,HTTP Status 401 – Unauthorized,401,437,ats.paytm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=secure.paytm.com, O=One 97 Communications Ltd, L=Noida, ST=Uttar Pradesh, C=IN",secure.paytm.com,One 97 Communications Ltd,*.lending.paytm.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,a81c9aabb3cd1f43f9b1eb10e29f43a3,597253b621912e80b01a1b4ed4a3de6bfd4eac93cac97604a1b40733bc4281c1,True,ctls,ats.paytm.com,,443,https://ats.paytm.com:443,https,openresty,text/html,GET,23.206.209.139,/,2127100728,OpenResty,1,False,,,,,,
