new,host,a,cname,soa,status_code,cdn,cdn-name,mx,ns,txt,aaaa,caa
[x],007.etoro.com,13.79.184.58,,"ns1-13.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,
[x],1.etoro.com,13.79.184.58,,"ns1-13.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,
[x],271596.genapicloud.comcandle.etoro.com,13.79.184.58,,"ns1-13.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,
[x],271666.genapicloud.comcandle.etoro.com,13.79.184.58,,"ns1-13.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,
[x],2fcontent.etoro.com,13.79.184.58,,"ns1-13.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,
[x],2fopenbook.etoro.com,13.79.184.58,,"ns1-13.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,
[x],2fwww.etoro.com,13.79.184.58,,"ns1-13.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,
[x],2ww.etoro.com,13.79.184.58,,"ns1-13.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,
[x],3dpages.etoro.com,13.79.184.58,,"ns1-13.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,
[x],3ww.etoro.com,13.79.184.58,,"ns1-13.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,
[x],7ww.etoro.com,13.79.184.58,,"ns1-13.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,
[x],aditlinux.commed.etoro.com,13.79.184.58,,"ns1-13.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,
[x],affiliates.etoro.com,23.73.174.229,"affiliates.etoro.com.edgekey.net, e1660.d.akamaiedge.net","n0d.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,
[x],agapechristianacademysc.commed.etoro.com,13.79.184.58,,"ns1-13.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,
[x],aggregator.etoro.com,"172.64.152.107, 104.18.35.149","www.etoro.com, www-failover.etoro.akadns.net, www.etoro.akadns.net, etoro.com.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],akcn.etoro.com,13.79.184.58,,"ns1-13.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,
[x],alerts.etoro.com,13.79.184.58,,"ns1-13.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,
[x],amslawgrp.comwww.etoro.com,13.79.184.58,,"ns1-13.akam.net, hostmaster.akamai.com",NOERROR,True,azure,,,,,
