input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,lines,cdn,webserver,tech_,tls_subject_org_
2app-wdps-okta-inc-parents-alt12usw1.invites.asana.com,Error,,466,2app-wdps-okta-inc-parents-alt12usw1.invites.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,2app-wdps-okta-inc-parents-alt12usw1.invites.asana.com,443,https://2app-wdps-okta-inc-parents-alt12usw1.invites.asana.com:443,https,text/html,GET,50.16.4.148,10,,nginx,PayPal,
2fapp.asana.com,Move Work Forward - Asana,,3878,2fapp.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,2fapp.asana.com,443,https://2fapp.asana.com:443,https,text/html,GET,44.193.37.178,30,,nginx,PayPal,
30099619.app.asana.com,Move Work Forward - Asana,,3878,30099619.app.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,30099619.app.asana.com,443,https://30099619.app.asana.com:443,https,text/html,GET,34.231.47.205,30,,nginx,PayPal,
302www.asana.com,Asana,,6875,302www.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,302www.asana.com,443,https://302www.asana.com:443,https,text/html,GET,54.152.19.51,121,,nginx,PayPal,
31859095.app.asana.com,Log in - Asana,,22205,31859095.app.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,31859095.app.asana.com,443,https://31859095.app.asana.com:443,https,text/html,GET,50.16.4.148,11,,nginx,PayPal,
35393328.app.asana.com,Move Work Forward - Asana,,3878,35393328.app.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,35393328.app.asana.com,443,https://35393328.app.asana.com:443,https,text/html,GET,34.227.129.202,30,,nginx,PayPal,
3dapp.asana.com,Error,,466,3dapp.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,3dapp.asana.com,443,https://3dapp.asana.com:443,https,text/html,GET,34.227.129.202,10,,nginx,PayPal,
4jjxqskapcy4tamk.app.asana.com,Asana,,6938,4jjxqskapcy4tamk.app.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,4jjxqskapcy4tamk.app.asana.com,443,https://4jjxqskapcy4tamk.app.asana.com:443,https,text/html,GET,34.231.47.205,121,,nginx,PayPal,
50663734.app.asana.com,Asana,,6887,50663734.app.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,50663734.app.asana.com,443,https://50663734.app.asana.com:443,https,text/html,GET,34.226.53.8,121,,nginx,PayPal,
55571204.asana.com,Error,,466,55571204.asana.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,CN=*.asana.com,*.asana.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,55571204.asana.com,443,https://55571204.asana.com:443,https,text/html,GET,34.226.53.8,10,,nginx,PayPal,
