new,host,a,soa,status_code,cdn,cdn-name,ns,txt
[x],2020internal.treebal.green,35.205.138.108,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,,
[x],api-327485g35.treebal.green,35.205.138.108,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,"pdns11.domaincontrol.com, pdns12.domaincontrol.com",
[x],bamboo11.search.treebal.green,35.205.138.108,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,,
[x],bamboo11.treebal.green,35.205.138.108,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,,
[x],darinhuddy.dev.treebal.green,,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,,
[x],dev.engineering.treebal.green,,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,,
[x],element.log.treebal.green,35.205.138.108,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,,
[x],engstreaming.treebal.green,35.205.138.108,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,"pdns12.domaincontrol.com, pdns11.domaincontrol.com",
[x],eur-p-gen-6-127-98-99.eu-0.treebal.green,34.140.241.3,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,"pdns12.domaincontrol.com, pdns11.domaincontrol.com",
[x],gcp-ash2-dispatchercass-a1.userservice.treebal.green,35.205.138.108,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,,
[x],image.api-apicmsdb1-origin.treebal.green,35.205.138.108,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,,
[x],internal-ipv4-sftp.dev.treebal.green,35.187.177.67,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,"pdns12.domaincontrol.com, pdns11.domaincontrol.com",
[x],ipv4-c067-atl004-ix.eu-0.treebal.green,34.140.241.3,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,,
[x],kpopmp3mv.dev.treebal.green,35.187.177.67,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,,
[x],madpeople.grafana.treebal.green,35.205.138.108,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,"pdns12.domaincontrol.com, pdns11.domaincontrol.com",
[x],mgot7.treebal.green,35.205.138.108,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,,
[x],opsgenie-buildwatcher.meet.treebal.green,34.140.41.243,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,"pdns12.domaincontrol.com, pdns11.domaincontrol.com",
[x],outside-lab-fw1.dev.treebal.green,35.187.177.67,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,"pdns12.domaincontrol.com, pdns11.domaincontrol.com",
[x],pa-dev-directvcommercial.dev.treebal.green,,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,,
[x],pp-twpay.dev.treebal.green,35.187.177.67,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,"pdns12.domaincontrol.com, pdns11.domaincontrol.com",
[x],sin-arvrnpmdev07.treebal.green,35.205.138.108,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,,
[x],tor157-205-grc.dev.treebal.green,35.187.177.67,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,"pdns12.domaincontrol.com, pdns11.domaincontrol.com",
[x],tor86-144-pdb.dev.treebal.green,35.187.177.67,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,,
[x],user-arete.eu-0.treebal.green,34.140.241.3,"pdns11.domaincontrol.com, dns.jomax.net",NOERROR,True,google,,
