input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,method,host,path,favicon,a_,lines,failed,content_type,final_url,tech_,csp_domains_,cdn_name,cdn
api.toyotamobility.com,,404,23,AS14618,AMAZON-AES,US,52.0.0.0/13,api.toyotamobility.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-21T00:00:00Z,2023-11-10T23:59:59Z,CN=toyotamobility.com,toyotamobility.com,,api.www.toyotamobility.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ab00c8f805a4d104ad4badfd694fb01c,6fbb54d4056276b23b5073ba02ce1fc454686aa001e5411b761dd313b6401428,,ctls,api.toyotamobility.com,443,https://api.toyotamobility.com:443,https,,GET,52.4.145.31,/,631524574,34.202.33.48,1,False,application/json,,,,,
api.uat.toyotamobility.com,,404,23,AS14618,AMAZON-AES,US,52.0.0.0/13,api.uat.toyotamobility.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-01T00:00:00Z,2023-11-10T23:59:59Z,CN=uat.toyotamobility.com,uat.toyotamobility.com,,api.www.uat.toyotamobility.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,fa3e645ac1b438afc2f4c47e86a3ff2d,1aa46ba3f2b20998354d2aa0946faf01e41600668b06ab0fa056fe2bc2e2648c,,ctls,api.uat.toyotamobility.com,443,https://api.uat.toyotamobility.com:443,https,,GET,52.2.176.56,/,631524574,44.207.107.77,1,False,application/json,,,,,
dev.toyotamobility.com,,403,17,AS0,Not routed,None,13.224.192.0/21,dev.toyotamobility.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-01T00:00:00Z,2023-11-04T23:59:59Z,CN=dev.toyotamobility.com,dev.toyotamobility.com,,api.dev.toyotamobility.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6bff0d6c45881f1455353cfe6e26e048,e7983ee585baaf7ee59d82676103bc09f8b8a138598cd2d17510bf506d91c6fa,,ctls,dev.toyotamobility.com,443,https://dev.toyotamobility.com:443,https,awselb/2.0,GET,13.224.189.59,/,1737954012,13.224.189.117,1,False,text/plain,,Amazon Web Services,,cloudfront,True
metric.toyotacertified.com,,200,,AS15224,OMNITURE,US,63.140.60.0/22,,,,,,,,,,,,,,,,,,,,,80,http://metric.toyotacertified.com:80,http,jag,GET,63.140.62.164,/,1936786007,63.140.62.160,1,False,,,,,,
metrics.toyotacertificados.com,,200,,AS15224,OMNITURE,US,63.140.60.0/22,metrics.toyotacertificados.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-03-08T23:59:59Z,"CN=*.sc.omtrdc.net, O=Adobe Systems Incorporated, L=San Jose, ST=California, C=US",*.sc.omtrdc.net,Adobe Systems Incorporated,sc.omtrdc.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5aea0482f5687fba1e7b20b2977a3e7a,1a773e957c8bb8819956df96b254fce6c3d34e51c3a7073ffe3ac7833bfc089f,True,ctls,metrics.toyotacertificados.com,443,https://metrics.toyotacertificados.com:443,https,jag,GET,63.140.62.160,/,1936786007,63.140.62.135,1,False,,,,,,
metrics.toyotacertified.com,,200,,AS15224,OMNITURE,US,63.140.60.0/22,metrics.toyotacertified.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-03-08T23:59:59Z,"CN=*.sc.omtrdc.net, O=Adobe Systems Incorporated, L=San Jose, ST=California, C=US",*.sc.omtrdc.net,Adobe Systems Incorporated,sc.omtrdc.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5aea0482f5687fba1e7b20b2977a3e7a,1a773e957c8bb8819956df96b254fce6c3d34e51c3a7073ffe3ac7833bfc089f,True,ctls,metrics.toyotacertified.com,443,https://metrics.toyotacertified.com:443,https,jag,GET,63.140.62.135,/,1936786007,63.140.62.164,1,False,,,,,,
tddsprogram.com,Log In - Toyota Enrollment,200,4127,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.tddsprogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-15T00:00:00Z,2023-07-15T23:59:59Z,CN=www.tddsprogram.com,www.tddsprogram.com,,www.tddsprogram.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",8877dfaf545e868590ad25bdf3bdc288,a13236c751f40864c629c3c54ba2705d0a545703515ac7fe6d6fee03df469c65,,ctls,www.tddsprogram.com,443,https://tddsprogram.com:443,https,Microsoft-IIS/10.0,GET,104.42.154.105,/,-1840324437,104.42.154.105,78,False,text/html,https://www.tddsprogram.com/Identity/Account/Login?ReturnUrl=%2F,Windows Server,,azure,True
toyotacertificados.com,"Compra Autos, Camionetas, SUV e Híbridos Usados Certificados Toyota",200,102581,AS136133,SECTIONIO-AS-AP SQUIXA PTY LIMITED,AU,45.154.183.0/24,www.toyotacertificados.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2023-10-17T23:59:59Z,CN=www.toyotacertificados.com,www.toyotacertificados.com,,www.espanol.refresh.tcuv.tms.aws.toyota.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,df2ed1066c23e579154bd99cd4b86c0a,931d9758a9b80ff7d26f3ac1d44ca928582e8b2e66427c1291d8c3ccaefaff1e,,ctls,www.toyotacertificados.com,80,http://toyotacertificados.com:80,http,Apache,GET,45.154.183.183,/,-1276357108,45.154.183.183,120,False,text/html,https://www.toyotacertificados.com/,HSTS,,,
trdusa.com,Search for TRD Parts | Toyota.com,200,3365,AS136133,SECTIONIO-AS-AP SQUIXA PTY LIMITED,AU,45.154.183.0/24,www.toyota.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-21T00:00:00Z,2023-12-26T23:59:59Z,CN=www.toyota.com,www.toyota.com,,www.toyota.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3a385e2fcd57882f3f708a05f3e9c27d,8f4d1086f1ac0ee83e1a099986a806440acf1842e7cca693b89da8efb2c16cff,,ctls,www.toyota.com,443,https://trdusa.com:443,https,,GET,45.154.183.183,/,-1191073201,45.154.183.183,130,False,text/html,https://www.toyota.com/racing/trd,Varnish:6.3,https:,,
uat.toyotamobility.com,Toyota Mobility,200,47763,AS16509,AMAZON-02,US,13.32.132.0/24,uat.toyotamobility.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-01T00:00:00Z,2023-11-10T23:59:59Z,CN=uat.toyotamobility.com,uat.toyotamobility.com,,api.www.uat.toyotamobility.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,fa3e645ac1b438afc2f4c47e86a3ff2d,1aa46ba3f2b20998354d2aa0946faf01e41600668b06ab0fa056fe2bc2e2648c,,ctls,uat.toyotamobility.com,443,https://uat.toyotamobility.com:443,https,Apache,GET,13.32.121.47,/,1533797984,13.32.121.16,1051,False,text/html,,Java,,cloudfront,True
