new,host,a,soa,status_code,cname,cdn,cdn-name,ns,aaaa,mx,txt
[x],api.toyotamobility.com,"34.202.33.48, 52.4.145.31","ns-900.awsdns-48.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],api.uat.toyotamobility.com,"34.230.98.173, 52.203.8.178","ns-1899.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],dev.toyotamobility.com,"13.224.189.98, 13.224.189.67, 13.224.189.59, 13.224.189.117","ns-497.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,"ns-1152.awsdns-16.org, ns-1859.awsdns-40.co.uk, ns-497.awsdns-62.com, ns-763.awsdns-31.net",,,
[x],metric.toyotacertificados.com,"63.140.62.164, 63.140.62.160, 63.140.62.135","ns201.adobe.net, dnsadmin.omniture.com, hostmaster.adobe.com",NOERROR,"toyotacertificados.com.102.112.2o7.net, data.102.112.2o7.net",,,,,,
[x],metric.toyotacertified.com,,"ns201.adobe.net, hostmaster.adobe.com, dnsadmin.omniture.com",NOERROR,"toyotacertified.com.102.112.2o7.net, data.102.112.2o7.net",,,,,,
[x],metrics.toyotacertificados.com,"63.140.62.164, 63.140.62.135, 63.140.62.160","ns201.adobe.net, hostmaster.adobe.com, dnsadmin.omniture.com",NOERROR,toyota.112.2o7.net,,,,,,
[x],metrics.toyotacertified.com,"63.140.62.135, 63.140.62.160, 63.140.62.164","ns201.adobe.net, dnsadmin.omniture.com",NOERROR,toyota.112.2o7.net,,,,,,
[x],next.staging.toyotacertificados.com,63.87.74.88,"gridmaster.nss.toyota.com, domainnameadmin.toyota.com",NOERROR,,,,,,,
[x],next.staging.toyotacertified.com,63.87.74.88,"gridmaster.nss.toyota.com, domainnameadmin.toyota.com",NOERROR,,,,,,,
[x],next.www.tddsprogram.com,69.25.174.190,"dc2gridmaster.toyota.com, domainnameadmin.toyota.com",NOERROR,,,,,,,
[x],next.www.toyotacertificados.com,69.25.174.190,"gridmaster.nss.toyota.com, domainnameadmin.toyota.com",NOERROR,,,,,,,
[x],next.www.toyotacertified.com,69.25.174.190,"gridmaster.nss.toyota.com, domainnameadmin.toyota.com",NOERROR,,,,,,,
[x],origin.legacy.staging.touch.toyotacertified.com,63.87.74.88,"gridmaster.nss.toyota.com, domainnameadmin.toyota.com",NOERROR,,,,,,,
[x],origin.legacy.staging.toyotacertified.com,63.87.74.88,"gridmaster.nss.toyota.com, domainnameadmin.toyota.com",NOERROR,,,,,,,
[x],origin.staging.tddsprogram.com,63.87.74.88,"dc2gridmaster.toyota.com, domainnameadmin.toyota.com",NOERROR,,,,,,,
[x],origin.staging.touch.toyotacertificados.com,63.87.74.88,"gridmaster.nss.toyota.com, domainnameadmin.toyota.com",NOERROR,,,,,,,
[x],origin.staging.toyotacertificados.com,63.87.74.88,"gridmaster.nss.toyota.com, domainnameadmin.toyota.com",NOERROR,,,,,,,
[x],origin.staging.trdusa.com,63.87.74.88,"dc2gridmaster.toyota.com, domainnameadmin.toyota.com",NOERROR,,,,,,,
[x],origin.touch.toyotacertificados.com,69.25.174.190,"gridmaster.nss.toyota.com, domainnameadmin.toyota.com",NOERROR,,,,,,,
[x],origin.touch.toyotacertified.com,69.25.174.190,"gridmaster.nss.toyota.com, domainnameadmin.toyota.com",NOERROR,,,,,,,
[x],origin.www.toyotacertificados.com,,"gridmaster.nss.toyota.com, domainnameadmin.toyota.com",NOERROR,,,,,,,
[x],origin.www.trdusa.com,69.25.174.190,"dc2gridmaster.toyota.com, domainnameadmin.toyota.com",NOERROR,,,,,,,
[x],staging.touch.toyotacertificados.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,d2gg2hpg8fkxpk.cloudfront.net,,,,,,
[x],staging.touch.toyotacertified.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,d2ynud69odwj08.cloudfront.net,,,,,,
[x],staging.toyotacertificados.com,"52.84.93.103, 52.84.93.25, 52.84.93.95, 52.84.93.92","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,d1o3rxdby7dvmm.cloudfront.net,True,cloudfront,"ns-1043.awsdns-02.org, ns-1896.awsdns-45.co.uk, ns-257.awsdns-32.com, ns-641.awsdns-16.net","2600:9000:21f3:d000:1b:8c0:1780:93a1, 2600:9000:21f3:5c00:1b:8c0:1780:93a1, 2600:9000:21f3:ac00:1b:8c0:1780:93a1, 2600:9000:21f3:1c00:1b:8c0:1780:93a1, 2600:9000:21f3:7000:1b:8c0:1780:93a1, 2600:9000:21f3:6000:1b:8c0:1780:93a1, 2600:9000:21f3:e400:1b:8c0:1780:93a1, 2600:9000:21f3:7e00:1b:8c0:1780:93a1",,
[x],tddsprogram.com,104.42.154.105,"dc2gridmaster.toyota.com, domainnameadmin.toyota.com",NOERROR,,True,azure,"ns1.toyota.com, ns2.toyota.com, ns02.toyota.com, ns01.toyota.com",,,toyota-enrollment-prod.azurewebsites.net
[x],touch.toyotacertificados.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,d2i1hzwqda98q1.cloudfront.net,,,,,,
[x],touch.toyotacertified.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,d1obpnypigc7cv.cloudfront.net,,,,,,
[x],toyotacertificados.com,"45.154.183.183, 156.154.64.102","gridmaster.nss.toyota.com, domainnameadmin.toyota.com",NOERROR,,,,"pdns102.ultradns.com, pdns102.ultradns.net, pdns102.ultradns.org, pdns102.ultradns.biz",2001:502:f3ff::8a,"mail20, mail10","facebook-domain-verification=xndf163n4jpz8mekzseyu8gzvl2p4m, v=spf1 ip4:63.146.199.14 ip4:63.87.74.200 ip4:69.25.174.16 ip4:69.25.174.17 a mx -all"
[x],toyotacertified.com,45.154.183.183,"gridmaster.nss.toyota.com, domainnameadmin.toyota.com",NOERROR,,,,"pdns102.ultradns.net, pdns102.ultradns.org, pdns102.ultradns.biz, pdns102.ultradns.com",,"mail20.toyota.com, mail10.toyota.com, mail40.toyota.com, mail30.toyota.com","v=spf1 ip4:63.146.199.14 ip4:63.87.74.200 ip4:69.25.174.16 ip4:69.25.174.17 a mx -all, facebook-domain-verification=0phu57isadrnddjpfnofwv3lux1k5c"
[x],trdusa.com,45.154.183.183,"dc2gridmaster.toyota.com, domainnameadmin.toyota.com",NOERROR,,,,"ns02.toyota.com, ns1.toyota.com, ns2.toyota.com, ns01.toyota.com",,,
[x],uat.toyotamobility.com,"13.32.121.16, 13.32.121.47, 13.32.121.128, 13.32.121.90","ns-1899.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,"ns-1899.awsdns-45.co.uk, ns-317.awsdns-39.com, ns-682.awsdns-21.net, ns-1453.awsdns-53.org",,,
[x],www.tddsprogram.com,104.42.154.105,"ns1-05.azure-dns.com, msnhst.microsoft.com",NOERROR,"toyota-enrollment-prod.azurewebsites.net, waws-prod-bay-027.sip.azurewebsites.windows.net",True,azure,,,,
[x],www.toyotacertificados.com,"13.32.121.17, 13.32.121.4, 13.32.121.30, 13.32.121.46","ns-1394.awsdns-46.org, awsdns-hostmaster.amazon.com",NOERROR,d17s297ixuvtgl.cloudfront.net,True,cloudfront,"ns-1394.awsdns-46.org, ns-160.awsdns-20.com, ns-1730.awsdns-24.co.uk, ns-731.awsdns-27.net","2600:9000:2394:600:d:e6a2:3940:93a1, 2600:9000:2394:5600:d:e6a2:3940:93a1, 2600:9000:2394:ca00:d:e6a2:3940:93a1, 2600:9000:2394:4000:d:e6a2:3940:93a1, 2600:9000:2394:9e00:d:e6a2:3940:93a1, 2600:9000:2394:ac00:d:e6a2:3940:93a1, 2600:9000:2394:8600:d:e6a2:3940:93a1, 2600:9000:2394:ae00:d:e6a2:3940:93a1",,
[x],www.toyotacertified.com,"143.204.68.37, 143.204.68.11, 143.204.68.74, 143.204.68.21","ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,d1bohw3zzei41q.cloudfront.net,True,cloudfront,"ns-1337.awsdns-39.org, ns-518.awsdns-00.net, ns-204.awsdns-25.com, ns-2014.awsdns-59.co.uk","2600:9000:225d:ca00:1e:583:bf80:93a1, 2600:9000:225d:8800:1e:583:bf80:93a1, 2600:9000:225d:1a00:1e:583:bf80:93a1, 2600:9000:225d:c000:1e:583:bf80:93a1, 2600:9000:225d:a000:1e:583:bf80:93a1, 2600:9000:225d:7600:1e:583:bf80:93a1, 2600:9000:225d:aa00:1e:583:bf80:93a1, 2600:9000:225d:ec00:1e:583:bf80:93a1",,
[x],www.toyotamobility.com,"108.156.184.27, 108.156.184.122, 108.156.184.93, 108.156.184.89","ns-900.awsdns-48.net, awsdns-hostmaster.amazon.com",NOERROR,toyotamobility.com,True,cloudfront,,,,
[x],www.uat.toyotamobility.com,"108.156.184.54, 108.156.184.84, 108.156.184.93, 108.156.184.109","ns-1899.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,uat.toyotamobility.com,True,cloudfront,"ns-1453.awsdns-53.org, ns-317.awsdns-39.com, ns-682.awsdns-21.net, ns-1899.awsdns-45.co.uk",,,
