new,host,a,cname,soa,status_code,cdn,cdn-name,mx,ns,txt,aaaa,has_internal_ips,internal_ips
[x],stage.x-api.mastercard.com,"104.126.37.131, 104.126.37.170","stage.x-api.mastercard.com.edgekey.net, e29623.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,"2a02:26f0:1700:11::b856:678f, 2a02:26f0:1700:11::b856:679c",,
[x],stage01.priceless.com,"52.3.113.161, 3.229.128.146","stage01.ifonly.com, alb-public-web-stage01-us-east-1-1909075799.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],stage02.priceless.com,,"stage02.ifonly.com, alb-public-web-stage02-us-east-1-1555086548.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],stage3.api.xbs.mastercard.com,20.204.139.22,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],staging.artistaccelerator.mastercard.com,40.90.65.32,"mcai-endpoint-staging-g0adc6bzg8c8efdx.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0016.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0016.t-0009.fb-t-msedge.net, global-entry-fb-afdthirdparty-unicast-first.trafficmanager.net, muc30r3a.msedge.net","ns1.msedge.net, msnhst.microsoft.com",NOERROR,,,,,,2620:1ec:27::cafe:2093,,
[x],startpath.mastercard.com,2.23.135.121,"startpath.mastercard.com.edgekey.net, e5188.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],stg.mastercardbiz.com,50.57.202.244,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],stories.mastercard.com,104.239.236.220,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],strive.mastercard.com,23.45.239.49,"strive.mastercard.com.edgekey.net, e5188.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],submit.priceless.com,216.119.209.64,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],summergame.priceless.com,216.119.216.188,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],surveytool.mastercard.com,216.119.216.118,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
[x],sustainability.mastercard.com,"151.101.2.51, 151.101.66.51, 151.101.130.51, 151.101.194.51","view.ceros.com, pin.ceros.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,
[x],swedbank.priceless.com,134.213.41.81,,"dns1.mastercard.com, hostmaster.mastercard.com",NOERROR,,,,,,,,
