host,a,cname,mx,soa,status_code,cdn,cdn-name,ns,has_internal_ips,internal_ips,txt,caa,aaaa
activeai.uberinternal.com,104.36.192.148,"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,"edns126.ultradns.com, edns126.ultradns.net, edns126.ultradns.biz, edns126.ultradns.org",,,,,
airwatch-staging.uberinternal.com,104.36.192.148,"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,,,,,
adtech-web-tools.uberinternal.com,104.36.192.148,"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,,,,,
arniestaging.uberinternal.com,104.36.192.148,"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,,,,,
adtech-web-tools-staging.uberinternal.com,104.36.192.148,"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,,,,,
admin-staging.uberinternal.com,104.36.192.148,"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com, dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
announcer.uberinternal.com,104.36.192.148,"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,,,,,
artifactory.uberinternal.com,104.36.192.148,"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,,,,,
accounts-test.uberinternal.com,104.36.192.148,"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,,,,,
adtech-web-tools-test.uberinternal.com,104.36.192.148,"frontends-dc.uber.com, geo-frontends-all-dca1.uber.com, cn-dca.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,,,,,
accounts.uberinternal.com,104.36.192.148,"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,,,,,,,,
