host,a,soa,status_code,axfr,cname,mx,cdn,cdn-name,has_internal_ips,internal_ips,txt,ns,caa,aaaa
bastion04-dca8.uber.com,104.36.195.189,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion04-dca8.uber.com'},,,,,,,,,,
bastion02-phx2.uber.com,104.36.196.132,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion02-phx2.uber.com'},,,,,,,,,,
ae.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'ae.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
auth-staging-dns.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'auth-staging-dns.uber.com'},"frontends-cloud.uber.com, cn-ecg.cfe.uber.com",mx.sendgrid.net,True,google,,,,,,
admin.vscode.devpod-waw.uberinternal.com,34.149.196.191,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'admin.vscode.devpod-waw.uberinternal.com'},,,True,google,,,,,,
bastion-phx2.uber.com,"104.36.196.133, 104.36.196.132, 104.36.196.134","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion-phx2.uber.com'},,,,,,,,,,
access.vscode.devpod-waw.uberinternal.com,34.149.196.191,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'access.vscode.devpod-waw.uberinternal.com'},,,True,google,,,,,,
bastion-oob01-dca8.uber.com,76.74.9.114,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion-oob01-dca8.uber.com'},,,,,,,,,,
auth-test.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'auth-test.uber.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
bastion04-phx4.uber.com,104.36.197.233,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion04-phx4.uber.com'},,,,,,,,,,
alpha-cn-dca1.cfe.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'alpha-cn-dca1.cfe.uber.com'},cn-ecg.cfe.uber.com,mx.sendgrid.net,True,google,,,,,,
biz-beta.uber.com,104.36.192.148,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'biz-beta.uber.com'},"frontends-primary.uber.com, cn-dca.uber.com",mx.sendgrid.net,,,,,,,,
bastion01-phx2.uber.com,104.36.196.131,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion01-phx2.uber.com'},,,,,,,,,,
bastion-phx.prod.uber.com,"104.36.197.131, 104.36.197.128, 104.36.197.130, 104.36.197.129, 104.36.197.233, 104.36.197.232, 104.36.197.230, 104.36.197.231, 104.36.196.133, 104.36.196.134, 104.36.196.132","edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'bastion-phx.prod.uber.com'},bastion-phx.uber.com,,,,,,,,,
be-geo.cfe.uber.com,34.98.127.226,"edns126.ultradns.com, serviceproviders.uber.com",NOERROR,{'host': 'be-geo.cfe.uber.com'},cn-ecg.cfe.uber.com,mx.sendgrid.net,True,google,,,,,,
