new,host,a,soa,status_code,cname,aaaa,cdn,cdn-name,txt,ns,mx,has_internal_ips,internal_ips,caa
[x],chicago.hilton.com,,"dns1.p08.nsone.net, domain_tech.hilton.com",NOERROR,,,,,,,,,,
[x],chicagomagnificentmile.hilton.com,167.187.200.18,"dns1.p08.nsone.net, domain_tech.hilton.com",NOERROR,,,,,,,,,,
[x],chicagonorthbrook.hilton.com,167.187.200.18,"dns1.p08.nsone.net, domain_tech.hilton.com",NOERROR,,,,,,,,,,
[x],china.hilton.com,167.187.200.18,"dns1.p08.nsone.net, domain_tech.hilton.com",NOERROR,"www.china.hilton.com, rdf-nonsecure.hilton.com",,,,,,,,,
[x],chrisbrown.us-3.hiltonbusinessonline.com,104.130.216.107,"dns1.stabletransit.com, d3.server.admin.hilton.com",NOERROR,us-3.hiltonbusinessonline.com,,,,,,,,,
[x],ci-alpha-auth-antiviruspre.us-3.hiltonbusinessonline.com,104.130.216.107,"dns1.stabletransit.com, d3.server.admin.hilton.com",NOERROR,us-3.hiltonbusinessonline.com,,,,,,,,,
[x],cincinnati.hilton.com,167.187.200.18,"dns1.p08.nsone.net, domain_tech.hilton.com",NOERROR,,,,,,,,,,
[x],cincinnatinetherlandplaza.hilton.com,167.187.200.18,"dns1.p08.nsone.net, domain_tech.hilton.com",NOERROR,,,,,,,,,,
[x],claritystsmlync.us-3.hiltonbusinessonline.com,104.130.216.107,"dns1.stabletransit.com, d3.server.admin.hilton.com",NOERROR,us-3.hiltonbusinessonline.com,,,,,,,,,
[x],cloud-paymentsstorage.us-3.hiltonbusinessonline.com,104.130.216.107,"dns1.stabletransit.com, d3.server.admin.hilton.com",NOERROR,us-3.hiltonbusinessonline.com,,,,,,,,,
[x],cloudhub.us-3.hiltonbusinessonline.com,104.130.216.107,"dns1.stabletransit.com, d3.server.admin.hilton.com",NOERROR,us-3.hiltonbusinessonline.com,,,,,,,,,
[x],cloudpak.us-3.hiltonbusinessonline.com,104.130.216.107,"dns1.stabletransit.com, d3.server.admin.hilton.com",NOERROR,us-3.hiltonbusinessonline.com,,,,,,,,,
[x],clstr-dev.hiltonhotels.hiltonmanage.com,162.242.170.33,"ns.rackspace.com, liam.kerr.hilton.com",NOERROR,,,,,,,,,,
[x],cms-accountssluploadspanel.us-3.hiltonbusinessonline.com,104.130.216.107,"dns1.stabletransit.com, d3.server.admin.hilton.com",NOERROR,us-3.hiltonbusinessonline.com,,,,,,,,,
[x],cms-data-archive-vpn.us-3.hiltonbusinessonline.com,104.130.216.107,"dns1.stabletransit.com, d3.server.admin.hilton.com",NOERROR,us-3.hiltonbusinessonline.com,,,,,,,,,
[x],cms.hilton.com,"10.96.15.236, 10.96.17.129","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,internal-nhcxxcmsxuepr-elb00-1932479039.us-east-1.elb.amazonaws.com,,,,,,,True,"10.96.15.236, 10.96.17.129",
[x],cologne.hilton.com,167.187.200.18,"dns1.p08.nsone.net, domain_tech.hilton.com",NOERROR,,,,,,,,,,
