new,host,a,soa,status_code,cname,ns,cdn,cdn-name,has_internal_ips,internal_ips,aaaa,caa,mx,txt
[x],700goodreasons-uat.cvs.com,,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],accesscvs.cvshealth.com,204.99.17.178,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,,
[x],actions-marketplace.cvshealth.com,,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com, dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,cvs-enterprise-it.github.io,"dns1.p05.nsone.net, dns2.p05.nsone.net, dns3.p05.nsone.net, dns4.p05.nsone.net, ns-1339.awsdns-39.org, ns-1622.awsdns-10.co.uk, ns-393.awsdns-49.com, ns-692.awsdns-22.net",,,,,"2606:50c0:8001::153, 2606:50c0:8003::153, 2606:50c0:8002::153, 2606:50c0:8000::153",,,
[x],akcdn-cdcpt-mobile.cvs.com,12.130.54.193,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],akcdn-cdcpt-services.cvs.com,12.130.54.193,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],akcdn-mmc.cvs.com,12.46.112.200,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],akcdn-www-pt2.cvs.com,12.46.119.222,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],akcdn-www-uat1.cvs.com,12.46.119.166,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],akcdn-www-uat2.cvs.com,12.46.119.169,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],akcdn-www-uat3.cvs.com,12.46.119.181,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],akcdn-www-uat4.cvs.com,12.46.119.184,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],akcdn-www.cvs.com,204.14.128.20,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],akcdn-wwwmc-eduat1.cvs.com,12.46.119.168,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],akcdn-wwwmc-it1.cvs.com,12.46.119.161,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],akcdn-wwwmc-it2.cvs.com,,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],akcdn-wwwmc-qa2.cvs.com,12.46.119.174,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],akcdn-wwwmc-qa3.cvs.com,12.46.119.192,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],akcdn-wwwmc-reg2.cvs.com,12.46.119.221,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],akcdn-wwwmc-uat3.cvs.com,12.46.119.183,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,,
[x],alerts.cvs.com,13.111.18.27,"a1-84.akam.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,reply.s10.exacttarget.com,v=spf1 include:%{d}.4e.spf-protect.agari.com exists:%{i}._i.%{d}._d.espf.agari.com ~all
[x],alerts.cvshealth.com,13.111.18.27,"eazshdcdnsextdns.cvshealth.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,reply.s10.exacttarget.com,v=spf1 include:%{d}.4e.spf-protect.agari.com exists:%{i}._i.%{d}._d.espf.agari.com ~all
[x],analytics.cvshealth.com,45.223.19.220,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,on9rhxm.impervadns.net,,True,incapsula,,,,,,
[x],analyticsportaltest.cvshealth.com,45.223.19.220,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,3us5mm8.impervadns.net,,True,incapsula,,,,,,
[x],api-mtls.cvshealth.com,35.196.184.117,"ns-1671.awsdns-16.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"cvs-health-prod-prod.apigee.net, cvs-health-prod.dn.apigee.net",,True,google,,,,,,
[x],api-open-test.health-cloud.cvshealth.com,35.174.70.57,"cae-f5-dns-nonprod-1.aetna.com.xnp.aws.aetna.com, hostmaster.cae-f5-dns-nonprod-1.aetna.com.xnp.aws.aetna.com",NOERROR,"api-open-test.health-cloud.aetna.com, api-open-test.health-cloud.xnp.aws.aetna.com",,,,,,,,,
[x],api-open.health-cloud.cvshealth.com,"3.227.185.164, 54.84.177.107","clwpedns1.aetna.com, hostmaster.clwpedns1.aetna.com",NOERROR,"api-open.health-cloud.aetna.com, api-open.health-cloud.xp.aws.aetna.com","CLWPEDNS2.aetna.com, CLWPEDNS1.aetna.com",,,,,,,,
