input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_wildcard_certificate,tls_mismatched
assets-app-cdn.moneybird.com,,403,243,AS16509,AMAZON-02,US,52.222.220.0/23,,assets-app-cdn.moneybird.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2023-09-24T23:59:59Z,CN=assets-app-cdn.moneybird.com,assets-app-cdn.moneybird.com,assets-app-cdn.moneybird.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0c71cd3f691103c4b81692b03b3084,28f4206d4bd010001c3146af891f691290b631b7b4f3d7c025663a0184189d5a,ctls,assets-app-cdn.moneybird.com,cloudfront,443,https://assets-app-cdn.moneybird.com:443,https,AmazonS3,application/xml,GET,52.222.214.87,/,413748672,52.222.214.23,Amazon Web Services,2,False,True,,,
assets-app.moneybird.com,404 Not Found,404,548,AS16509,AS16509,Unknown,3.64.0.0/12,,assets-app.moneybird.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-24T23:59:59Z,CN=moneybird.com,moneybird.com,assets-app.moneybird.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2e56bfae3bd4e37cd6242add31675d8f,5993341c5f1b7324a777829daf85e3a3fd8186f2db9c7514485b17422bfaee07,ctls,assets-app.moneybird.com,,443,https://assets-app.moneybird.com:443,https,nginx,text/html,GET,3.67.56.80,/,431142246,2a05:d014:779:4b00:d868:a94b:3ed0:f0a5,Nginx,14,False,,,,
assets-rs-cdn.moneybird.com,Unhappy bird (404),404,4666,AS0,Not routed,None,13.32.100.0/23,assets-rs-cdn.moneybird.com,assets-rs-cdn.moneybird.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-09-24T23:59:59Z,CN=assets-rs-cdn.moneybird.com,assets-rs-cdn.moneybird.com,assets-rs-cdn.moneybird.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,50e602a3e588178b7b31af5c7e532d01,0cd595639feb79793b0887fb53bf66dcac0c105c54a3d938edaf809dba307643,ctls,assets-rs-cdn.moneybird.com,cloudfront,443,https://assets-rs-cdn.moneybird.com:443,https,nginx,text/html,GET,13.32.99.104,/,-1741309500,13.32.99.34,Nginx,142,False,True,,,
developer.moneybird.com,Moneybird API Documentation,200,27663,AS16509,AMAZON-02,US,18.66.116.0/23,,developer.moneybird.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2023-11-23T23:59:59Z,CN=developer.moneybird.com,developer.moneybird.com,developer.moneybird.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,10940fa638d028e67b94c005e5f438b8,cff2b2c776a7a0a9fe7aa5e813a95a3429a8679c651921f8169b15e50b5bdce7,ctls,developer.moneybird.com,cloudfront,443,https://developer.moneybird.com:443,https,AmazonS3,text/html,GET,18.66.112.124,/,-341458984,2600:9000:223f:ee00:12:230e:3c0:93a1,Font Awesome,742,False,True,,,
email.deliver.moneybird.com,,404,19,AS16509,AMAZON-02,US,52.222.236.0/23,,email.deliver.moneybird.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2024-01-24T23:59:59Z,CN=email.mail.moneybird.com,email.mail.moneybird.com,email.deliver.moneybird.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c99acc318fcaf38d931986f8eb18cfb5,c578b578a17cf2105658b3534dd1bab92a3180b45ac90aa09a2680b7f354b4d6,ctls,email.deliver.moneybird.com,cloudfront,80,http://email.deliver.moneybird.com:80,http,,text/plain,GET,52.222.236.66,/,-138391155,52.222.236.124,Amazon Web Services,2,False,True,https://email.deliver.moneybird.com/,,
email.mail.moneybird.com,,404,19,AS16509,AMAZON-02,US,52.222.236.0/23,,email.mail.moneybird.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2024-01-24T23:59:59Z,CN=email.mail.moneybird.com,email.mail.moneybird.com,email.deliver.moneybird.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c99acc318fcaf38d931986f8eb18cfb5,c578b578a17cf2105658b3534dd1bab92a3180b45ac90aa09a2680b7f354b4d6,ctls,email.mail.moneybird.com,cloudfront,443,https://email.mail.moneybird.com:443,https,,text/plain,GET,52.222.236.66,/,-138391155,52.222.236.58,Amazon Web Services,2,False,True,,,
euc-widget.freshworks.com,403 Forbidden,403,303,AS16509,AMAZON-02,US,18.66.102.0/24,,euc-widget.freshworks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-08-24T23:59:59Z,CN=*.freshworks.com,*.freshworks.com,*.freshworks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b6c83c29d682ee5602ff4d17b5ed9405,b918a86d96cac20cb1a0de4779454e68811f8b94c48929ab5ad822c835d67429,ctls,euc-widget.freshworks.com,cloudfront,443,https://euc-widget.freshworks.com:443,https,AmazonS3,text/html,GET,18.66.97.126,/,704645983,18.66.97.111,Amazon Web Services,14,False,True,,True,
fwdkim1.moneybird.com,ERROR: The request could not be satisfied,403,915,AS16509,AS16509,Unknown,13.225.96.0/21,,,,,,,,,,,,,,,,,,,cloudfront,80,http://fwdkim1.moneybird.com:80,http,CloudFront,text/html,GET,13.225.78.38,/,352018385,13.225.78.58,Amazon Web Services,20,False,True,,,
gtm.moneybird.com,,400,,AS15169,GOOGLE,US,216.239.56.0/22,,gtm.moneybird.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T13:03:55Z,2023-07-11T13:52:46Z,CN=gtm.moneybird.com,gtm.moneybird.com,gtm.moneybird.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,f123e0c2aa4f3144554bc6eb8ba6be51,4fa3249caf42ba40a370d3770b922e22e1875802fefef977728971247678acbb,ctls,gtm.moneybird.com,,443,https://gtm.moneybird.com:443,https,,,GET,216.239.38.21,/,-1840324437,2001:4860:4802:38::15,Google Cloud CDN,1,False,,,,
moneybird.freshdesk.com,Ondersteuning : moneybird,200,37141,AS16509,AS16509,Unknown,18.200.0.0/14,,moneybird.freshdesk.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2024-03-13T23:59:59Z,CN=*.freshdesk.com,*.freshdesk.com,*.freshdesk.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e41bccac5c66032320173fd65d6f2221,19221acbd93134fb33c9d58755c655ef543c1bfc6726bbc6317040d7d19ffb60,ctls,moneybird.freshdesk.com,,443,https://moneybird.freshdesk.com:443,https,fwe,text/html,GET,18.195.84.42,/,-1611011004,18.185.227.80,Ruby on Rails,1143,False,,https://moneybird.freshdesk.com/support/home,True,
