new,host,a,cname,mx,soa,ns,txt,status_code,aaaa
,000.delight.im,46.101.104.129,delight.im,"in1-smtp.messagingengine.com, in2-smtp.messagingengine.com","addilyn.ns.cloudflare.com, dns.cloudflare.com","addilyn.ns.cloudflare.com, brad.ns.cloudflare.com",v=spf1 +include:spf.messagingengine.com -all,NOERROR,
,briefe.io,"46.101.104.129, 108.162.193.105, 172.64.33.105, 173.245.59.105, 108.162.194.217, 162.159.38.217, 172.64.34.217",,"in2-smtp.messagingengine.com, in1-smtp.messagingengine.com","addilyn.ns.cloudflare.com, dns.cloudflare.com","addilyn.ns.cloudflare.com, brad.ns.cloudflare.com","v=spf1 +include:spf.messagingengine.com -all, google-site-verification=XR6qSyn4xko0QGXDHhprhx8bmfr-kzJvkSzuC3n-T6g",NOERROR,"2606:4700:58::adf5:3b69, 2803:f800:50::6ca2:c169, 2a06:98c1:50::ac40:2169, 2606:4700:50::a29f:26d9, 2803:f800:50::6ca2:c2d9, 2a06:98c1:50::ac40:22d9"
,gifts.delight.im,176.34.148.54,"requests-vpbfsa2.frb.io, requests-vpbfsa2.eu2.frbit.net",,"ns-1551.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,
,go.delight.im,176.34.148.54,"requests-vpbfsa2.frb.io, requests-vpbfsa2.eu2.frbit.net",,"ns-1551.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,
,sites.delight.im,,,"in1-smtp.messagingengine.com, in2-smtp.messagingengine.com","addilyn.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,
,www.briefe.io,46.101.104.129,briefe.io,"in1-smtp.messagingengine.com, in2-smtp.messagingengine.com","addilyn.ns.cloudflare.com, dns.cloudflare.com","addilyn.ns.cloudflare.com, brad.ns.cloudflare.com","v=spf1 +include:spf.messagingengine.com -all, google-site-verification=XR6qSyn4xko0QGXDHhprhx8bmfr-kzJvkSzuC3n-T6g",NOERROR,
,www.delight.im,46.101.104.129,delight.im,"in2-smtp.messagingengine.com, in1-smtp.messagingengine.com","addilyn.ns.cloudflare.com, dns.cloudflare.com","brad.ns.cloudflare.com, addilyn.ns.cloudflare.com",v=spf1 +include:spf.messagingengine.com -all,NOERROR,
,www.moviecontentfilter.com,46.101.104.129,moviecontentfilter.com,"in1-smtp.messagingengine.com, in2-smtp.messagingengine.com","addilyn.ns.cloudflare.com, dns.cloudflare.com","addilyn.ns.cloudflare.com, brad.ns.cloudflare.com","google-site-verification=GZeORB88CX986Oo6HG5mngKPcbbMe693WKTkzgrY2yc, v=spf1 +include:spf.messagingengine.com -all",NOERROR,
