new,host,a,soa,status_code,cname,cdn,cdn-name,aaaa,ns,has_internal_ips,internal_ips,txt,mx,caa
,vmware.lenovo.com,23.1.108.28,"n0d.akamaiedge.net, hostmaster.akamai.com",NOERROR,"vmware.lenovo.com.edgekey.net, e7741.d.akamaiedge.net",,,,,,,,,
,voc.lenovo.com,146.196.114.55,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,voice.cnno1.uds.lenovo.com,,,NOERROR,,,,,,,,,,
,voice.euwe1.uds.lenovo.com,,"ns-1423.awsdns-49.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,voice.lenovo.com,120.133.57.36,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,voice.naea1.uds.lenovo.com,"52.203.4.38, 52.201.96.189, 54.236.146.123","ns-1423.awsdns-49.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1423.awsdns-49.org, ns-2016.awsdns-60.co.uk, ns-237.awsdns-29.com, ns-909.awsdns-49.net",,,,,
,voice.uds.lenovo.com,,"ns-1423.awsdns-49.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,vorakjd.lenovo.com.cn,114.67.239.151,"a24-65.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,vpn-ems.lenovo.com.cn,120.133.57.70,"ns1.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,vpn.ems.lenovomm.com,,,,,,,,,
,vpn227.eu.lenovo.com,94.186.219.227,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,vpn228.eu.lenovo.com,94.186.219.228,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,vpn229.eu.lenovo.com,94.186.219.229,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,vpn230.eu.lenovo.com,94.186.219.230,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,vpn231.eu.lenovo.com,94.186.219.231,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,vpn232.eu.lenovo.com,94.186.219.232,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,vpn234.eu.lenovo.com,94.186.219.234,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,vpn235.eu.lenovo.com,94.186.219.235,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,vpn236.eu.lenovo.com,94.186.219.236,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,vpn237.eu.lenovo.com,94.186.219.237,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,vpntools.lenovo.com,"3.211.73.66, 3.225.147.57","ns-59.awsdns-07.com, awsdns-hostmaster.amazon.com",NOERROR,vpc-vpntools.us-east-1.elasticbeanstalk.com,,,,,,,,,
,vs.lenovo.com.cn,43.255.226.57,"a24-65.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,waf-us.router.lenovo.com,"23.23.36.196, 3.222.17.170, 3.218.70.242","ns-1083.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,wan.lenovo.com.cn,,"a24-65.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,wap.motorola.com,211.155.27.144,"ns1.motorolamobility.com, internic.motorola.com",NOERROR,,,,,,,,,,
,wd.lenovo.com,,"ns1-02.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,"v=spf1 include:worldatamail.com -all, dib0mo4unoi28upqbdu3lb83hv",,
,we.motorola.com,179.191.182.65,"ns1.azionedge.net, admin.azion.com",NOERROR,"we.motorola.com.cdn.vtex.com, g0mte586r2.map.azionedge.net",,,,,,,,,
,weather.lenovo.com.cn,123.56.22.45,"vip3.alidns.com, hostmaster.hichina.com",NOERROR,weather.mbgcdn.lenovo.com.cn,,,,,,,,,
,webform.wd.lenovo.com,137.117.90.63,"ns1-02.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,True,azure,,,,,,,
