new,host,a,soa,status_code,cname,aaaa,cdn,cdn-name,caa,txt,mx,ns,has_internal_ips,internal_ips
,iot-proxy-gen2-staging.lime.bike,"44.237.96.247, 52.38.207.24, 52.25.102.232","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,israeliamerican-19513447.hs-sites.com,"104.16.133.186, 104.16.132.186, 104.16.131.186, 104.16.134.186, 104.16.135.186","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700::6810:86ba, 2606:4700::6810:84ba, 2606:4700::6810:87ba, 2606:4700::6810:83ba, 2606:4700::6810:85ba",True,cloudflare,,,,,,
,juicer.li.me,"15.197.142.173, 3.33.152.147","ns45.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,"mxa.mailgun.org, mxb.mailgun.org",,,
,juicer.lime.bike,"104.18.12.237, 104.18.13.237","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,,
,li.me,"3.33.247.24, 15.197.198.30","ns45.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,"stripe-verification=acce39cb4a829d156d5aa57015d97edce965ac746003e1796aead028353a0e43, google-site-verification=JrpED4DnLWIYbUmf_sQ485YKsB0t8rI_AvFk8YwY19A, DBE6D07EE4, google-site-verification=54tlf8wp0vCMLX7mxcGHbVjcBJVpBuymW3Bdd7Bw3Pg, atlassian-domain-verification=UhlB3UVjJpuBOmJ/Z0zrEGZBv8XfWTN8v2bFcgoLYgNa9gYhwYlFZzuY/G5Tnr9j, rm_verify=ffeb06a00b, atlassian-domain-verification=AY/fyfUHW5+XNgyZIUXDWvGP52ZYOkyGoq+9nAGM1NRcOfHVvTbQprTcil/iRByc, apple-domain-verification=qDAkPA73kdO5Nyta, google-site-verification=tgcWqAXU9CS_BNRcmDIfcFKiu2Xl7ByPsGbKcVpY4bg, google-site-verification=dCJY1fAW_T714zz2IN4JYfRHJ8vlBJ1FalBsdikL4qA, google-site-verification=tecTpZ8rC77O6XDUJ0VD2H1rAMY0di8p9hAwq5Ga3KM, sending_domain1013162=cdb707938e2db5199131c2069ab0794ac03b9b58995c2dacdb50d77d048ff6be, pardot1013162=2f2f97731db76a6ad8247661ffbd7d5a512cb1b5a67ab4e54fc426b6e6a4c156, v=spf1 include:_spf.google.com include:spf.dynect.net include:mail.zendesk.com include:mailgun.org include:826d94.workshop-spf.net include:_spf.psm.knowbe4.com include:aspmx.pardot.com include:amazonses.com ~all, google-site-verification=PoUWylfoPq9kNg-nbC4TJUsfMtAdhpSb2AlpbnUfGFc, onetrust-domain-verification=c3173e6ee4174767b23c636d60e83313, v=verifydomain MS=2961774, docusign=3530145b-f61d-40dc-b453-ff5248698568, asv=0d898dc558c47a17b55368079efc075d","aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com","ns45.domaincontrol.com, ns46.domaincontrol.com",,
,lime.bike,"104.18.13.237, 104.18.12.237","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,"_globalsign-domain-verification=B57sRQpmte4G4w-gavZbVNmmNsMxGp5kcL19UP2599, bugbounty: https://bugcrowd.com/lime, v=spf1 -all",,"burt.ns.cloudflare.com, ivy.ns.cloudflare.com",,
,limeinternal.com,,"burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,"ivy.ns.cloudflare.com, burt.ns.cloudflare.com",,
,lp.lime.bike,"143.204.215.47, 143.204.215.118, 143.204.215.75, 143.204.215.96","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2600:9000:214f:6a00:d:3539:5140:93a1, 2600:9000:214f:be00:d:3539:5140:93a1, 2600:9000:214f:e00:d:3539:5140:93a1, 2600:9000:214f:9600:d:3539:5140:93a1, 2600:9000:214f:3800:d:3539:5140:93a1, 2600:9000:214f:4200:d:3539:5140:93a1, 2600:9000:214f:7200:d:3539:5140:93a1, 2600:9000:214f:3400:d:3539:5140:93a1",True,cloudfront,,,,,,
,ml-flower-staging.limeinternal.com,"104.17.176.44, 104.18.219.95","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700::6811:b02c, 2606:4700::6812:db5f",True,cloudflare,,,,,,
,ml-flower.limeinternal.com,"104.17.176.44, 104.18.219.95","burt.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"2606:4700::6812:db5f, 2606:4700::6811:b02c",True,cloudflare,,,,,,
