new,host,a,cname,mx,soa,txt,caa,status_code,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,ns
[x],api-futures.coinstore.com,10.244.11.58,coinstore-inner-7baadc7bae00a360.elb.ap-northeast-1.amazonaws.com,,"ns-660.awsdns-18.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,True,10.244.11.58,
,api.coinstore.com,"104.18.18.83, 104.18.19.83",api.coinstore.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,"2606:4700::6812:1253, 2606:4700::6812:1353",True,cloudflare,,,
,autodiscover.coinstore.com,"52.98.152.168, 40.99.150.72, 40.99.150.56, 52.98.152.200","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",,,NOERROR,"2603:1026:c0d:82a::8, 2603:1026:c0d:803::8, 2603:1026:c0d:c31::8, 2603:1026:c0d:828::8",,,,,
,cms.coinstore.com,10.240.11.235,devops-internal-nlb-2f9b8249200afb5a.elb.ap-northeast-1.amazonaws.com,,"ns-660.awsdns-18.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,True,10.240.11.235,
,conf.coinstore.com,10.244.11.58,coinstore-inner-7baadc7bae00a360.elb.ap-northeast-1.amazonaws.com,,"ns-660.awsdns-18.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,True,10.244.11.58,
,futures-inner.coinstore.com,10.244.11.58,coinstore-inner-7baadc7bae00a360.elb.ap-northeast-1.amazonaws.com,,"ns-660.awsdns-18.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,True,10.244.11.58,
,futures.coinstore.com,"104.18.19.83, 104.18.18.83",futures.coinstore.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,"2606:4700::6812:1253, 2606:4700::6812:1353",True,cloudflare,,,
,h5.coinstore.com,"104.18.19.83, 104.18.18.83",h5.coinstore.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,"2606:4700::6812:1353, 2606:4700::6812:1253",True,cloudflare,,,
,imap.coinstore.com,47.246.146.57,"imap.mxhichina.com, imap.qiye.aliyun.com",,"ns1.alibabadns.com, hostmaster.alibabadns.com",,,NOERROR,,,,,,
,live.coinstore.com,"99.86.114.44, 99.86.114.21, 99.86.114.10, 99.86.114.35",d2i2lzdunzrjug.cloudfront.net,,"ns-923.awsdns-51.net, awsdns-hostmaster.amazon.com",,,NOERROR,"2600:9000:219c:5000:1e:a75f:e00:93a1, 2600:9000:219c:4a00:1e:a75f:e00:93a1, 2600:9000:219c:ea00:1e:a75f:e00:93a1, 2600:9000:219c:8800:1e:a75f:e00:93a1, 2600:9000:219c:7600:1e:a75f:e00:93a1, 2600:9000:219c:d000:1e:a75f:e00:93a1, 2600:9000:219c:6a00:1e:a75f:e00:93a1, 2600:9000:219c:4600:1e:a75f:e00:93a1",True,cloudfront,,,"ns-923.awsdns-51.net, ns-1265.awsdns-30.org, ns-1901.awsdns-45.co.uk, ns-266.awsdns-33.com"
,mail.coinstore.com,,"mail.mxhichina.com, qiye.aliyun.com, alimail-access-agent-ay29.aliyun.com, alimail-access-agent-ay29.aliyun.com.gds.alibabadns.com",,"gdsns1.alibabadns.com, none",,,NOERROR,,,,,,
,partner-cente.coinstore.com,"104.18.19.83, 104.18.18.83",partner-cente.coinstore.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,
,pop3.coinstore.com,47.246.146.57,"pop3.mxhichina.com, pop.qiye.aliyun.com",,"ns1.alibabadns.com, hostmaster.alibabadns.com",,,NOERROR,,,,,,
,smtp.coinstore.com,47.246.146.57,"smtp.mxhichina.com, smtp.qiye.aliyun.com",,"ns1.alibabadns.com, hostmaster.alibabadns.com",,,NOERROR,,,,,,
,support.coinstore.com,"54.144.236.172, 52.207.46.48, 52.72.100.244, 54.167.39.237, 18.235.72.125",fdus-lb73-d43.freshdesk.com,"mxa.freshdesk.com, mxb.freshdesk.com","ns-350.awsdns-43.com, awsdns-hostmaster.amazon.com",v=spf1 include:sendgrid.net include:mailgun.org ~all,"amazontrust.com, digicert.com, letsencrypt.org",NOERROR,,,,,,
,ws-futures.coinstore.com,"104.18.18.83, 104.18.19.83",ws-futures.coinstore.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,"2606:4700::6812:1353, 2606:4700::6812:1253",True,cloudflare,,,
,ws.coinstore.com,,ws.coinstore.com.cdn.cloudflare.net,,"ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,"2606:4700::6812:1353, 2606:4700::6812:1253",True,cloudflare,,,
