new,host,a,aaaa,cname,soa,ns,status_code,cdn,cdn-name,has_internal_ips,internal_ips,txt,caa,mx
[x],ablink.ae.linktr.ee,"52.9.114.249, 13.57.168.50, 52.52.9.112, 18.144.127.61",,thirdparty.bnc.lt,"ns-1925.awsdns-48.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,v=spf1 -all,"digicert.com, entrust.net, letsencrypt.org",
[x],ablink.ma.linktr.ee,"13.57.168.50, 18.144.127.61, 52.52.9.112, 52.9.114.249",,thirdparty.bnc.lt,"ns-1925.awsdns-48.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,v=spf1 -all,"digicert.com, entrust.net, letsencrypt.org",
[x],account.develop.linktr.ee,,,,"ns-1458.awsdns-54.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],album.link,76.76.21.21,,,"ns-531.awsdns-02.net, awsdns-hostmaster.amazon.com","ns-1250.awsdns-28.org, ns-1678.awsdns-17.co.uk, ns-484.awsdns-60.com, ns-531.awsdns-02.net",NOERROR,,,,,"facebook-domain-verification=ik0olzw8yrod91m5xjs5ngu85ffuft, google-site-verification=rzcPweoovWi7Fh7BN2lbLIgbRXGQo5lnDAQ904a1t7s",,
[x],analytics.linktr.ee,"52.85.242.43, 52.85.242.25, 52.85.242.109, 52.85.242.14",,,"ns-634.awsdns-15.net, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,
[x],analyticsapi.qa.linktr.ee,"54.200.150.185, 54.200.40.114, 35.82.13.13",,,"ns-538.awsdns-03.net, awsdns-hostmaster.amazon.com","ns-1100.awsdns-09.org, ns-1870.awsdns-41.co.uk, ns-277.awsdns-34.com, ns-538.awsdns-03.net",NOERROR,,,,,,,
[x],api.blog.production.linktr.ee,"141.193.213.20, 141.193.213.21",,cmuf4he02dub.wpeproxy.com,"darwin.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,
[x],api.linktr.ee,146.75.122.133,,d.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com","ns1.fastly.net, ns2.fastly.net, ns3.fastly.net, ns4.fastly.net",NOERROR,True,fastly,,,,,
[x],api.qa.linktr.ee,"151.101.130.133, 151.101.66.133, 151.101.194.133, 151.101.2.133",,d.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",,NOERROR,True,fastly,,,,,
[x],api.staging.odesli.co,146.75.122.132,,j.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",,NOERROR,True,fastly,,,,,
[x],api.staging.song.link,"151.101.2.132, 151.101.66.132, 151.101.130.132, 151.101.194.132",,j.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",,NOERROR,True,fastly,,,,,
[x],app-store-storybook.qa.linktr.ee,"18.66.147.19, 18.66.147.25, 18.66.147.98, 18.66.147.17","2600:9000:225e:8c00:1d:c31d:6c40:93a1, 2600:9000:225e:6200:1d:c31d:6c40:93a1, 2600:9000:225e:200:1d:c31d:6c40:93a1, 2600:9000:225e:a600:1d:c31d:6c40:93a1, 2600:9000:225e:6400:1d:c31d:6c40:93a1, 2600:9000:225e:c800:1d:c31d:6c40:93a1, 2600:9000:225e:5a00:1d:c31d:6c40:93a1, 2600:9000:225e:3a00:1d:c31d:6c40:93a1",d2znbin4vkmi7l.cloudfront.net,"ns-1463.awsdns-54.org, awsdns-hostmaster.amazon.com","ns-1463.awsdns-54.org, ns-551.awsdns-04.net, ns-1624.awsdns-11.co.uk, ns-165.awsdns-20.com",NOERROR,True,cloudfront,,,,,
[x],apt-telemetry.platform.linktr.ee,"54.68.73.78, 52.10.115.76",,,"ns-109.awsdns-13.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],arnie.linktr.ee,"18.66.147.67, 18.66.147.102, 18.66.147.56, 18.66.147.127",,,"ns-634.awsdns-15.net, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,
[x],artist.link,"76.76.21.21, 205.251.192.55, 205.251.195.62, 205.251.196.179, 205.251.199.251",,,"ns-830.awsdns-39.net, awsdns-hostmaster.amazon.com","ns-830.awsdns-39.net, ns-1203.awsdns-22.org, ns-2043.awsdns-63.co.uk, ns-55.awsdns-06.com",NOERROR,,,,,"google-site-verification=QjYR1T2-oHiVaEuxknLzU9ardW79mp1IuC3r1z1JlGs, facebook-domain-verification=p90tmeuaxawctae6848bpyj510j6n0",,
[x],assets.linktr.ee,,,_0067a513557568a07fde64ca72d5fef9.acm-validations.aws,"ns-22.awsdns-02.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,"6a7fccf9b95046319d2f0f7eec8c0647, 976afe1a8cc4434e8f4283046deab5c9",,
[x],assets.production.linktr.ee,"108.156.60.67, 108.156.60.24, 108.156.60.40, 108.156.60.66","2600:9000:2394:f000:14:6c09:8c80:93a1, 2600:9000:2394:7c00:14:6c09:8c80:93a1, 2600:9000:2394:8c00:14:6c09:8c80:93a1, 2600:9000:2394:6200:14:6c09:8c80:93a1, 2600:9000:2394:2400:14:6c09:8c80:93a1, 2600:9000:2394:3400:14:6c09:8c80:93a1, 2600:9000:2394:5000:14:6c09:8c80:93a1, 2600:9000:2394:d800:14:6c09:8c80:93a1",d1redxmslvp7oy.cloudfront.net,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com","ns-384.awsdns-48.com, ns-1013.awsdns-62.net, ns-1514.awsdns-61.org, ns-1850.awsdns-39.co.uk",NOERROR,True,cloudfront,,,,,
