input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,tls_wildcard_certificate,tls_mismatched,tls_subject_org_,csp_domains_,final_url
api.hnetstaging16.axes.traveloka.com,,404,303,cloudfront,443,https://api.hnetstaging16.axes.traveloka.com:443,https,AmazonS3,application/xml,GET,18.66.112.99,/,-1034849656,18.66.112.14,Amazon Web Services,2,False,True,api.hnetstaging16.axes.traveloka.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-21T00:00:00Z,2024-02-19T23:59:59Z,CN=axes.traveloka.com,axes.traveloka.com,*.axes.traveloka.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,20f5423c4760391f518a3be33b097095,7710ec77d966e64bc7a15a1bfda15524076ef0d89dd5881308262c440d85ea13,ctls,api.hnetstaging16.axes.traveloka.com,True,True,,,
api.mch.traveloka.com,,404,89,,443,https://api.mch.traveloka.com:443,https,Hi,application/json,GET,54.169.228.208,/,951859931,54.255.38.112,Amazon Web Services,1,False,,api.mch.traveloka.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2023-12-12T23:59:59Z,CN=*.mch.traveloka.com,*.mch.traveloka.com,*.mch.traveloka.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3bc010ad7cbfbe67ce2d7e0425fe460b,4f34b56622d63e5d35607a9a711c5391bba00e1dfea5727774685a451bd4811c,ctls,api.mch.traveloka.com,True,,,,
api.pay.traveloka.com,,400,178,,443,https://api.pay.traveloka.com:443,https,,application/json,GET,52.223.7.28,/,1840668860,35.71.168.70,Amazon Web Services,1,False,,api.pay.traveloka.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-18T00:00:00Z,2024-05-16T23:59:59Z,CN=*.pay.traveloka.com,*.pay.traveloka.com,*.pay.traveloka.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4781f16edbbfd691f4a984cfbdc3a683,b142b24d09ffc68ad653b1258adc6edcad564d6a6100c67fdf6cd2f6273e5d16,ctls,api.pay.traveloka.com,True,,,,
api.ppr.traveloka.com,HTTP Status 500 – Internal Server Error,500,451,,443,https://api.ppr.traveloka.com:443,https,,text/html,GET,18.139.136.238,/,1069738340,13.214.77.131,,1,False,,api.ppr.traveloka.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-11T00:00:00Z,2024-06-08T23:59:59Z,CN=*.ppr.traveloka.com,*.ppr.traveloka.com,*.ppr.traveloka.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,52f7cd33720eeedb60927601fff63fa2,895418fc7d5bdf9e6534b376f69a09dd32f1e4a03c6c5e1df63e7e73c4bdb4f5,ctls,api.ppr.traveloka.com,True,,,,
api.pps.traveloka.com,,404,,,443,https://api.pps.traveloka.com:443,https,awselb/2.0,text/plain,GET,18.138.33.240,/,-1840324437,18.138.143.58,,1,False,,api.pps.traveloka.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2024-05-10T23:59:59Z,CN=*.gtr.traveloka.com,*.gtr.traveloka.com,*.bus.traveloka.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,afcc850063a2f73045cc3af806b35d6f,8e8d10657a9c7964dbe13050640479276885b267517d001762bc8eca6ec8b953,ctls,api.pps.traveloka.com,True,True,,,
api.pts.traveloka.com,,400,178,,443,https://api.pts.traveloka.com:443,https,,application/json,GET,76.223.111.165,/,1840668860,13.248.243.22,,1,False,,api.pts.traveloka.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=*.pts.traveloka.com,*.pts.traveloka.com,*.pts.traveloka.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7476d0ae1976e68cec068cbeceb30a0f,2e6ee643fab26c3f30c50e4687fd7a85bd5bf43934f96e01344b1c22d1f1bc90,ctls,api.pts.traveloka.com,True,,,,
api.trn.traveloka.com,,404,,,443,https://api.trn.traveloka.com:443,https,awselb/2.0,text/plain,GET,54.255.122.7,/,-1840324437,18.138.143.58,,1,False,,api.trn.traveloka.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2024-05-10T23:59:59Z,CN=*.gtr.traveloka.com,*.gtr.traveloka.com,*.bus.traveloka.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,afcc850063a2f73045cc3af806b35d6f,8e8d10657a9c7964dbe13050640479276885b267517d001762bc8eca6ec8b953,ctls,api.trn.traveloka.com,True,True,,,
api.trp.traveloka.com,HTTP Status 500 – Internal Server Error,500,451,,443,https://api.trp.traveloka.com:443,https,,text/html,GET,75.2.13.157,/,1069738340,99.83.215.242,Amazon Web Services,1,False,,api.trp.traveloka.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2023-09-13T23:59:59Z,CN=*.trp.traveloka.com,*.trp.traveloka.com,*.trp.traveloka.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,cb7673d1e2a0acae468ad16fd3511351,2368c0916ab84088a7c634de1617d33401328a8c135aa68b6b49aacf52f4d40e,ctls,api.trp.traveloka.com,True,,,,
api.ugc.traveloka.com,,400,178,,443,https://api.ugc.traveloka.com:443,https,,application/json,GET,15.197.217.39,/,1840668860,3.33.248.159,Amazon Web Services,1,False,,api.ugc.traveloka.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-06-07T23:59:59Z,CN=*.ugc.traveloka.com,*.ugc.traveloka.com,*.ugc.traveloka.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c081aadcbe71554642039875b718e610,4d2d72bcdf4959545aee89e6148378b6bfa754db2260a039f1514a14f86552ba,ctls,api.ugc.traveloka.com,True,,,,
api.usr.traveloka.com,,404,309,,443,https://api.usr.traveloka.com:443,https,,application/json,GET,15.197.167.252,/,-1223365316,3.33.176.65,Amazon Web Services,1,False,,api.usr.traveloka.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2023-10-06T23:59:59Z,CN=*.usr.traveloka.com,*.usr.traveloka.com,*.usr.traveloka.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,937229b42ce702293a396c03fbf2a60f,6e50f551c0cb80898b62ccf37a55b9804a20704e9f0c8854feea3444fb702b47,ctls,api.usr.traveloka.com,True,,,,
