new,host,a,soa,status_code,ns,txt,aaaa,cname,cdn,cdn-name,has_internal_ips,internal_ips,mx,caa
[x],ads.partner.traveloka.com,"18.66.122.77, 18.66.122.11, 18.66.122.16, 18.66.122.86","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
[x],api.ugc.traveloka.com,"3.33.248.159, 15.197.217.39","ns-41.awsdns-05.com, awsdns-hostmaster.amazon.com",NOERROR,,,,origin-api.ugc.traveloka.com,,,,,,
[x],athbck.ath.traveloka.com,18.136.128.212,"ns-1337.awsdns-39.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],gateway.pay.traveloka.com,"99.83.138.112, 75.2.116.11","ns-1509.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],homegrown.traveloka.com,,,NOERROR,,,,,,,,,,
[x],mailer.traveloka.com,"167.89.123.54, 167.89.118.52, 167.89.118.83, 167.89.123.124, 208.80.127.4","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,"ns15.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns11.dnsmadeeasy.com","mailru-verification: 2e3995fa8a7d00e0, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, p8bnb2lp424dkl3c4io1aemiei","2600:1801:11::1, 2600:1802:12::1, 2600:1802:14::1, 2600:1800:15::1",sendgrid.net,,,,,"mx.sendgrid.net, mx2.sendgrid.net","amazonaws.com, godaddy.com"
[x],origin-m.web.traveloka.com,"18.138.120.142, 18.140.85.219, 52.74.95.248","ns-578.awsdns-08.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],origin-www.web.traveloka.com,"18.138.120.142, 18.140.85.219, 52.74.95.248","ns-578.awsdns-08.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],release.web.traveloka.com,"18.154.63.101, 18.154.63.108, 18.154.63.39, 18.154.63.94","ns-1698.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-755.awsdns-30.net, ns-1145.awsdns-15.org, ns-1698.awsdns-20.co.uk, ns-353.awsdns-44.com",,"2600:9000:243d:9800:1b:16dd:4bc0:93a1, 2600:9000:243d:800:1b:16dd:4bc0:93a1, 2600:9000:243d:7c00:1b:16dd:4bc0:93a1, 2600:9000:243d:400:1b:16dd:4bc0:93a1, 2600:9000:243d:d200:1b:16dd:4bc0:93a1, 2600:9000:243d:4600:1b:16dd:4bc0:93a1, 2600:9000:243d:3c00:1b:16dd:4bc0:93a1, 2600:9000:243d:c800:1b:16dd:4bc0:93a1",dbj3c3beqro6n.cloudfront.net,True,cloudfront,,,,
,0--americabox-sre-dev-elm-okta-idp.health.xxt.traveloka.com,"13.32.99.70, 13.32.99.107, 13.32.99.84, 13.32.99.94","ns-1607.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,001kumuhreadcosta-trackingdb-tw-okta-001kumuhreadread.apar.eci.traveloka.com,"108.157.214.72, 108.157.214.69, 108.157.214.88, 108.157.214.15","ns-882.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,0americabox-sre-dev-elm-okta-idp.health.xxt.traveloka.com,,"ns-1607.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,158-231searchmai.universal.idssx1tgin-stari.bpng.eci.traveloka.com,"18.66.147.32, 18.66.147.101, 18.66.147.83, 18.66.147.65","ns-882.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,,
,23393s10.cfp.eci.traveloka.com,"18.172.153.83, 18.172.153.31, 18.172.153.96, 18.172.153.68","ns-882.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1176.awsdns-19.org, ns-2021.awsdns-60.co.uk, ns-8.awsdns-01.com, ns-882.awsdns-46.net",,,,True,cloudfront,,,,
