input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,tech_,lines,tls_subject_org_,webserver,cdn,tls_expired
api-docs.eevee.bbp-mettle.co.uk,OneLogin,,2608,mettle.onelogin.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,mettle.onelogin.com,443,https://api-docs.eevee.bbp-mettle.co.uk:443,https,text/html,GET,3.11.224.194,HSTS,52,"OneLogin, Inc.",AmazonS3,,
api.eevee.bbp-mettle.co.uk,,,134,api.eevee.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-24T08:01:19Z,CN=api.eevee.bbp-mettle.co.uk,api.eevee.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,api.eevee.bbp-mettle.co.uk,443,https://api.eevee.bbp-mettle.co.uk:443,https,application/json,GET,13.41.140.49,HSTS,1,,,,
api.identity.bbp-mettle.co.uk,,,49,api.identity.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-28T08:01:14Z,CN=api.identity.bbp-mettle.co.uk,api.identity.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,api.identity.bbp-mettle.co.uk,443,https://api.identity.bbp-mettle.co.uk:443,https,application/vnd.spring-boot.actuator.v3+json,GET,13.41.168.201,HSTS,1,,,,
api.openbanking.bbp-mettle.co.uk,,,27,api.openbanking.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2021-09-22T10:58:16Z,"CN=0015800001ZEc1gAAD, organizationIdentifier=PSDGB-FCA-900010, O=PREPAY TECHNOLOGIES LIMITED, C=GB, organizationIdentifier=PSDGB-FCA-900010",0015800001ZEc1gAAD,"CN=OpenBanking Pre-Production Issuing CA, O=OpenBanking, C=GB",OpenBanking Pre-Production Issuing CA,OpenBanking,ctls,api.openbanking.bbp-mettle.co.uk,443,https://api.openbanking.bbp-mettle.co.uk:443,https,application/json,GET,18.170.184.167,Nginx,1,PREPAY TECHNOLOGIES LIMITED,nginx,,True
api.ssv.bbp-mettle.co.uk,,,134,api.ssv.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,api.ssv.bbp-mettle.co.uk,443,https://api.ssv.bbp-mettle.co.uk:443,https,application/json,GET,3.11.224.194,HSTS,1,,,,
argo-rollouts.platform.bbp-mettle.co.uk,OneLogin,,2608,mettle.onelogin.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,mettle.onelogin.com,443,https://argo-rollouts.platform.bbp-mettle.co.uk:443,https,text/html,GET,13.41.140.49,HSTS,52,"OneLogin, Inc.",AmazonS3,,
argocd.bbp-mettle.co.uk,OneLogin,,2608,mettle.onelogin.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,mettle.onelogin.com,443,https://argocd.bbp-mettle.co.uk:443,https,text/html,GET,13.41.168.201,HSTS,52,"OneLogin, Inc.",AmazonS3,,
audit.openbanking.bbp-mettle.co.uk,,,102,audit.openbanking.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,audit.openbanking.bbp-mettle.co.uk,443,https://audit.openbanking.bbp-mettle.co.uk:443,https,application/json,GET,3.11.224.194,HSTS,1,,,,
auth-grafana.oidc.bbp-mettle.co.uk,Sign In,,8107,auth-grafana.oidc.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,auth-grafana.oidc.bbp-mettle.co.uk,443,https://auth-grafana.oidc.bbp-mettle.co.uk:443,https,text/html,GET,13.41.140.49,HSTS,75,,,,
auth.oidc.bbp-mettle.co.uk,Sign In,,8107,auth.oidc.bbp-mettle.co.uk,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T08:00:07Z,CN=*.bbp-mettle.co.uk,*.bbp-mettle.co.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,auth.oidc.bbp-mettle.co.uk,443,https://auth.oidc.bbp-mettle.co.uk:443,https,text/html,GET,13.41.168.201,HSTS,75,,,,
