new,host,a,cname,soa,status_code,ns
[x],opendata.openbanking.bbp-mettle.co.uk,"3.11.224.194, 13.41.140.49, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],ops-tool.internal.bbp-mettle.co.uk,"3.11.224.194, 13.41.168.201, 13.41.140.49",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],ops-tool.ssv.bbp-mettle.co.uk,"13.41.140.49, 3.11.224.194, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],polaris.platform.bbp-mettle.co.uk,"13.41.140.49, 3.11.224.194, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],pps.eevee.bbp-mettle.co.uk,"3.11.224.194, 13.41.168.201, 13.41.140.49",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],probes.monitoring.bbp-mettle.co.uk,"13.41.168.201, 3.11.224.194, 13.41.140.49",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],prometheus.monitoring.bbp-mettle.co.uk,"13.41.168.201, 3.11.224.194, 13.41.140.49",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],pushgateway.monitoring.bbp-mettle.co.uk,"13.41.140.49, 13.41.168.201, 3.11.224.194",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],resourcing.monitoring.bbp-mettle.co.uk,"13.41.168.201, 3.11.224.194, 13.41.140.49",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],ssv-external-api-docs.eevee.bbp-mettle.co.uk,"3.11.224.194, 13.41.140.49, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],thanos-bucket.monitoring.bbp-mettle.co.uk,"13.41.168.201, 3.11.224.194, 13.41.140.49",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],thanos.monitoring.bbp-mettle.co.uk,"13.41.140.49, 3.11.224.194, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1162.awsdns-17.org, ns-125.awsdns-15.com, ns-2012.awsdns-59.co.uk, ns-770.awsdns-32.net"
[x],upgrade.eevee.bbp-mettle.co.uk,"13.41.140.49, 3.11.224.194, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],vault.platform.bbp-mettle.co.uk,"18.132.164.217, 18.169.199.134",,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],web-app.eevee.bbp-mettle.co.uk,"13.41.140.49, 13.41.168.201, 3.11.224.194",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
[x],website.eevee.bbp-mettle.co.uk,"3.11.224.194, 13.41.140.49, 13.41.168.201",ingress.platform.bbp-mettle.co.uk,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,
