input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,cdn_name,cdn,final_url,tls_expired
alliance.mercadolibre.com,Anti-Counterfeiting Alliance,200,104069,AS0,Not routed,None,13.32.100.0/23,global-selling.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,global-selling.mercadolibre.com,443,https://alliance.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.31,/,-632106320,13.32.99.25,Tengine,202,False,https://events.mercadolibre.com/csp/reports,cloudfront,True,https://global-selling.mercadolibre.com/alliance,
analytics.mercadolibre.com,,200,22,AS0,Not routed,None,13.32.100.0/23,analytics.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,analytics.mercadolibre.com,443,https://analytics.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.99,/,1593207841,13.32.99.31,Tengine,1,False,https://static.meli.com,cloudfront,True,,
aragorn.mercadolibre.com,aragorn,200,23496,AS15169,GOOGLE,US,142.250.0.0/15,,,,,,,,,,,,,,,,,,,,,80,http://aragorn.mercadolibre.com:80,http,GSE,text/html,GET,142.250.185.115,/,-1464809089,2a00:1450:4001:831::2013,OpenGSE,296,False,,,,,
careers-meli.mercadolibre.com,Home | MercadoLibre careers,200,225883,AS0,Not routed,None,13.32.100.0/23,careers-meli.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,careers-meli.mercadolibre.com,443,https://careers-meli.mercadolibre.com:443,https,Tengine/2.2.1,text/html,GET,13.32.99.77,/,-794281370,13.32.99.54,webpack,360,False,,cloudfront,True,,
cbt.mercadolibre.com,Mercado Libre Global Selling | Sell in Latin America,200,249360,AS0,Not routed,None,13.32.100.0/23,global-selling.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,global-selling.mercadolibre.com,443,https://cbt.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.25,/,1724370991,13.32.99.99,Tengine,77,False,https://googleads.g.doubleclick.net,cloudfront,True,https://global-selling.mercadolibre.com/landing/about,
csp.mercadolibre.com,MercadoLibre Argentina - Parece que esta página no existe,404,3772,AS0,Not routed,None,13.32.100.0/23,csp.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,csp.mercadolibre.com,443,https://csp.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.118,/,-1270008957,13.32.99.99,Tengine,102,False,https://www.google-analytics.com,cloudfront,True,,
data.mercadolibre.com,403 Forbidden,403,621,AS0,Not routed,None,13.32.100.0/23,data.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,data.mercadolibre.com,443,https://data.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.118,/,-1270008957,13.32.99.99,Tengine,25,False,https://events.mercadolibre.com/csp/reports,cloudfront,True,,
deals.mercadolibre.com,MercadoLibre Argentina - Parece que esta página no existe,404,3772,AS16509,AS16509,Unknown,13.225.96.0/21,deals.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,deals.mercadolibre.com,443,https://deals.mercadolibre.com:443,https,Tengine,text/html,GET,13.225.78.118,/,-1270008957,13.225.78.96,Tengine,102,False,https://maps.googleapis.com,cloudfront,True,,
dejavu.mercadolibre.com,,200,43,AS0,Not routed,None,13.32.100.0/23,dejavu.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,dejavu.mercadolibre.com,443,https://dejavu.mercadolibre.com:443,https,Tengine,image/gif,GET,13.32.99.31,/,97040601,13.32.99.118,Tengine,1,False,https://www.datadoghq-browser-agent.com,cloudfront,True,,
dev-test.mercadolibre.com,403 Forbidden,403,625,AS16509,AS16509,Unknown,13.225.96.0/21,dev-test.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,dev-test.mercadolibre.com,443,https://dev-test.mercadolibre.com:443,https,Tengine,text/html,GET,13.225.78.96,/,-1270008957,13.225.78.113,Tengine,25,False,https://*.nr-data.net,cloudfront,True,,
developers-cbt.mercadolibre.com,MercadoLibre Argentina - Parece que esta página no existe,404,3772,AS0,Not routed,None,13.32.100.0/23,,,,,,,,,,,,,,,,,,,,,80,http://developers-cbt.mercadolibre.com:80,http,Tengine,text/html,GET,13.32.99.31,/,-1270008957,13.32.99.118,Tengine,102,False,https://analytics.tiktok.com,cloudfront,True,,
developers.mercadolibre.com,Bienvenidos a Developers Mercado Libre,200,56896,AS0,Not routed,None,13.32.100.0/23,developers.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,developers.mercadolibre.com,80,http://developers.mercadolibre.com:80,http,Tengine,text/html,GET,13.32.99.118,/,550593380,13.32.99.99,Tengine,82,False,https://*.mercadolibre.com,cloudfront,True,https://developers.mercadolibre.com/,
driver.mercadolibre.com,MercadoLibre Argentina - Parece que esta página no existe,404,3772,AS0,Not routed,None,13.32.100.0/23,,,,,,,,,,,,,,,,,,,,,80,http://driver.mercadolibre.com:80,http,Tengine,text/html,GET,13.32.99.31,/,-1270008957,13.32.99.25,Tengine,102,False,https://*.nr-data.net,cloudfront,True,,
encuestas.mercadolibre.com,,200,173,AS0,Not routed,None,13.32.100.0/23,www.surveygizmo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-03T07:39:41Z,2024-03-06T07:39:41Z,CN=*.surveygizmo.com,*.surveygizmo.com,,surveygizmo.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",667770d81bd8f9f4d516b6318f668c13,e6d834abb29da0a09413e64091b20a2b832677d664038cc8769f4863fcde4d9c,True,ctls,www.surveygizmo.com,443,https://encuestas.mercadolibre.com:443,https,AmazonS3,text/html,GET,13.32.99.54,/,60034229,13.32.99.108,Amazon Web Services,8,False,url='https://www.alchemer.com',cloudfront,True,https://www.surveygizmo.com/,
error.mercadolibre.com,504 Gateway Time-out,504,663,AS16509,AS16509,Unknown,13.225.96.0/21,error.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,error.mercadolibre.com,443,https://error.mercadolibre.com:443,https,Tengine,text/html,GET,13.225.78.96,/,-1519822951,13.225.78.61,Tengine,25,False,https://static.meli.com,cloudfront,True,,
facturacion.mercadolibre.com,MercadoLibre Argentina - Parece que esta página no existe,404,3772,AS0,Not routed,None,13.32.100.0/23,facturacion.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,facturacion.mercadolibre.com,443,https://facturacion.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.99,/,-1270008957,13.32.99.118,Tengine,102,False,https://www.gstatic.com,cloudfront,True,,
feeds.mercadolibre.com,403 Forbidden,403,621,AS16509,AS16509,Unknown,13.225.96.0/21,,,,,,,,,,,,,,,,,,,,,80,http://feeds.mercadolibre.com:80,http,Tengine,text/html,GET,13.225.78.61,/,-1270008957,13.225.78.113,Tengine,25,False,https://www.google-analytics.com,cloudfront,True,,
