new,host,a,soa,status_code,cdn,cdn-name,cname,mx,ns,txt,caa,aaaa
[x],newsroom.wise.com,"18.66.112.17, 18.66.112.123, 18.66.112.43, 18.66.112.129","ns-131.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d36ob6w7tjptqe.cloudfront.net,,"ns-1177.awsdns-19.org, ns-131.awsdns-16.com, ns-1889.awsdns-44.co.uk, ns-626.awsdns-14.net",,,"2600:9000:223f:d400:1e:2456:7180:93a1, 2600:9000:223f:7400:1e:2456:7180:93a1, 2600:9000:223f:2000:1e:2456:7180:93a1, 2600:9000:223f:a200:1e:2456:7180:93a1, 2600:9000:223f:1c00:1e:2456:7180:93a1, 2600:9000:223f:3e00:1e:2456:7180:93a1, 2600:9000:223f:4200:1e:2456:7180:93a1, 2600:9000:223f:1e00:1e:2456:7180:93a1"
[x],nextcloud.transferwise.com,"104.18.168.45, 104.18.167.45","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],o1611.abmail.feedback.transferwise.com,167.89.30.163,"hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],oc.transferwise.com,"104.18.168.45, 104.18.167.45","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],openbanking.transferwise.com,"104.18.168.45, 104.18.167.45","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],paypay.wise.com,"104.18.16.28, 104.18.17.28","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],platform.wise.com,"141.101.90.97, 141.101.90.99, 141.101.90.98, 141.101.90.96","bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,25491013.sites.hscoscdn-eu1.net,,,,,"2a06:98c1:3200::90:3, 2a06:98c1:3200::90:2, 2a06:98c1:3200::90:1, 2a06:98c1:3200::90:0"
[x],rblindia.transferwise.com,,"hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,x3r0x3b4lbhrtps18kj7x9kh756w40cn,,
[x],status.transferwise.com,18.234.32.150,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,hg7qg2qssg6b.stspg-customer.com,,,,"letsencrypt.org, globalsign.com;",
[x],status.wise.com,52.215.192.133,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,hg7qg2qssg6b.stspg-customer.com,,,,"globalsign.com;, letsencrypt.org",
[x],tech.transferwise.com,"104.18.167.45, 104.18.168.45","hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],test.transferwise.com,54.144.128.85,,NOERROR,,,,,,,,
