new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,mx,txt,caa,ns
[x],api-dev.btcturk.com,"104.16.214.13, 104.17.97.53","2606:4700::6810:d60d, 2606:4700::6811:6135","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/broker/broker-api-ingress",,
[x],api-dev2.btcturk.com,"104.17.97.53, 104.16.214.13","2606:4700::6810:d60d, 2606:4700::6811:6135","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],api-mobile.btcturk.com,"104.17.97.53, 104.16.214.13","2606:4700::6810:d60d, 2606:4700::6811:6135","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],api-staging.btcturk.com,"104.16.214.13, 104.17.97.53","2606:4700::6811:6135, 2606:4700::6810:d60d","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],api.btcturk.com,"104.17.97.53, 104.16.214.13","2606:4700::6810:d60d, 2606:4700::6811:6135","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],apim.btcturk.com,"104.16.214.13, 104.17.97.53","2606:4700::6811:6135, 2606:4700::6810:d60d","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],autodiscover.btcturk.com,"40.99.204.168, 52.98.232.40, 40.99.205.24, 52.97.183.200, 40.101.12.72, 52.97.152.216, 40.101.121.24, 52.98.232.8","2603:1026:206:7::8, 2603:1026:c03:6024::8, 2603:1026:c03:7064::8, 2603:1026:c03:7066::8","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,
[x],bff-staging.btcturk.com,"104.17.97.53, 104.16.214.13","2606:4700::6810:d60d, 2606:4700::6811:6135","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],bff.btcturk.com,"104.17.97.53, 104.16.214.13","2606:4700::6811:6135, 2606:4700::6810:d60d","gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],bilgibankasi.btcturk.com,"104.16.53.111, 104.16.51.111",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,btcturk.zendesk.com,mail-pod-17.int.zendesk.com,"pod=17, v=spf1 include:mail.zendesk.com ~all",,
[x],bilgibankasi.pro.btcturk.com,"104.16.53.111, 104.16.51.111",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,btcturkpro.zendesk.com,mail-pod-17.int.zendesk.com,"v=spf1 include:mail.zendesk.com ~all, pod=17",,
[x],blog.btcturk.com,,,"gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ~all,,
[x],btcturk.com,"104.17.97.53, 104.16.214.13",,"gina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,"MS=ms21049283, broker-mobile-api.azurewebsites.net, c5vyl9l7hbssn6hxyfjsjlvjxzjpfhpd, google-site-verification=PjCh7lJWOotZbAvGn5ZcXZcys3Wy_QCyEVuLre69Pbg, kaec395p6rls3prrbg2401l1b5, s239if085hirt1hirlj0ppq4te, v=DKIM1; selector=1522905413783; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCr6KMgdxxgg7oT3ulMwPJs9RXgXDrI9UWU118pHEMohl3UbL3Jwp4oxp/9N3thh/3WCJnYV134zbEVolZwqaT3JsFEq/mQ/RpW/JnOZ3rnxqJPurb2bcfJol4SDxiWVObzHX31xnANzFcXnq1/5dMK5QvW4Jh7n0fm4+4ywqiy2QIDA, QAB;, v=spf1 include:spf.protection.outlook.com include:spf.mailjet.com include:spf.mandrillapp.com include:zcsend.net include:zoho.com include:spf1.zoho.com include:transmail.net include:mail.zendesk.com include:amazonses.com ip4:188.172.137.12 ~all","godaddy.com, www.digicert.com",
[x],cdn.btcturk.com,52.178.43.209,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,"cdn-btcturk.azurewebsites.net, waws-prod-am2-155.sip.azurewebsites.windows.net, waws-prod-am2-155.westeurope.cloudapp.azure.com",,,,
[x],cdn2.btcturk.com,152.195.19.97,2606:2800:11f:1cb7:261b:1f9c:2074:3c,"ns1.chicdn.net, noc.edgecast.com",NOERROR,,,"btcturk.azureedge.net, btcturk.ec.azureedge.net, scdn1e635.wpc.14e5b.chicdn.net, sni1gl.wpc.chicdn.net",,,,
