input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn
admin.myndr.net,Myndr – Inloggen Myndr voor school,200,10421,AS16509,AS16509,Unknown,34.240.0.0/12,admin.myndr.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-18T23:59:59Z,CN=myndr.net,myndr.net,,*.myndr.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,02c169c792011f5e55fd11b0c2d1d5f7,df16452f3ba2340a5a3026190c73a7bbfeb3ea837409a72f2e4cfb5edae03ade,True,ctls,admin.myndr.net,,443,https://admin.myndr.net:443,https,nginx,text/html,GET,34.254.80.7,/,-2126744309,https://admin.myndr.net/auth/login-admin,52.209.245.212,Nginx,150,False,
api-us.myndr.net,,404,139,AS14618,AMAZON-AES,US,35.153.0.0/16,api-us.myndr.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,2023-11-26T23:59:59Z,CN=*.myndr.net,*.myndr.net,,*.myndr.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,cd29c72be7b98ed0919ec8eddb11d325,6bbb4795422a7a3a354ac011683e0ee0e07586d6f5c9cc7b59c61828f876e8a0,True,ctls,api-us.myndr.net,,443,https://api-us.myndr.net:443,https,nginx,application/json,GET,35.153.190.163,/,-2071443932,,100.26.38.212,Nginx,6,False,
core-api.myndr.net,Not Found,404,140,AS16509,AS16509,Unknown,34.240.0.0/12,core-api.myndr.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-18T23:59:59Z,CN=myndr.net,myndr.net,,*.myndr.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,02c169c792011f5e55fd11b0c2d1d5f7,df16452f3ba2340a5a3026190c73a7bbfeb3ea837409a72f2e4cfb5edae03ade,True,ctls,core-api.myndr.net,,443,https://core-api.myndr.net:443,https,awselb/2.0,text/html,GET,34.253.94.166,/,407535352,,54.78.118.175,,1,False,
dashboard.myndr.net,Myndr – Inloggen Myndr voor thuis,200,9021,AS16509,AS16509,Unknown,34.240.0.0/12,dashboard.myndr.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-18T23:59:59Z,CN=myndr.net,myndr.net,,*.myndr.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,02c169c792011f5e55fd11b0c2d1d5f7,df16452f3ba2340a5a3026190c73a7bbfeb3ea837409a72f2e4cfb5edae03ade,True,ctls,dashboard.myndr.net,,80,http://dashboard.myndr.net:80,http,nginx,text/html,GET,34.254.80.7,/,5718049,https://dashboard.myndr.net:443/auth/login,52.209.245.212,Nginx,161,False,
help.myndr.nl,Help center Myndr,200,14408,AS13335,CLOUDFLARENET,US,188.114.100.0/24,help.myndr.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-03-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",myndr.nl,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",852f1c2a12c0e9f7b18e5e900ce1a91d,ae4a154b2b2d8e079700f4115a3b4961f26ee61f1765da03c50f513eb37e578e,True,ctls,help.myndr.nl,cloudflare,443,https://help.myndr.nl:443,https,cloudflare,text/html,GET,188.114.96.3,/,1249339322,https://help.myndr.nl/en-us/,2a06:98c1:3121::3,HTTP/3,110,False,True
kb.myndr.nl,"Myndr Help center | Antwoord op al je vragen over Myndr, de Myndr switch en het dagelijks gebruik ervan.",200,26296,AS54113,AS54113,Unknown,185.199.108.0/22,kb.myndr.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-03T14:21:35Z,2023-08-01T14:21:34Z,CN=kb.myndr.nl,kb.myndr.nl,,kb.myndr.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9351f62b98cb9e130b4bb04751d4ccd6,86e0b57b547e495da47d9e23c040e8b014e3ee31156db372114ffb5fe6b85490,,ctls,kb.myndr.nl,,443,https://kb.myndr.nl:443,https,GitHub.com,text/html,GET,185.199.108.153,/,-858459200,,2606:50c0:8003::153,Varnish,2,False,
links.support.myndr.nl,Crisp - Email Domain,200,2710,AS13335,CLOUDFLARENET,US,172.66.0.0/22,go.crisp.chat,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T00:00:00Z,2024-05-06T23:59:59Z,"CN=crisp.chat, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",crisp.chat,"Cloudflare, Inc.",*.mail.support.crisp.chat,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",665fcae2d46e17f6be20ec8e31fa753e,a3a0b00de6c0a406f5edba9b741c8984c154d80ed221bc72cba9dc3e76b457dd,True,ctls,go.crisp.chat,cloudflare,443,https://links.support.myndr.nl:443,https,cloudflare,text/html,GET,172.65.225.161,/,566218143,https://go.crisp.chat/notice/domain-email/,2606:4700:90:0:c84b:ae46:715d:e545,HTTP/3,1,False,True
meta.myndr.net,Myndr status,200,689,AS25151,CYSO-AS,NL,37.46.140.0/24,meta.myndr.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-17T03:12:35Z,2023-07-16T03:12:34Z,CN=meta.myndr.net,meta.myndr.net,,meta.myndr.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a25ca9235bfd6cbfd75b43ce128caea3,358a4d791bf590e819e2b7ac61b813bd8720c435ec65ca24ffb9ff37419afd77,,ctls,meta.myndr.net,,443,https://meta.myndr.net:443,https,nginx,text/html,GET,37.46.140.20,/,428256592,,37.46.140.20,Plesk,21,False,
mqtt-new.myndr.net,404 Not Found,404,162,AS16509,AS16509,Unknown,54.64.0.0/12,,,,,,,,,,,,,,,,,,,,,80,http://mqtt-new.myndr.net:80,http,nginx,text/html,GET,54.73.92.112,/,190856733,,54.73.92.112,Nginx,8,False,
mqtt-us.myndr.net,403 Forbidden,403,564,AS14618,AMAZON-AES,US,52.200.0.0/13,,,,,,,,,,,,,,,,,,,,,80,http://mqtt-us.myndr.net:80,http,nginx,text/html,GET,52.203.25.139,/,1506877856,,52.203.25.139,Nginx,14,False,
