input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn,tls_subject_org_
api.namejet.com,Index,,759,api.namejet.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-24T00:00:00Z,CN=*.namejet.com,*.namejet.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,api.namejet.com,443,https://api.namejet.com:443,https,Microsoft-IIS/10.0,text/html,GET,209.237.135.115,Windows Server,32,,
atlas.namejet.com,Empty,,886,atlas.namejet.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2022-05-24T00:00:00Z,CN=*.namejet.com,*.namejet.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,atlas.namejet.com,443,https://atlas.namejet.com:443,https,Microsoft-IIS/10.0,text/html,GET,207.204.41.38,Windows Server,42,,
autodiscover.namejet.com,Sign in to Outlook,,197886,login.microsoftonline.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,ctls,login.microsoftonline.com,80,http://autodiscover.namejet.com:80,http,,text/html,GET,52.98.243.56,HSTS,174,,Microsoft Corporation
classic.namejet.com,Just a moment...,,6674,classic.namejet.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-07-10T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,classic.namejet.com,443,https://classic.namejet.com:443,https,cloudflare,text/html,GET,162.159.137.38,HSTS,87,True,"Cloudflare, Inc."
help.namejet.com,Just a moment...,,6835,help.namejet.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-05-24T00:00:00Z,CN=*.namejet.com,*.namejet.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,help.namejet.com,443,https://help.namejet.com:443,https,cloudflare,text/html,GET,162.159.128.7,HSTS,87,True,
maintenance.namejet.com,NameJet - Maintenance,,1546,maintenance.namejet.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-24T00:00:00Z,CN=*.namejet.com,*.namejet.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,maintenance.namejet.com,443,https://maintenance.namejet.com:443,https,,text/html,GET,209.237.135.116,HSTS,40,,
namejet.com,Just a moment...,,6694,namejet.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-05-24T00:00:00Z,CN=*.namejet.com,*.namejet.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,namejet.com,443,https://namejet.com:443,https,cloudflare,text/html,GET,162.159.136.38,HSTS,87,True,
partnerapi.namejet.com,Index,,759,partnerapi.namejet.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-24T00:00:00Z,CN=*.namejet.com,*.namejet.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,partnerapi.namejet.com,443,https://partnerapi.namejet.com:443,https,Microsoft-IIS/10.0,text/html,GET,64.69.222.220,Windows Server,32,,
partnertest.namejet.com,Just a moment...,,6872,partnertest.namejet.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-05-24T00:00:00Z,CN=*.namejet.com,*.namejet.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,partnertest.namejet.com,443,https://partnertest.namejet.com:443,https,cloudflare,text/html,GET,162.159.136.38,HSTS,87,True,
update.namejet.com,,,243,update.namejet.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,CN=update.namejet.com,update.namejet.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,update.namejet.com,443,https://update.namejet.com:443,https,AmazonS3,application/xml,GET,13.225.78.89,Amazon Web Services,2,True,
