new,host,a,soa,status_code,mx,ns,txt,cdn,cdn-name,has_internal_ips,internal_ips,cname,aaaa
,nonorin.comwww.namejet.com,"98.124.198.1, 98.124.199.1","heidi.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,partnerapi.namejet.com,64.69.222.220,"heidi.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,partnertest.namejet.com,"162.159.137.38, 162.159.136.38","heidi.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,
,proactolcoupon.comwww.namejet.com,"98.124.198.1, 98.124.199.1","heidi.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,samalebnan.netwww.namejet.com,"98.124.199.1, 98.124.198.1","heidi.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,sftp.namejet.com,209.237.135.110,"heidi.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,stage.namejet.com,10.202.167.61,"heidi.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,True,10.202.167.61,,
,test.namejet.com,10.40.170.26,"heidi.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,True,10.40.170.26,,
,thezentrepids.comwww.namejet.com,"98.124.198.1, 98.124.199.1","heidi.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,update.namejet.com,"18.67.76.117, 18.67.76.121, 18.67.76.61, 18.67.76.68, 205.251.192.133, 205.251.194.97, 205.251.196.209, 205.251.199.138","ns-1930.awsdns-49.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"ns-609.awsdns-12.net, ns-1233.awsdns-26.org, ns-1930.awsdns-49.co.uk, ns-133.awsdns-16.com",,True,cloudfront,,,d19ix6tpwtz2b1.cloudfront.net,"2600:9000:2305:b600:14:ad20:db40:93a1, 2600:9000:2305:e800:14:ad20:db40:93a1, 2600:9000:2305:2400:14:ad20:db40:93a1, 2600:9000:2305:e00:14:ad20:db40:93a1, 2600:9000:2305:6600:14:ad20:db40:93a1, 2600:9000:2305:4e00:14:ad20:db40:93a1, 2600:9000:2305:9a00:14:ad20:db40:93a1, 2600:9000:2305:dc00:14:ad20:db40:93a1"
,vinstrumdev.comwww.namejet.com,"98.124.199.1, 98.124.198.1","heidi.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,vjl-palsynaho.comwww.namejet.com,"98.124.199.1, 98.124.198.1","heidi.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,www.namejet.com,"162.159.137.38, 162.159.136.38","heidi.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,
,yourfamilyneedscoverage.comwww.namejet.com,"98.124.199.1, 98.124.198.1","heidi.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
