input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,tls_subject_org_,webserver,cdn_name,cdn
0-226-188-56.access.upgrade.com,,200,778,https://0-226-188-56.access.upgrade.com:*,access.upgrade.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,2023-11-16T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,db5270c36f820cd3c68bf1802ad5ea39,cab86560bf28c0c08a133e0d4846ada81e0db5a0c6e3f2c1ffb82d7d5cd23054,True,ctls,access.upgrade.com,443,https://0-226-188-56.access.upgrade.com:443,https,text/html,GET,34.210.201.112,/,-1177039986,https://access.upgrade.com:443/web/launch/0-226-188-56.access.upgrade.com?path=%2F,44.239.201.247,HSTS,1,False,,,,
0-courier2.access.upgrade.com,,200,778,https://0-courier2.access.upgrade.com:*,access.upgrade.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,2023-11-16T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,db5270c36f820cd3c68bf1802ad5ea39,cab86560bf28c0c08a133e0d4846ada81e0db5a0c6e3f2c1ffb82d7d5cd23054,True,ctls,access.upgrade.com,443,https://0-courier2.access.upgrade.com:443,https,text/html,GET,44.239.151.238,/,-1578499784,https://access.upgrade.com:443/web/launch/0-courier2.access.upgrade.com?path=%2F,34.210.201.112,HSTS,1,False,,,,
101-56.access.upgrade.com,,200,778,https://101-56.access.upgrade.com:*,access.upgrade.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,2023-11-16T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,db5270c36f820cd3c68bf1802ad5ea39,cab86560bf28c0c08a133e0d4846ada81e0db5a0c6e3f2c1ffb82d7d5cd23054,True,ctls,access.upgrade.com,443,https://101-56.access.upgrade.com:443,https,text/html,GET,44.239.151.238,/,-828242527,https://access.upgrade.com:443/web/launch/101-56.access.upgrade.com?path=%2F,44.239.201.247,HSTS,1,False,,,,
113-106-53.access.upgrade.com,,200,778,https://113-106-53.access.upgrade.com:*,access.upgrade.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,2023-11-16T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,db5270c36f820cd3c68bf1802ad5ea39,cab86560bf28c0c08a133e0d4846ada81e0db5a0c6e3f2c1ffb82d7d5cd23054,True,ctls,access.upgrade.com,443,https://113-106-53.access.upgrade.com:443,https,text/html,GET,44.239.201.247,/,-942679876,https://access.upgrade.com:443/web/launch/113-106-53.access.upgrade.com?path=%2F,44.239.151.238,HSTS,1,False,,,,
155-9-171-93.access.upgrade.com,,200,778,https://155-9-171-93.access.upgrade.com:*,access.upgrade.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,2023-11-16T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,db5270c36f820cd3c68bf1802ad5ea39,cab86560bf28c0c08a133e0d4846ada81e0db5a0c6e3f2c1ffb82d7d5cd23054,True,ctls,access.upgrade.com,443,https://155-9-171-93.access.upgrade.com:443,https,text/html,GET,34.210.201.112,/,2070861678,https://access.upgrade.com:443/web/launch/155-9-171-93.access.upgrade.com?path=%2F,44.239.201.247,HSTS,1,False,,,,
155-9-182-39.access.upgrade.com,,200,778,https://155-9-182-39.access.upgrade.com:*,access.upgrade.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,2023-11-16T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,db5270c36f820cd3c68bf1802ad5ea39,cab86560bf28c0c08a133e0d4846ada81e0db5a0c6e3f2c1ffb82d7d5cd23054,True,ctls,access.upgrade.com,443,https://155-9-182-39.access.upgrade.com:443,https,text/html,GET,34.210.201.112,/,1421474600,https://access.upgrade.com:443/web/launch/155-9-182-39.access.upgrade.com?path=%2F,44.239.201.247,HSTS,1,False,,,,
155-9-183-87.access.upgrade.com,,200,778,https://155-9-183-87.access.upgrade.com:*,access.upgrade.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,2023-11-16T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,db5270c36f820cd3c68bf1802ad5ea39,cab86560bf28c0c08a133e0d4846ada81e0db5a0c6e3f2c1ffb82d7d5cd23054,True,ctls,access.upgrade.com,443,https://155-9-183-87.access.upgrade.com:443,https,text/html,GET,34.210.201.112,/,1193882594,https://access.upgrade.com:443/web/launch/155-9-183-87.access.upgrade.com?path=%2F,44.239.201.247,HSTS,1,False,,,,
155-9-203-41.access.upgrade.com,,200,778,https://155-9-203-41.access.upgrade.com:*,access.upgrade.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,2023-11-16T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,db5270c36f820cd3c68bf1802ad5ea39,cab86560bf28c0c08a133e0d4846ada81e0db5a0c6e3f2c1ffb82d7d5cd23054,True,ctls,access.upgrade.com,443,https://155-9-203-41.access.upgrade.com:443,https,text/html,GET,34.210.201.112,/,-502351708,https://access.upgrade.com:443/web/launch/155-9-203-41.access.upgrade.com?path=%2F,44.239.151.238,HSTS,1,False,,,,
155-9-203-87.access.upgrade.com,,200,778,https://155-9-203-87.access.upgrade.com:*,access.upgrade.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,2023-11-16T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,db5270c36f820cd3c68bf1802ad5ea39,cab86560bf28c0c08a133e0d4846ada81e0db5a0c6e3f2c1ffb82d7d5cd23054,True,ctls,access.upgrade.com,443,https://155-9-203-87.access.upgrade.com:443,https,text/html,GET,44.239.201.247,/,-1472320311,https://access.upgrade.com:443/web/launch/155-9-203-87.access.upgrade.com?path=%2F,44.239.151.238,HSTS,1,False,,,,
155-9-204-70.access.upgrade.com,,200,778,https://155-9-204-70.access.upgrade.com:*,access.upgrade.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,2023-11-16T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,db5270c36f820cd3c68bf1802ad5ea39,cab86560bf28c0c08a133e0d4846ada81e0db5a0c6e3f2c1ffb82d7d5cd23054,True,ctls,access.upgrade.com,443,https://155-9-204-70.access.upgrade.com:443,https,text/html,GET,44.239.151.238,/,1673639541,https://access.upgrade.com:443/web/launch/155-9-204-70.access.upgrade.com?path=%2F,44.239.201.247,HSTS,1,False,,,,
