new,host,a,cname,mx,soa,ns,txt,status_code,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,caa
[x],17-121-115-220.monster.no,208.71.199.147,redirector.gslb.monster.com,,"gslb.ash.monster.com, hostmaster.gslb.ash.monster.com",,,NOERROR,,,,,,
[x],2039.promo.monster.com,208.71.199.147,"promo.monster.com, redirector.gslb.monster.com",,"gslb.ash.monster.com, hostmaster.gslb.ash.monster.com",,,NOERROR,,,,,,
[x],365.military.com,"52.41.105.72, 54.201.68.210, 52.27.178.227, 35.155.252.60, 50.112.192.19, 70.224.197.91",military.com,"mxb-002e1001.gslb.pphosted.com, mxa-002e1001.gslb.pphosted.com","ns-170.awsdns-21.com, awsdns-hostmaster.amazon.com","ns-1909.awsdns-46.co.uk, ns-170.awsdns-21.com, ns-919.awsdns-50.net, ns-1091.awsdns-08.org",,NOERROR,,,,,,
[x],4xl.monster.com,204.9.47.224,,,"ns1.tmpw.net, hostmaster.tmpw.net",,,NOERROR,,,,,,
[x],614666g16.monster.no,208.71.193.147,redirector.gslb.monster.com,,"gslb.ash.monster.com, hostmaster.gslb.ash.monster.com",,,NOERROR,,,,,,
[x],aboriginal.monster.ca,,,,,,,NOERROR,2602:fcbc:0:3::11,,,,,
[x],about.monster.ca,,redirector.gslb.monster.com,,"gslb.ash.monster.com, hostmaster.gslb.ash.monster.com",,,NOERROR,,,,,,
[x],about.monsterboard.nl,208.71.193.72,netwebb.gslb.monster.com,,"gslb.ash.monster.com, hostmaster.gslb.ash.monster.com",,,NOERROR,,,,,,
[x],accenture.gslb.monster.com,208.71.193.178,,,"gslb.ash.monster.com, hostmaster.gslb.ash.monster.com",,,NOERROR,,,,,,
[x],accenture.monster.com,208.71.199.67,netwebb-ssl.gslb.monster.com,,"gslb.ash.monster.com, hostmaster.gslb.ash.monster.com",,,NOERROR,,,,,,
[x],access-ash.monster.com,208.71.192.246,,,"ns1.tmpw.net, hostmaster.tmpw.net",,,NOERROR,,,,,,
[x],access-brn.monster.com,85.93.123.99,,,"ns1.tmpw.net, hostmaster.tmpw.net",,,NOERROR,,,,,,
[x],access-fra.monster.com,193.37.158.250,,,"ns1.tmpw.net, hostmaster.tmpw.net",,,NOERROR,,,,,,
[x],access-kl1.monster.com,218.189.28.82,,,"ns1.tmpw.net, hostmaster.tmpw.net",,,NOERROR,,,,,,
[x],access-pra.monster.com,90.182.22.194,,,"ns1.tmpw.net, hostmaster.tmpw.net",,,NOERROR,,,,,,
[x],access-sec.monster.com,49.249.225.62,,,"ns1.tmpw.net, hostmaster.tmpw.net",,,NOERROR,,,,,,
[x],access.sf.monster.com,4.16.83.131,,,"ns1.tmpw.net, hostmaster.tmpw.net",,,NOERROR,,,,,,
[x],accounting.monster.com,208.71.193.147,redirector.gslb.monster.com,,"gslb.ash.monster.com, hostmaster.gslb.ash.monster.com",,,NOERROR,,,,,,
[x],accueil.monster.be,208.71.199.237,seoredirect.gslb.monster.com,,"gslb.ash.monster.com, hostmaster.gslb.ash.monster.com",,,NOERROR,,,,,,
[x],accueil.monster.lu,208.71.199.237,seoredirect.gslb.monster.com,,"gslb.ash.monster.com, hostmaster.gslb.ash.monster.com",,,NOERROR,,,,,,
[x],action.monster.fr,208.71.193.72,"seekertransfer-unknown.monster.com, netwebb.gslb.monster.com",,"gslb.ash.monster.com, hostmaster.gslb.ash.monster.com",,,NOERROR,,,,,,
[x],admin.demo100.mgs.monster.com,208.71.193.42,adminopm.gslb.monster.com,,"gslb.ash.monster.com, hostmaster.gslb.ash.monster.com",,,NOERROR,,,,,,
[x],admin.monster.co.uk,208.71.199.72,netwebb.gslb.monster.com,,"gslb.ash.monster.com, hostmaster.gslb.ash.monster.com",,,NOERROR,,,,,,
[x],admin.monster.com,208.71.193.147,redirector.gslb.monster.com,,"gslb.ash.monster.com, hostmaster.gslb.ash.monster.com",,,NOERROR,,,,,,
[x],admin.monster.ie,208.71.199.72,netwebb.gslb.monster.com,,"gslb.ash.monster.com, hostmaster.gslb.ash.monster.com",,,NOERROR,,,,,,
[x],admin.nvtc.monster.com,208.71.199.147,redirector.gslb.monster.com,,"gslb.ash.monster.com, hostmaster.gslb.ash.monster.com",,,NOERROR,,,,,,
[x],admin.photos.military.com,54.144.128.85,,,,,,NOERROR,,,,,,
[x],admin.youthopps.monster.com,208.71.193.42,adminopm.gslb.monster.com,,"gslb.ash.monster.com, hostmaster.gslb.ash.monster.com",,,NOERROR,,,,,,
[x],administracja-praca.monsterpolska.pl,208.71.193.147,redirector.gslb.monster.com,,"gslb.ash.monster.com, hostmaster.gslb.ash.monster.com",,,NOERROR,,,,,,
