input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_self_signed,tls_mismatched,tls_wildcard_certificate,cdn_name,cdn,final_url,csp_domains_,tls_expired
admin.ssu-t.schiphol.nl,Welcome to your Strapi app,200,3321,admin.ssu-t.schiphol.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-19T00:00:00Z,2023-07-19T23:59:59Z,CN=admin.ssu-t.schiphol.nl,admin.ssu-t.schiphol.nl,,admin.ssu-t.schiphol.nl,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",fce7bf6bb1aa78dcb293b600eb7191f3,60e851b08bc1eaf87055e772b35bd073b21e7fd296ec03a553346d6e4e28b3cf,ctls,admin.ssu-t.schiphol.nl,443,https://admin.ssu-t.schiphol.nl:443,https,,text/html,GET,20.105.216.20,/,-247274019,20.105.216.20,HSTS,35,False,,,,,,,https://modssuadmintstassets.blob.core.windows.net/,
ams.ssu-d.schiphol.nl,Microsoft,403,890,ams.ssu-d.schiphol.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-13T00:00:00Z,2023-10-12T23:59:59Z,CN=ams.ssu-d.schiphol.nl,ams.ssu-d.schiphol.nl,,ams.ssu-d.schiphol.nl,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",f698a10bef8ca6394dc704e9bd5afa83,7a225587fd86f84c1f906f82594ac656865d43e8217bd5b7c500b0b82b40252c,ctls,ams.ssu-d.schiphol.nl,443,https://ams.ssu-d.schiphol.nl:443,https,,,GET,13.107.253.45,/,995738172,2620:1ec:48:1::45,Azure Front Door,1,False,,,,,,,,
ams.ssu-t.schiphol.nl,Microsoft,403,890,ams.ssu-t.schiphol.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-14T00:00:00Z,2023-10-13T23:59:59Z,CN=ams.ssu-t.schiphol.nl,ams.ssu-t.schiphol.nl,,ams.ssu-t.schiphol.nl,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",2f08eb060c0d45d1ac05a54802bd5baa,d8c96fb36ddadc9766b308b6113b0b64531f7b8c36df82b7d3f88818f462e27b,ctls,ams.ssu-t.schiphol.nl,443,https://ams.ssu-t.schiphol.nl:443,https,,,GET,13.107.226.45,/,2051969317,2620:1ec:48:1::45,Azure Front Door,1,False,,,,,,,,
ams.ssu.schiphol.nl,Microsoft,403,890,ams.ssu.schiphol.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-04T00:00:00Z,2023-11-01T23:59:59Z,CN=ams.ssu.schiphol.nl,ams.ssu.schiphol.nl,,ams.ssu.schiphol.nl,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",440926192d429e240b655f3a94ea1d4b,b17cff5a131cc76ddfe97e7a5efb44397c28b3a18c12d65d32b414f248ba0dd0,ctls,ams.ssu.schiphol.nl,443,https://ams.ssu.schiphol.nl:443,https,,,GET,13.107.253.45,/,1719940595,2620:1ec:46::45,Azure Front Door,1,False,,,,,,,,
api-acc.schiphol.nl,,403,33,api-acc.schiphol.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-23T00:00:00Z,2023-09-23T23:59:59Z,"CN=api-acc.schiphol.nl, O=Royal Schiphol Group N.V., L=Schiphol, C=NL",api-acc.schiphol.nl,Royal Schiphol Group N.V.,api-acc.schiphol.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9c931d40c24e96855c3652d3020516c0,177c9b3dc3f0171675fb818903756d5637fb796993bc6b8292f5ad4fc5fc3663,ctls,api-acc.schiphol.nl,443,https://api-acc.schiphol.nl:443,https,openresty,text/plain,GET,20.23.246.155,/,1074017639,20.23.246.155,OpenResty,1,False,,,,,,,,
api.schiphol.nl,,403,33,api.schiphol.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-31T23:59:59Z,"CN=api.schiphol.nl, O=Royal Schiphol Group N.V., L=Schiphol, C=NL",api.schiphol.nl,Royal Schiphol Group N.V.,api.schiphol.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5c60bc82946ed8445763b367d59bc938,a8b6c58e1b45333fe83d6e29eff6ce5dbb8030ec9852c01a2fc439f4081a4087,ctls,api.schiphol.nl,443,https://api.schiphol.nl:443,https,openresty,text/plain,GET,20.16.3.144,/,1074017639,20.16.3.144,OpenResty,1,False,,,,,,,,
brandportal-t.schiphol.nl,Schiphol Brandportal,200,94631,brandportal-t.schiphol.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2021-03-16T00:00:00Z,2022-03-25T23:59:59Z,"CN=brandportal-t.schiphol.nl, O=Royal Schiphol Group N.V., L=Schiphol, C=NL",brandportal-t.schiphol.nl,Royal Schiphol Group N.V.,www.brandportal-t.schiphol.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,6e2b301895b766783b197927d1536fdc,807da7827085cc640d75ccc3ff48b1ce5b2b0044d4cf928db44603bb8d6a8c91,ctls,brandportal-t.schiphol.nl,443,https://brandportal-t.schiphol.nl:443,https,Apache,text/html,GET,34.250.255.200,/,-780928015,34.250.255.200,PHP,2070,False,,,,,,,,True
cag-a.schiphol.nl,Citrix Gateway,200,2808,cag-a.schiphol.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2022-12-01T00:00:00Z,2024-01-01T23:59:59Z,"CN=cag-a.schiphol.nl, O=Royal Schiphol Group N.V., L=Schiphol, C=NL",cag-a.schiphol.nl,Royal Schiphol Group N.V.,www.cag-a.schiphol.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b75bfe252cfcf65361865443074e1fb2,4ce8febc97bd3649c2346c6edc58cbaae26a3c703996c88d9ad56e63c21adb49,ctls,cag-a.schiphol.nl,443,https://cag-a.schiphol.nl:443,https,Apache,text/html,GET,145.35.169.163,/,12023395,145.35.169.163,Apache,63,False,,,,,,https://cag-a.schiphol.nl/vpn/index.html,,
cag-p.schiphol.nl,Citrix Gateway,200,2808,cag-p.schiphol.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2022-12-01T00:00:00Z,2024-01-01T23:59:59Z,"CN=cag-p.schiphol.nl, O=Royal Schiphol Group N.V., L=Schiphol, C=NL",cag-p.schiphol.nl,Royal Schiphol Group N.V.,www.cag-p.schiphol.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3716aafffa265d7096ca38e8524e60e0,5b6e89b2333d0a584a67f71d43422da0ac4c430a50547b6ef8df763247991c5e,ctls,cag-p.schiphol.nl,443,https://cag-p.schiphol.nl:443,https,Apache,text/html,GET,145.35.168.16,/,12023395,145.35.168.16,HSTS,63,False,,,,,,https://cag-p.schiphol.nl/vpn/index.html,,
cag.schiphol.nl,Citrix Gateway,200,2808,cag.schiphol.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-01T00:00:00Z,2024-01-01T23:59:59Z,"CN=cag.schiphol.nl, O=Royal Schiphol Group N.V., L=Schiphol, C=NL",cag.schiphol.nl,Royal Schiphol Group N.V.,www.cag.schiphol.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b8bee807af999453796ecefefd9ea628,37703bb6593809af0a50fd92c9d700944790726f4ac70984d4a084e3b3128edb,ctls,cag.schiphol.nl,443,https://cag.schiphol.nl:443,https,Apache,text/html,GET,145.35.168.13,/,12023395,145.35.168.13,HSTS,63,False,,,,,,https://cag.schiphol.nl/vpn/index.html,,
