input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tech_,location,final_url,csp_domains_,tls_expired,tls_wildcard_certificate,cdn_name,cdn
captcha.usaa.com,Security Review | USAA,200,14675,captcha.usaa.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-08-19T00:00:00Z,2023-09-19T23:59:59Z,"CN=www.usaa.com, O=United Services Automobile Association, L=San Antonio, ST=Texas, C=US, serialNumber=1447376, businessCategory=Private Organization, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionCountry=US",www.usaa.com,United Services Automobile Association,api-a.usaa.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,d42e7990240fd2a1fbc5b5b4bbc20495,171d96ef84b46897119db1b50a2c08cb3ef0543f31835bc786befecaf9840670,ctls,captcha.usaa.com,80,http://captcha.usaa.com:80,http,AkamaiNetStorage,text/html,GET,23.201.246.224,/,-485427770,23.201.246.224,36,False,React,,https://captcha.usaa.com/,,,,,
click.survey5.usaa.com,,200,5072,click.survey5.usaa.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-09-19T00:00:00Z,2023-10-20T23:59:59Z,"CN=da.usaa.com, O=United Services Automobile Association, L=San Antonio, ST=Texas, C=US, serialNumber=1447376, businessCategory=Private Organization, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionCountry=US",da.usaa.com,United Services Automobile Association,www.usaa-advocacy.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,1024cb75471913e2386aa0636388e67a,aa1a0a407bc35303b38ca7842c7a780c113479ede08accc37500b5ca55ab2afc,ctls,click.survey5.usaa.com,443,https://click.survey5.usaa.com:443,https,,text/html,GET,23.212.207.81,/,-485427770,23.212.207.81,27,False,HSTS,,https://click.survey5.usaa.com/login,https://sjc1.qualtrics.com/csp-report,,,,
communities.usaa.com,Home - USAA Community,200,115176,communities.usaa.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-09-19T00:00:00Z,2023-10-20T23:59:59Z,"CN=da.usaa.com, O=United Services Automobile Association, L=San Antonio, ST=Texas, C=US, serialNumber=1447376, businessCategory=Private Organization, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionCountry=US",da.usaa.com,United Services Automobile Association,www.usaa-advocacy.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,1024cb75471913e2386aa0636388e67a,aa1a0a407bc35303b38ca7842c7a780c113479ede08accc37500b5ca55ab2afc,ctls,communities.usaa.com,443,https://communities.usaa.com:443,https,Apache,text/html,GET,23.212.207.81,/,-1840324437,23.212.207.81,1829,False,PHP,,,,,,,
connect.usaa.com,External Connect,200,1933,externalconnect.usaa.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-02-20T00:00:00Z,2024-03-22T23:59:59Z,"CN=wsb2b.usaa.com, O=United Services Automobile Association, L=San Antonio, ST=Texas, C=US, serialNumber=1447376, businessCategory=Private Organization, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionCountry=US",wsb2b.usaa.com,United Services Automobile Association,v.utvqa.usaa.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,22c03f3d05b29315881a50d2a475876c,bf1a652305182e6d413e64c8f67fe110857e3f8cf431a640dddc06337d4b6c1b,ctls,externalconnect.usaa.com,443,https://connect.usaa.com:443,https,USAA-Service,text/html,GET,23.212.201.112,/,-485427770,23.212.201.112,46,False,HSTS,,https://externalconnect.usaa.com/externalconnect/,,,,,
corporatecard.usaa.com,,200,541,corporatecard.usaa.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2021-11-12T00:00:00Z,2022-11-16T23:59:59Z,"CN=corporatecard.usaa.com, O=USAA, L=San Antonio, ST=Texas, C=US",corporatecard.usaa.com,USAA,corporatecard.usaa.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9bd81022d452cd2a9063c55bd1520ffc,628b5101cfef6bf3c2c7630e7518395d2d46da72456de489c5b77c701bcfc58a,ctls,corporatecard.usaa.com,443,https://corporatecard.usaa.com:443,https,,text/html,GET,216.119.218.188,/,-1840324437,216.119.218.188,13,False,HSTS,,https://corporatecard.usaa.com/static/public-portal-ui/login-signin-component?cobrandHost=usaa&hostName=null+%287ab624b8-c910-491a-6d0f-506f%29,,True,,,
corpvpn.usaa.com,,200,74,corpvpn.usaa.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=corpvpn.usaa.com, O=USAA, L=San Antonio, ST=Texas, C=US",corpvpn.usaa.com,USAA,myvpns2.usaa.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,592a74916d71c753c49a9b8840ac09a0,9396b8a9d6302b561b551fdc25a8e35534e88947e6ee9f36c16a4244b3b516cd,ctls,corpvpn.usaa.com,80,http://corpvpn.usaa.com:80,http,,text/html,GET,167.24.77.254,/,-1415681064,167.24.77.254,1,False,HSTS,,https://corpvpn.usaa.com/global-protect/login.esp,,,,,
corpvpnd2.usaa.com,,200,74,corpvpnd2.usaa.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=corpvpn.usaa.com, O=USAA, L=San Antonio, ST=Texas, C=US",corpvpn.usaa.com,USAA,myvpns2.usaa.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,592a74916d71c753c49a9b8840ac09a0,9396b8a9d6302b561b551fdc25a8e35534e88947e6ee9f36c16a4244b3b516cd,ctls,corpvpnd2.usaa.com,80,http://corpvpnd2.usaa.com:80,http,,text/html,GET,167.24.76.254,/,-1415681064,167.24.76.254,1,False,HSTS,,https://corpvpnd2.usaa.com/global-protect/login.esp,,,,,
corpvpndc2.usaa.com,,200,74,corpvpndc2.usaa.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=corpvpn.usaa.com, O=USAA, L=San Antonio, ST=Texas, C=US",corpvpn.usaa.com,USAA,myvpns2.usaa.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,592a74916d71c753c49a9b8840ac09a0,9396b8a9d6302b561b551fdc25a8e35534e88947e6ee9f36c16a4244b3b516cd,ctls,corpvpndc2.usaa.com,443,https://corpvpndc2.usaa.com:443,https,,text/html,GET,167.24.78.254,/,-492339404,167.24.78.254,1,False,HSTS,,https://corpvpndc2.usaa.com/global-protect/login.esp,,,,,
corpvpns1.usaa.com,,200,74,corpvpns1.usaa.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=corpvpn.usaa.com, O=USAA, L=San Antonio, ST=Texas, C=US",corpvpn.usaa.com,USAA,myvpns2.usaa.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,592a74916d71c753c49a9b8840ac09a0,9396b8a9d6302b561b551fdc25a8e35534e88947e6ee9f36c16a4244b3b516cd,ctls,corpvpns1.usaa.com,80,http://corpvpns1.usaa.com:80,http,,text/html,GET,167.24.77.255,/,-492339404,167.24.77.255,1,False,HSTS,,https://corpvpns1.usaa.com/global-protect/login.esp,,,,,
corpvpns2.usaa.com,,200,74,corpvpns2.usaa.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=corpvpn.usaa.com, O=USAA, L=San Antonio, ST=Texas, C=US",corpvpn.usaa.com,USAA,myvpns2.usaa.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,592a74916d71c753c49a9b8840ac09a0,9396b8a9d6302b561b551fdc25a8e35534e88947e6ee9f36c16a4244b3b516cd,ctls,corpvpns2.usaa.com,80,http://corpvpns2.usaa.com:80,http,,text/html,GET,167.24.77.254,/,-492339404,167.24.77.254,1,False,HSTS,,https://corpvpns2.usaa.com/global-protect/login.esp,,,,,
