new,host,soa,txt,status_code,a,cname,ns,cdn,cdn-name,has_internal_ips,internal_ips,aaaa,mx,caa
[x],api.tools.auvik.com,"ns-649.awsdns-17.net, awsdns-hostmaster.amazon.com",,NOERROR,"3.232.244.208, 34.196.153.149, 54.82.149.245",,,,,,,,,
[x],apt.auvik.com,"ben.ns.cloudflare.com, dns.cloudflare.com",google-site-verification=fRp2OCkVY1IebJlACnzGrH2l9nChNedXKov0rx7OcRs,NOERROR,,,,,,,,,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com",
[x],apt.my.auvik.com,"ns-1986.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"18.244.155.7, 18.244.155.50, 18.244.155.26, 18.244.155.83",d21d0q0z91q77h.cloudfront.net,"ns-1421.awsdns-49.org, ns-1986.awsdns-56.co.uk, ns-402.awsdns-50.com, ns-748.awsdns-29.net",True,cloudfront,,,,,
[x],aspencustomtrailers.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"44.196.170.71, 52.201.30.58, 18.233.174.39",,,,,,,,,
[x],atl-prd-res-10a.stage.auvik.com,"ns-1837.awsdns-37.co.uk, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=stage-auvik-com,external-dns/resource=ingress/default/alb-ingress",NOERROR,"54.205.235.146, 52.72.83.66, 52.204.55.237",,,,,,,,,
[x],au1.my.auvik.com,"ns-715.awsdns-25.net, awsdns-hostmaster.amazon.com",,NOERROR,"99.86.4.27, 99.86.4.63, 99.86.4.82, 99.86.4.32",,"ns-1383.awsdns-44.org, ns-2041.awsdns-63.co.uk, ns-496.awsdns-62.com, ns-715.awsdns-25.net",True,cloudfront,,,,,
[x],aumanati.us4.my.auvik.com,"ns-1504.awsdns-60.org, awsdns-hostmaster.amazon.com",,NOERROR,"18.244.146.94, 18.244.146.117, 18.244.146.70, 18.244.146.90",,,True,cloudfront,,,,,
[x],auth-sandbox.dev.auvik.com,"ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",,NOERROR,"76.223.106.183, 13.248.236.251","auvikid-sandbox.customdomains.oktapreview.com, op1-custom-crtrs.oktapreview.com, op1-custom-crtrs.oktaedge.oktapreview.com, a9dcaea81ce6d4aa6.awsglobalaccelerator.com",,,,,,,,
[x],auth.auvik.com,"ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",,NOERROR,"15.197.151.86, 3.33.152.248","auvikid.customdomains.okta.com, ok7-custom-crtrs.okta.com, ok7-custom-crtrs.oktaedge.okta.com, a9d4dea8e2661b2ed.awsglobalaccelerator.com",,,,,,,,
[x],auvik.daily.auvik.com,"ns-1551.awsdns-01.co.uk, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=daily-auvik-com,external-dns/resource=ingress/default/alb-ingress",NOERROR,"107.23.9.10, 52.0.93.124, 52.71.157.1",,,,,,,,,
[x],auvik.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"44.196.170.71, 52.201.30.58, 18.233.174.39",,,,,,,,,
